Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.0,19.777539093955138,10.989360628131335,19.634189197177378,0.0,-609.5967965825221,-609.5967965825221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,10.0,19.135013302358338,10.166108029666473,19.406743716166872,0.0,-310.33834371731064,-310.33834371731064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,10.0,18.698175105332346,10.191918341579148,19.26484379888493,0.0,-62.03910536430885,-62.03910536430885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,10.6,18.594563789370277,10.832943674777212,19.11792807407132,9.26877127269176,342.2809152179834,342.2809152179834,0.0,0.0,0.0,0.0,409.9927530405998,106.58183252144204,0.0,0.0,0.0,0.0
 01/01  05:00:00,11.1,18.67371461545475,11.253641280884166,18.992579660190113,10.928322325863583,403.9008289573467,403.9008289573467,0.0,0.0,0.0,0.0,490.07647774535866,126.25692561502176,0.0,0.0,0.0,0.0
 01/01  06:00:00,11.7,19.701942887447007,11.957289498118598,18.870559981701874,24.953203666250904,960.6898013571199,960.6898013571199,0.0,0.0,0.0,0.0,1147.678115988594,290.981201148659,0.0,0.0,0.0,0.0
 01/01  07:00:00,11.7,19.678954882230713,12.168091539039038,18.773456694868738,23.688806705938493,881.2196637703182,881.2196637703182,0.0,0.0,0.0,0.0,1084.0333378953414,281.0762952371446,0.0,0.0,0.0,0.0
 01/01  08:00:00,12.2,19.67963572692426,12.494316276997132,18.676177239085025,21.191956802631076,792.5851800459004,792.5851800459004,0.0,0.0,0.0,0.0,979.4480153513587,253.0268477178919,0.0,0.0,0.0,0.0
 01/01  09:00:00,12.2,18.97167074501022,12.84300705428886,18.581546072405082,26.608875993565103,999.769595463813,999.769595463813,0.0,0.0,0.0,0.0,1235.2592331710307,317.6585284649255,0.0,0.0,0.0,0.0
 01/01  10:00:00,13.0,20.49789542783016,13.506757741646359,18.502967788017138,39.40802456661101,1569.2335681692875,1569.2335681692875,0.0,0.0,0.0,0.0,1888.9158640261692,470.17296696172235,0.0,0.0,0.0,0.0
 01/01  11:00:00,13.3,20.000875709494686,13.601485061985505,18.44457769732285,16.91535433866927,618.6745843261815,618.6745843261815,0.0,0.0,0.0,0.0,796.9933825889891,207.83609300253508,0.0,0.0,0.0,0.0
 01/01  12:00:00,14.0,19.740047340184546,14.401575946768013,18.371478845318578,8.662121491441182,320.4543418479261,320.4543418479261,0.0,0.0,0.0,0.0,412.88443775778836,106.62224906541623,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.9,19.49222569710222,14.577396519981015,18.31286152123013,8.448799563351697,327.3776304365183,327.3776304365183,0.0,0.0,0.0,0.0,402.11993266331604,103.4013586655309,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.3,19.35594837273626,13.945771618579966,18.259529847524586,12.864190212436494,507.0977099290976,507.0977099290976,0.0,0.0,0.0,0.0,606.5105405389357,155.43771601915518,0.0,0.0,0.0,0.0
 01/01  15:00:00,13.9,19.575208998639486,14.508309184175324,18.21505797298939,20.01567509302153,800.5624583249846,800.5624583249846,0.0,0.0,0.0,0.0,962.9817270366568,243.42416381411397,0.0,0.0,0.0,0.0
 01/01  16:00:00,14.4,20.061316813302888,14.971210363316255,18.17797877451381,18.844710475254427,753.3005774450066,753.3005774450066,0.0,0.0,0.0,0.0,915.5619615138868,231.70556385209125,0.0,0.0,0.0,0.0
 01/01  17:00:00,13.9,19.81563571346855,14.55886827562495,18.137364858429606,6.697081161871742,243.38200662797135,243.38200662797135,0.0,0.0,0.0,0.0,317.92456242998975,82.37551040410463,0.0,0.0,0.0,0.0
 01/01  18:00:00,12.8,19.585270299637628,13.37101519317138,18.09975113468972,3.8465939473966846,139.67943225323324,139.67943225323324,0.0,0.0,0.0,0.0,177.74103261485976,46.39189333165793,0.0,0.0,0.0,0.0
 01/01  19:00:00,12.8,19.694984805871556,13.330940472915202,18.06580884642505,1.86088002723932,66.35787586463266,66.35787586463266,0.0,0.0,0.0,0.0,85.92746650406626,22.35698300612938,0.0,0.0,0.0,0.0
 01/01  20:00:00,13.3,20.46256426817789,13.334752372760672,18.035336938586287,0.0,-43.36739083412431,-43.36739083412431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,13.0,21.02429795528733,13.048971159802422,18.00048161308825,0.0,-672.1662425521936,-672.1662425521936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,12.0,20.74716866987597,12.474298192684998,17.96463024841174,0.0,-705.5918296460841,-705.5918296460841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,12.8,20.668700986709837,12.501452459253874,17.93045168080893,0.0,-1035.8303017730468,-1035.8303017730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,13.3,20.215677216725602,13.076855200999958,17.892635713996263,0.0,-927.3454989787015,-927.3454989787015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  01:00:00,7.8,21.22026922442833,5.747063984609359,19.2362597727353,0.0,-1945.0740563530344,-1945.0740563530344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  02:00:00,7.2,20.432506328932693,6.12760355727421,18.955991588731543,0.0,-1191.4727598030113,-1191.4727598030113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  03:00:00,7.2,19.746115726197022,6.262456145336788,18.77248275133309,0.0,-797.2313850453393,-797.2313850453393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  04:00:00,6.1,19.321309625186636,4.224141813408756,18.59605150891141,0.0,-490.72257926853854,-490.72257926853854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  05:00:00,6.7,18.96133131224967,4.165425697995362,18.43177656128836,0.0,-209.0869342858632,-209.0869342858632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  06:00:00,6.1,19.562794565020305,3.9472058031777726,18.271011394911888,18.07365077589192,589.0545072424338,589.0545072424338,0.0,0.0,0.0,0.0,720.1269894900539,197.94764488355307,0.0,173.86904061876513,0.0,0.0
