Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.6,23.047554784930426,9.61394015816963,20.23655612151202,0.0,-2496.102343591261,-2496.102343591261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,10.0,22.555882261194586,8.106057083984613,20.052493473824292,0.0,-2415.982526795773,-2415.982526795773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,10.0,22.108531369707098,6.920183929095564,19.92495088886789,0.0,-2065.1717425848547,-2065.1717425848547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,10.0,21.67771631812007,6.125670926118877,19.796836992975045,0.0,-1693.6178997729266,-1693.6178997729266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,9.4,21.29817078057984,5.433006791577432,19.677048114218074,0.0,-1361.4590637741612,-1361.4590637741612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,8.9,21.071655991880597,4.808536815114522,19.56216325762941,0.0,-676.5090158326875,-676.5090158326875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  07:00:00,8.3,20.81425181698579,4.471006434957726,19.452095113059755,0.0,-607.6628732563959,-607.6628732563959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  08:00:00,8.3,21.040073673757565,5.093178806909762,19.347722318400915,0.0,-739.7524673338594,-739.7524673338594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  09:00:00,9.0,21.799858630389952,9.486517974205988,19.255073134979618,0.0,-1412.3097909002772,-1412.3097909002772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  10:00:00,10.0,22.840685220818003,16.477125157017124,19.182928842660516,0.0,-2429.96659325202,-2429.96659325202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,18.3,23.272862181129668,25.682500857868934,19.174720688759514,26.276684365996715,-3701.203685531771,-3701.203685531771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,21.7,23.38990066588251,33.019988671948965,19.205135171683764,46.00422100004394,-4006.7712052535826,-4006.7712052535826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
