Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.6,0.0,0.0,0.0,0.0,0.0,0.0,23.078353307261914,9.65950014005346,20.23603386838371,-2446.1948436674093,-2446.1948436674093,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.595107051143508,8.14431999695528,20.051981218352577,-2374.2846159234114,-2374.2846159234114,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.156320794552137,6.948500322107191,19.924533851773848,-2005.1498837751496,-2005.1498837751496,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.730538357189555,6.148690223755095,19.796449509042294,-1680.6192455974042,-1680.6192455974042,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,21.357393076780465,5.452096288952737,19.676750589430572,-1354.232017262304,-1354.232017262304,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,21.135794675820456,4.825223443789675,19.561949703855387,-708.8426996371227,-708.8426996371227,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,8.3,0.0,0.0,0.0,200.0,0.0,0.0,20.875013550518904,4.486097176633635,19.4519761462567,-579.0229448212594,-579.0229448212594,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,8.3,0.0,0.0,0.0,200.0,0.0,0.0,21.081918947631664,5.106424042641278,19.34769110326546,-726.2639626910568,-726.2639626910568,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,9.0,0.0,0.0,0.0,200.0,0.0,85.44000000000004,20.606702587058553,9.501757092506203,19.25524296440422,-1465.4201399413087,-1465.4201399413087,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,10.0,0.0,0.0,0.0,0.0,0.0,85.44000000000004,21.066351365429597,16.438098488882595,19.183031998735956,-2299.512196943153,-2299.512196943153,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,18.3,0.0,0.0,0.0,0.0,0.0,72.6600107570574,22.144916291806673,25.73893295715877,19.138413579423187,-3228.3625283320325,-3228.3625283320325,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,21.7,0.0,0.0,0.0,0.0,31.470367813789274,0.0,23.199542389866735,33.123976179197186,19.163657078864073,-3694.6634146286724,-3694.6634146286724,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,24.4,0.0,0.0,0.0,0.0,60.0690068416819,0.0,23.341434547405314,35.66348594814399,19.25043665395803,-4483.016338376412,-4483.016338376412,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,26.1,0.0,0.0,0.0,0.0,95.31492028446661,0.0,23.36250390658683,36.410613787719896,19.38296299114633,-6169.988165404402,-6169.988165404402,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,25.0,0.0,0.0,0.0,0.0,114.81361125912386,0.0,23.343573421764322,34.877734729317055,19.51070793626412,-7227.335052946331,-7227.335052946331,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,22.8,0.0,0.0,0.0,0.0,117.43224162539475,0.0,23.332938252261105,31.937399711255765,19.618565711805275,-7727.287569253986,-7727.287569253986,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,19.4,0.0,0.0,0.0,0.0,101.16388154528366,0.0,23.330493759585696,27.467809558596574,19.693011046154165,-7401.4625079735815,-7401.4625079735815,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,15.6,0.0,0.0,0.0,0.0,29.321037298022247,85.44000000000004,23.33711288837086,23.132312311089795,19.682995845999457,-6167.06983557608,-6167.06983557608,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,14.4,0.0,0.0,0.0,0.0,17.594232221711703,85.44000000000004,23.321250781568143,18.89214788908277,19.764989646306688,-5585.894376802344,-5585.894376802344,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,14.0,0.0,0.0,0.0,0.0,11.668407770475584,85.44000000000004,23.34273758992482,16.198678079598764,19.802286135231824,-5280.448939157866,-5280.448939157866,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,13.3,0.0,0.0,0.0,0.0,8.262648287799754,85.44000000000004,23.324989805616678,13.79214671981505,19.808609398179378,-4909.6203915157475,-4909.6203915157475,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,12.8,0.0,0.0,0.0,0.0,27.398663553178032,4.426333025817807,23.313300416341704,11.682063989615884,19.818749451737176,-4376.45450725867,-4376.45450725867,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,23.897209282794826,10.690797677836581,19.743875486365997,-4588.897079502864,-4588.897079502864,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.631526779460675,10.38665412849531,19.70266005697717,-2867.368287213768,-2867.368287213768,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  01:00:00,7.8,0.0,0.0,0.0,200.0,0.0,0.0,21.748137372289484,9.732855630864943,19.939954702449235,-1929.698978052128,-1929.698978052128,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  02:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,21.48703274080645,8.506155739122876,19.743616084225525,-2009.2060198221589,-2009.2060198221589,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  03:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,21.061922674215218,7.755456226743487,19.60664661248414,-1472.9989422250046,-1472.9989422250046,0.0,0.0,0.0,0.0,0.0,0.0
