Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.7,18.590757326949294,-0.8364405348213109,17.314791862064503,100.50807818572837,1793.8194003325534,1793.8194003325534,0.0,0.0,0.0,0.0,2421.475219473073,877.5415782475645,50.939229028794465,84.01365412195791,0.0,0.0
 01/01  02:00:00,-6.7,18.40967301232554,-2.3244149704262473,16.787095448570362,127.70020657446682,2320.5370050264646,2320.5370050264646,0.0,0.0,0.0,0.0,3201.8599512178553,1135.1269120228278,45.6618397721525,53.426785070910675,0.0,0.0
 01/01  03:00:00,-5.6,18.570328623547127,-1.8281442702750201,16.535972065224296,133.12271581791254,2437.0986289102148,2437.0986289102148,0.0,0.0,0.0,0.0,3469.844461371667,1189.640502260883,45.84861833056098,47.469351644623444,0.0,0.0
 01/01  04:00:00,-8.3,18.40783507560122,-2.5010001786166587,16.221746725411915,173.8923360346599,3011.761191453401,3011.761191453401,0.0,0.0,0.0,0.0,4310.056210517721,1529.3573146792905,58.40341194528054,0.18010447691441112,0.0,0.0
 01/01  05:00:00,-12.0,18.52066970645869,-3.9282456797817615,15.9596209928223,176.41251505005013,3396.6008142251267,3396.6008142251267,0.0,0.0,0.0,0.0,3928.226891754413,1484.3216152744053,51.88186019758446,0.0,956.7461481677301,956.7461481677301
 01/01  06:00:00,-11.7,19.313066052555474,-5.3142826496187325,15.740585979512229,176.41251505005013,4425.004529923679,4425.004529923679,0.0,0.0,0.0,0.0,3976.723540066096,1496.3432064454307,47.801866486357355,0.0,2204.325498076162,2204.325498076162
 01/01  07:00:00,-9.4,19.576973702273094,-5.033304213084338,15.568516025548313,176.41251505005013,4400.177354761336,4400.177354761336,0.0,0.0,0.0,0.0,4210.215794975788,1535.7950989015108,58.840741288542006,0.0,2112.525936412577,2112.525936412577
 01/01  08:00:00,-11.1,19.678061417858483,-5.255164732284236,15.359684212232457,176.41251505005013,3833.81999062688,3833.81999062688,0.0,0.0,0.0,0.0,4020.4493037838893,1531.7909917830727,49.245525244299316,0.0,1674.1959604883168,1674.1959604883168
 01/01  09:00:00,-5.6,19.80865025084134,-2.778148029995389,15.214322798664867,156.78835417295346,2488.048451069484,2488.048451069484,0.0,0.0,0.0,0.0,4095.415773793219,1425.0588610211396,62.31224283896593,20.0339119376306,0.0,0.0
 01/01  10:00:00,-3.7,20.00403005251742,0.4649534802899346,15.036099658057886,87.79013267064997,1342.67370626525,1342.67370626525,0.0,0.0,0.0,0.0,2340.367497812554,820.5367668775026,26.597757207697146,99.71592246136969,0.0,0.0
