Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.7,2509.045627864365,911.4157750445421,52.69826151436237,79.32824466244584,103.97669969296338,0.0,18.718105424585847,-0.5787811977387852,17.315519686047946,1782.998320084178,1782.998320084178,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-6.7,3226.5994396101323,1146.2423216361096,45.99587808593491,51.51760456571992,128.6332488578793,0.0,18.526543496588033,-2.194767827591754,16.78835343232625,2250.994660699149,2250.994660699149,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-5.6,3417.4648063290706,1176.0027163214556,45.219759166639605,48.70870094569351,131.2959068335827,0.0,18.644094129276095,-1.759745771811463,16.539462905417356,2347.410219650108,2347.410219650108,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-8.3,4307.810100282033,1524.2509562208036,58.12656304920568,0.0,173.85823140673008,0.0,18.493233745251388,-2.4497688601233323,16.224990056599545,2913.1745834999347,2913.1745834999347,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-12.0,3903.9280112060296,1478.2699651496775,51.58942601759698,0.0,175.41815885345812,0.0,18.570935908099774,-3.8928485617197106,15.964407409011578,3307.269126305153,3307.269126305153,0.0,0.0,0.0,0.0,924.98620190156,924.98620190156
 01/01  06:00:00,-11.7,3953.033270768316,1489.2835104048709,47.532429354100096,0.0,175.41815885345812,0.0,19.365533522298996,-5.285402881847641,15.744146582267907,4335.2215946670985,4335.2215946670985,0.0,0.0,0.0,0.0,2189.8839496379987,2189.8839496379987
 01/01  07:00:00,-9.4,4185.141920480573,1528.6311000617377,58.50908309696908,0.0,175.41815885345812,0.0,19.616097583449122,-5.017957733737437,15.572654723809768,4318.379500386825,4318.379500386825,0.0,0.0,0.0,0.0,2095.1046349082712,2095.1046349082712
 01/01  08:00:00,-11.1,3996.7891556429768,1524.2371034019682,48.967950871714656,0.0,175.41815885345812,0.0,19.68928761482324,-5.256958955718094,15.363353134378155,3760.6435563241903,3760.6435563241903,0.0,0.0,0.0,0.0,1612.6413775559572,1612.6413775559572
 01/01  09:00:00,-5.6,4638.622322797028,1574.9379665192669,68.85854780439534,0.0,175.41815885345812,85.44000000000005,19.692257720008687,-2.447830838094267,15.22092314360462,2430.309105389819,2430.309105389819,0.0,0.0,0.0,0.0,506.31154159293465,506.31154159293465
 01/01  10:00:00,-3.7,3694.6125774185316,1250.665210061428,40.64382035008732,45.88804388811647,134.15211566879418,85.44000000000005,19.746981327093394,1.134390017219042,15.051595997244355,1362.2314864570762,1362.2314864570762,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,-1.7,2513.769639558458,842.6328248711268,17.69805518087029,99.53723857128465,87.77633794303179,85.44000000000005,19.772215044896267,5.170484323570072,14.9185950759144,701.696437059205,701.696437059205,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,2.8,1458.6453806912882,462.02122447838707,0.02170673633351192,148.6245353159499,45.060769389565536,85.44000000000005,19.85691176699898,9.500060421140592,14.81607529443,120.30317973391175,120.30317973391175,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,3.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.157290980182285,10.920637584661213,14.728033764175883,-337.09864378275597,-337.09864378275597,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,4.4,0.0,0.0,0.0,200.0,0.0,55.56949328140438,19.541161276233133,10.963358287457655,14.699714048802408,-366.84220074418226,-366.84220074418226,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,4.4,9.085031311897904,2.867790529733844,0.00013328445568417137,199.68454258895827,0.27668412388632924,0.0,19.721635114377456,9.046228392246865,14.678180584152884,7.256886046608997,7.256886046608997,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,19.994121451153536,7.197685082705093,14.664984257322015,-78.93940600607857,-78.93940600607857,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,1.0,350.3772101106677,117.61116897547352,0.0055936434213982485,186.76097476673408,11.61175948268543,0.0,19.708873785217914,5.0430407974326945,14.66526629519669,267.7163848001128,267.7163848001128,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,1.1,2345.413997217528,749.1729528404024,0.035810562557275286,115.24362466517302,74.33861204402028,85.44000000000005,19.65585943749708,4.273619811195946,14.696721701647816,835.693736826328,835.693736826328,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-0.6,2732.675318097373,891.7716709746877,23.61303750661782,93.62531591855641,92.91335129622544,85.44000000000005,19.908631832092876,2.8558403810367086,14.670353084271607,917.8342479397597,917.8342479397597,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-2.2,2606.075798191923,883.7937235714708,28.156520285032656,92.90069337128968,93.35132494176506,85.44000000000005,19.832259559744525,1.4877868523597162,14.624230291531424,746.8440313553219,746.8440313553219,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,-2.8,2818.808486484937,961.284868431346,41.89961739995204,80.91364571523607,103.49732621367853,85.44000000000005,19.61979429341819,0.8448490175782593,14.559978114826007,959.8708530823587,959.8708530823587,0.0,0.0,0.0,0.0,0.0,0.0
