Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-22.2,18.583797690379118,-12.516451399391439,16.906170479202665,185.03303017937972,4890.603392104937,4890.603392104937,0.0,0.0,0.0,0.0,3019.805859195482,1449.4848654950963,7.735521024559385,0.0,4141.884142900646,4141.884142900646
 01/01  02:00:00,-21.7,18.552092306333492,-13.051059338894124,16.282588145507685,185.03303017937972,5497.214730447848,5497.214730447848,0.0,0.0,0.0,0.0,3081.4195084546304,1459.7033142255034,5.85891899521819,0.0,4819.214096574003,4819.214096574003
 01/01  03:00:00,-22.8,18.546514182345522,-13.440054359425055,16.00211019611477,185.03303017937972,5776.966537902334,5776.966537902334,0.0,0.0,0.0,0.0,2964.8983124482957,1438.314534423134,4.684152590712839,0.0,5315.042920862574,5315.042920862574
 01/01  04:00:00,-22.2,18.5442575054599,-13.580951599250971,15.668802256698063,185.03303017937972,6045.208327225955,6045.208327225955,0.0,0.0,0.0,0.0,3023.8954472930063,1446.1392849914107,7.72594470535067,0.0,5605.8226099029835,5605.8226099029835
 01/01  05:00:00,-22.8,18.544962688880975,-13.79512462125766,15.375725969421692,185.03303017937972,6212.923781665166,6212.923781665166,0.0,0.0,0.0,0.0,2960.6734573256604,1434.9082120191626,6.968407773250758,0.0,5888.519854902861,5888.519854902861
 01/01  06:00:00,-24.4,19.11233920356843,-14.009257217771264,15.088145091724154,185.03303017937972,7507.884033970095,7507.884033970095,0.0,0.0,0.0,0.0,2795.536566446411,1405.1495089310456,4.7136680316564386,0.0,7212.436195029749,7212.436195029749
 01/01  07:00:00,-22.2,19.50016538134699,-13.771445512767464,14.866463250904031,185.03303017937972,7076.8728101064935,7076.8728101064935,0.0,0.0,0.0,0.0,3010.355777245034,1457.324446658383,7.70736929362656,0.0,6948.512542735685,6948.512542735685
 01/01  08:00:00,-23.9,19.60702146003313,-13.94160767954345,14.612669059697243,185.03303017937972,7072.939231483066,7072.939231483066,0.0,0.0,0.0,0.0,2821.79921063409,1432.738966323956,5.705128681810305,0.0,7157.746004679322,7157.746004679322
 01/01  09:00:00,-19.4,19.678404300193865,-12.024762650684416,14.41889944035392,185.03303017937972,5670.989516925938,5670.989516925938,0.0,0.0,0.0,0.0,3311.87349978077,1520.653054525006,8.84464296754149,0.0,5074.855165674922,5074.855165674922
 01/01  10:00:00,-16.1,19.734676463214807,-6.155559331292449,14.229432370859415,185.03303017937972,3967.550785800311,3967.550785800311,0.0,0.0,0.0,0.0,3712.209851674332,1583.6079656785757,7.375003745973873,0.0,2592.9969184595484,2592.9969184595484
 01/01  11:00:00,-12.8,19.770716843271,-1.731460594409108,14.075906284984578,185.03303017937972,3067.854288044062,3067.854288044062,0.0,0.0,0.0,0.0,4159.334738549603,1649.3971113960067,0.0891340163778779,0.0,790.6203687376942,790.6203687376942
 01/01  12:00:00,-11.7,19.795423594869852,1.9448271391639453,13.943267036487173,181.47203782594946,2657.3715232295617,2657.3715232295617,0.0,0.0,0.0,0.0,4214.031213409392,1635.851466470903,0.08742085735672128,3.844007239377145,0.0,0.0
 01/01  13:00:00,-8.9,20.039136243941336,7.102846027373935,13.832149022717276,110.61946696508761,1688.359546481508,1688.359546481508,0.0,0.0,0.0,0.0,2675.099745959885,1023.8963752347881,0.05328861982027627,80.430340770548,0.0,0.0
 01/01  14:00:00,-7.2,20.0553694929934,9.480266361843174,13.74085774931602,44.51230845826432,663.0462040787879,663.0462040787879,0.0,0.0,0.0,0.0,1085.6457421657253,420.25226087573964,0.021442811822598832,151.8863556384727,0.0,0.0
 01/01  15:00:00,-7.2,19.74744101691515,8.817066808155172,13.680524492957387,0.0,0.2515366925181297,0.2515366925181297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,-10.0,19.800634660866343,6.34574745970682,13.67252997043356,0.0,-64.17296011489634,-64.17296011489634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,-12.8,19.72037395871169,0.7063095865589302,13.683207887218327,28.8805689262834,368.061233094606,368.061233094606,0.0,0.0,0.0,0.0,586.7841992175562,257.602061442521,0.28649121598494715,168.76526223360915,0.0,0.0
 01/01  18:00:00,-16.1,19.23902183050261,-3.109043811695878,13.698328149413822,114.75223222332987,1576.7483705838386,1576.7483705838386,0.0,0.0,0.0,0.0,2199.1453581143255,985.4180602645747,4.5863173521172,75.58962223384178,0.0,0.0
 01/01  19:00:00,-17.2,19.145505519005063,-6.40926878266861,13.659909855007273,185.03303017937972,2420.3262049253644,2420.3262049253644,0.0,0.0,0.0,0.0,3583.069704287847,1548.9812953135684,9.70622782853526,0.0,41.856456200368484,41.856456200368484
 01/01  20:00:00,-18.3,19.392763173586197,-8.510431187250981,13.597146598645576,185.03303017937972,3047.271714797658,3047.271714797658,0.0,0.0,0.0,0.0,3450.688886430387,1526.108174062983,10.592682490605807,0.0,1281.4798213377917,1281.4798213377917
 01/01  21:00:00,-18.9,19.553717234979455,-9.815059190035582,13.523692769930474,185.03303017937972,3524.291711587446,3524.291711587446,0.0,0.0,0.0,0.0,3373.5092244933453,1521.4641301975464,10.446840387792953,0.0,2098.201052980062,2098.201052980062
 01/01  22:00:00,-20.0,19.6210938718475,-10.56829010409898,13.415944117097519,185.03303017937972,4102.210041722246,4102.210041722246,0.0,0.0,0.0,0.0,3240.1010352586427,1504.1153178494626,10.966003384535687,0.0,3010.2857285096543,3010.2857285096543
 01/01  23:00:00,-19.4,18.918582323664527,-11.215850288023672,13.303703982188399,185.03303017937972,3524.812199693526,3524.812199693526,0.0,0.0,0.0,0.0,3313.2295372063527,1519.3656586859022,8.86760142346753,0.0,2342.13750158573,2342.13750158573
 01/01  24:00:00,-20.6,18.675950758608263,-11.864463523240945,13.129627355209958,185.03303017937972,4209.73490955435,4209.73490955435,0.0,0.0,0.0,0.0,3189.438332903481,1478.1315339043724,10.708801404952887,0.0,3234.3292355721924,3234.3292355721924
 01/02  01:00:00,-20.0,18.581364641191392,-11.896480554630099,7.137559071956529,185.03303017937972,5178.182745665548,5178.182745665548,0.0,0.0,0.0,0.0,3278.744992290822,1477.4831670079902,8.751679145728358,0.0,4449.41425758043,4449.41425758043
 01/02  02:00:00,-20.0,18.556778378748916,-11.963374668583901,7.046460587762935,185.03303017937972,5633.1893108994045,5633.1893108994045,0.0,0.0,0.0,0.0,3275.3516289568856,1472.7664479879363,11.000829969268855,0.0,5000.834547345286,5000.834547345286
 01/02  03:00:00,-21.7,18.544974281966248,-12.324505404834845,6.942144351382244,185.03303017937972,6089.147294464139,6089.147294464139,0.0,0.0,0.0,0.0,3096.4963039343684,1446.9846868504999,5.852120964272534,0.0,5722.401970534633,5722.401970534633
 01/02  04:00:00,-21.1,18.544638562648316,-12.507306963522957,6.856027025735549,185.03303017937972,6248.816740874352,6248.816740874352,0.0,0.0,0.0,0.0,3155.84039083695,1453.8225426569516,9.247286614342878,0.0,5880.26868898304,5880.26868898304
 01/02  05:00:00,-20.6,18.547400896595143,-12.605525538720153,6.764086152981008,185.03303017937972,6311.847641332168,6311.847641332168,0.0,0.0,0.0,0.0,3208.903678817892,1461.1197525112282,10.701647955989666,0.0,5921.185769950147,5921.185769950147
 01/02  06:00:00,-21.1,19.27836254792027,-12.54204535374726,6.667470770411937,185.03303017937972,7439.736398338817,7439.736398338817,0.0,0.0,0.0,0.0,3156.1043319288938,1453.6661802872668,9.225118708466775,0.0,7212.436195029749,7212.436195029749
 01/02  07:00:00,-20.0,19.544440927168235,-12.227930629379717,6.622307282134331,185.03303017937972,7347.365136288003,7347.365136288003,0.0,0.0,0.0,0.0,3257.943210667424,1488.465908243781,10.948243660600331,0.0,7166.667343424464,7166.667343424464
 01/02  08:00:00,-20.6,19.635642837409385,-12.74705851385785,6.535831082716264,185.03303017937972,6782.015374903673,6782.015374903673,0.0,0.0,0.0,0.0,3191.8728076034095,1487.7945559246416,7.161877649289302,0.0,6586.695539221779,6586.695539221779
 01/02  09:00:00,-16.7,19.690825476162242,-10.487675571801782,6.493026716554452,185.03303017937972,5365.499672713115,5365.499672713115,0.0,0.0,0.0,0.0,3642.239027638512,1556.2473642999819,10.558574899589484,0.0,4522.292834014834,4522.292834014834
 01/02  10:00:00,-12.2,19.745393433141167,-3.643550574754984,6.461859109059107,185.03303017937972,3607.4078242239757,3607.4078242239757,0.0,0.0,0.0,0.0,4230.136435420254,1635.4939902314406,7.191570119635943,0.0,1772.7843014528935,1772.7843014528935
 01/02  11:00:00,-11.1,19.773099085512705,0.03265259102304759,6.437678752903231,185.03303017937972,3055.351053130411,3055.351053130411,0.0,0.0,0.0,0.0,4402.214202100246,1663.2336605598093,0.0891340163778779,0.0,595.9130634486828,595.9130634486828
 01/02  12:00:00,-9.4,19.81788100128488,2.332489824652162,6.430814520127274,175.95323789819943,2729.8171736915374,2729.8171736915374,0.0,0.0,0.0,0.0,4385.013609569411,1607.1094308065753,0.0847618750217187,9.810264439613725,0.0,0.0
