Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.3,18.864324652609284,-0.8076143724542177,18.52589842811332,78.77498100259717,1777.0034048459129,1777.0034048459129,0.0,0.0,0.0,0.0,2638.0858232577543,794.0661090564436,0.037947573784170435,121.17489618408635,0.0,0.0
 01/01  02:00:00,2.2,18.69252182528724,0.5845837001459974,18.09404683881725,77.87761134044513,1863.8201942918004,1863.8201942918004,0.0,0.0,0.0,0.0,2528.2253444735074,782.4860482961293,0.03751533310854451,122.07275111213676,0.0,0.0
 01/01  03:00:00,2.2,18.632964036015302,1.7192955786119666,17.91487307928365,79.0826493219409,1960.0290739025058,1960.0290739025058,0.0,0.0,0.0,0.0,2571.436004129582,791.6453583704415,0.0380958258640322,120.86694538721869,0.0,0.0
 01/01  04:00:00,5.0,18.54461398493169,4.198877228310756,17.71797101561562,75.22956352906792,2038.714352943396,2038.714352943396,0.0,0.0,0.0,0.0,2625.5630588437916,772.8732389940787,0.03623961428441751,124.72268782017666,0.0,0.0
 01/01  05:00:00,2.8,18.638427649701637,3.748490278235674,17.541480590781568,79.20753572584637,2060.7103456496825,2060.7103456496825,0.0,0.0,0.0,0.0,2609.7343759032206,792.267884749124,1.9218081308866855,120.72662346219198,0.0,0.0
 01/01  06:00:00,2.8,19.431344663434427,4.208109376494942,17.38536720646225,107.84100355447019,2890.774875187348,2890.774875187348,0.0,0.0,0.0,0.0,3611.349657456953,1080.346218098312,2.6165405956515366,92.06934629325134,0.0,0.0
 01/01  07:00:00,1.1,19.647560450949904,3.810238261411193,17.262449180323912,116.74360099431362,2688.302398314494,2688.302398314494,0.0,0.0,0.0,0.0,3459.983054523194,1087.8165819826256,64.87331295560011,82.35335585663879,0.0,0.0
 01/01  08:00:00,1.1,19.642979458502246,3.5551629227533406,17.144139980755487,111.79686146707455,2493.298777091337,2493.298777091337,0.0,0.0,0.0,0.0,3257.940374735398,1033.7860101422305,71.52573758768031,87.20637514367617,0.0,0.0
 01/01  09:00:00,-0.6,19.487582060689252,3.02017100714591,17.014051783203353,138.13591683398144,2915.1161587093866,2915.1161587093866,0.0,0.0,0.0,0.0,3806.7417732029166,1232.9137492026837,111.71585861006473,59.80234610934099,0.0,0.0
 01/01  10:00:00,-0.6,19.747760679245392,3.6941692514155817,16.909108370776302,132.37939804578747,2742.5792215755173,2742.5792215755173,0.0,0.0,0.0,0.0,3636.3197590833106,1177.2069308775094,107.54332393336298,65.6368082150784,0.0,0.0
 01/01  11:00:00,-1.1,19.894235309722873,5.633943490383416,16.81611098043661,110.0240519962642,2167.6381423032217,2167.6381423032217,0.0,0.0,0.0,0.0,2922.925896650412,976.0464879778528,93.02701952703563,88.12534118002257,0.0,0.0
 01/01  12:00:00,0.0,19.81279887462807,5.515965471771964,16.726371320030545,88.88116680878045,1856.662603376084,1856.662603376084,0.0,0.0,0.0,0.0,2454.497480897884,812.1591802339129,62.450202269607374,110.07220930438271,0.0,0.0
 01/01  13:00:00,0.6,19.751761923080476,6.457981815556226,16.637095471675615,78.39076499894837,1640.4401614895924,1640.4401614895924,0.0,0.0,0.0,0.0,2150.2922017847204,707.0256142957713,63.659030697691506,120.63397612190039,0.0,0.0
 01/01  14:00:00,0.6,19.72164161031409,6.649269331189666,16.555873956014572,72.19168934007688,1547.2887667715531,1547.2887667715531,0.0,0.0,0.0,0.0,1997.4111912802862,657.3274236716744,53.14149217507025,126.99841821832946,0.0,0.0
 01/01  15:00:00,0.0,19.566946076953688,4.787674463154488,16.48038887616888,76.7485230932351,1608.501283526275,1608.501283526275,0.0,0.0,0.0,0.0,2059.2230218139784,684.7587695638938,65.05229455455357,122.15112569241806,0.0,0.0
 01/01  16:00:00,0.0,19.79625357267009,5.223341383927553,16.415394219056623,73.00380157059796,1520.7282934505765,1520.7282934505765,0.0,0.0,0.0,0.0,1976.463872841097,655.3764875921121,57.047718046221846,126.03686349194913,0.0,0.0
