Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.3,2225.599294609948,678.551824620671,0.032264498687953364,132.68008528455036,66.9775431548247,0.0,18.7574566378585,-0.75965058015091,18.532502857066536,1620.3471656142847,1620.3471656142847,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,2.2,2305.5363335497873,714.3172495548727,0.034318041438201004,128.3953659046451,71.24039366583739,0.0,18.625624996626236,0.5831008488198387,18.096069016667464,1748.131710059999,1748.131710059999,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,2.2,2503.941224984111,770.3635888594788,0.037120081537675445,122.54890591931395,77.05711396595913,0.0,18.61849042795208,1.73164097720197,17.91642490194977,1907.5780630671088,1907.5780630671088,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.0,2574.14031934522,757.9603111319905,0.03555004920033879,125.82478025017609,73.79810017033456,0.0,18.53504555199924,4.2033037441258,17.719622307340966,2004.2892259908494,2004.2892259908494,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,2.8,2575.3299789780426,781.9449849940243,1.897118041255668,121.39507049458955,78.18993162115702,0.0,18.63882126217065,3.7508152698688217,17.54272467553721,2030.4382854108735,2030.4382854108735,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,2.8,3629.764284713271,1085.2382548385362,2.6283861972725813,91.09580571335584,108.32922130086891,0.0,19.46474462579668,4.225105559872438,17.38601223221856,2860.300353366123,2860.300353366123,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.1,3432.152277140605,1080.190543845499,64.37637828813686,82.73238165629049,115.84920310516843,0.0,19.665068803906156,3.8132298429630183,17.264345392189938,2652.2619574274904,2652.2619574274904,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.1,3215.05434650791,1021.1661094713465,70.6282726537011,88.1234946829441,110.3940192518926,0.0,19.651062290341475,3.5499948039740215,17.145356273055587,2452.3655270303643,2452.3655270303643,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-0.6,5088.832043513485,1605.6253765627666,145.49409650736249,16.595752863766734,179.90251211922134,85.44000000000005,19.487842789825173,3.429762260617116,17.007123732609898,2874.6150647578343,2874.6150647578343,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,-0.6,5113.347742943504,1605.9410211991594,146.74469645395232,15.839125376749386,180.6340967610759,85.44000000000005,19.631127145184696,4.240937145981757,16.902198710629744,2724.6099961792097,2724.6099961792097,0.0,0.0,0.0,0.0,0.0,0.0
