Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.2,18.673804006083454,-4.149826179710407,19.13516221979249,103.78738152661587,1793.5470913942227,1793.5470913942227,0.0,0.0,0.0,0.0,2578.229895369608,929.2208058910255,23.083391542171,79.6292367180634,0.0,0.0
 01/01  02:00:00,-9.4,18.40316057376401,-4.681155983936639,18.75020877148246,146.47512417947496,2427.9657670502147,2427.9657670502147,0.0,0.0,0.0,0.0,3510.604983046354,1299.970707149299,29.93613580408931,29.94615384405739,0.0,0.0
 01/01  03:00:00,-12.2,18.412169039599327,-6.419316923705129,18.495092740284683,173.82405562074803,3331.1376405033843,3331.1376405033843,0.0,0.0,0.0,0.0,3918.807761457476,1490.6828213354072,28.54048192755724,0.0,914.091751082608,914.091751082608
 01/01  04:00:00,-12.8,18.514153140885014,-6.723219213611021,18.28365198915988,173.82405562074803,3778.8188603586623,3778.8188603586623,0.0,0.0,0.0,0.0,3831.480387622414,1477.059244644534,32.64740386325454,0.0,1670.4118799928283,1670.4118799928283
 01/01  05:00:00,-12.2,18.56122565490185,-7.550906156665851,18.080417010546245,173.82405562074803,3977.2346401522773,3977.2346401522773,0.0,0.0,0.0,0.0,3916.334128262829,1493.2224261205802,28.56214138857431,0.0,1872.4348679807063,1872.4348679807063
 01/01  06:00:00,-11.7,19.328769491460708,-7.0643068501801105,17.883094059596747,173.82405562074803,4870.078742054364,4870.078742054364,0.0,0.0,0.0,0.0,3967.285616869063,1497.3637560849502,31.63940852354751,0.0,2910.367944952884,2910.367944952884
 01/01  07:00:00,-14.4,19.569732531731272,-7.380286704039127,17.6916917034927,173.82405562074803,5371.0675624004725,5371.0675624004725,0.0,0.0,0.0,0.0,3649.2894897010847,1490.907738389809,21.82229541769656,0.0,3873.78441830771,3873.78441830771
 01/01  08:00:00,-10.6,19.67874021064539,-6.485196129846339,17.543101304106912,173.82405562074803,4262.788216130408,4262.788216130408,0.0,0.0,0.0,0.0,4085.879056641977,1542.9095647714753,29.976849542150493,0.0,2210.199066679065,2210.199066679065
 01/01  09:00:00,-5.6,19.74622856525395,-3.380769554477563,17.39599968565679,172.1182032848955,2885.217012567169,2885.217012567169,0.0,0.0,0.0,0.0,4663.008302841699,1598.2416325600839,39.106445807276486,0.5792235662572365,0.0,0.0
 01/01  10:00:00,-2.8,19.91672722857253,-0.12197229932903439,17.26746643703844,119.23654940319581,2151.4186243769072,2151.4186243769072,0.0,0.0,0.0,0.0,3444.717761580441,1154.473841426222,9.095946467017685,62.5793919051211,0.0,0.0
 01/01  11:00:00,-1.1,19.90882909805387,1.7393115635848555,17.158996886733604,76.80068422062233,1465.3586121979097,1465.3586121979097,0.0,0.0,0.0,0.0,2281.6003188448462,763.6309764321179,0.42796073448109917,111.62555413554382,0.0,0.0
 01/01  12:00:00,0.6,20.10508449604376,4.523025247470562,17.08059457444483,39.20049097743782,756.1196984276339,756.1196984276339,0.0,0.0,0.0,0.0,1191.0526262571286,395.8181910182405,0.01888375881893722,154.89607390154362,0.0,0.0
 01/01  13:00:00,1.7,20.463802661686223,10.916402348212971,17.029268249544316,0.0,-91.29035028223916,-91.29035028223916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,2.8,21.19475782948745,14.189041901155871,17.002410413816676,0.0,-1010.4943730142804,-1010.4943730142804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,3.3,21.958137601930893,14.872754065341574,17.003309539110976,0.0,-1566.427869769188,-1566.427869769188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,3.3,22.676131646930365,14.58415255995263,17.028479482342703,0.0,-2141.1985655967565,-2141.1985655967565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,1.1,22.500882092197674,10.524165091279796,17.06354261396318,0.0,-2029.814350195662,-2029.814350195662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,-1.1,21.53496745986341,5.786207785951455,17.087753607142652,0.0,-1362.413294435326,-1362.413294435326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,-6.7,20.682186005938277,0.7894901253647378,17.10500419592243,0.0,-774.8338691474364,-774.8338691474364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,-7.8,19.990669010362346,-2.42480500969046,17.08249417546616,0.0,-232.66879684174637,-232.66879684174637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,-7.2,19.771226440884245,-4.13523201795596,17.021638609176062,26.536204266222644,350.2327941510357,350.2327941510357,0.0,0.0,0.0,0.0,624.4527035640932,246.24497381368812,4.68769677301352,169.27313737272536,0.0,0.0
 01/01  22:00:00,-6.7,19.586668724677498,-4.5695984171783435,16.930441105992895,59.283328806800846,996.9347762811685,996.9347762811685,0.0,0.0,0.0,0.0,1436.18883929722,546.2628780184292,14.004718174807607,131.23323449877006,0.0,0.0
 01/01  23:00:00,-7.8,18.779050008156776,-5.399628494881907,16.82808146422798,57.895782427391545,884.6024296489213,884.6024296489213,0.0,0.0,0.0,0.0,1363.1515831805661,528.5775944536723,12.056662964299047,132.8547118251843,0.0,0.0
 01/01  24:00:00,-6.7,18.352739702465595,-4.883244321751542,16.68740299354542,88.79667006271427,1540.5120303004405,1540.5120303004405,0.0,0.0,0.0,0.0,2233.947494503808,809.9413040340456,13.466363581529402,97.30495327003344,0.0,0.0
