Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.2,2940.1371567216615,1058.1548245972112,26.11788640528988,63.09579005914354,117.4292627721404,0.0,18.78513873412748,-3.7080185753574697,19.118057907069712,1948.0656155363322,1948.0656155363322,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-9.4,3723.5110139863627,1373.9887041488003,31.575508299252952,19.698870438281133,154.49551982675854,0.0,18.558973420764403,-4.4318389469994175,18.735070384853024,2455.017145370939,2455.017145370939,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-12.2,3894.5021973553794,1487.2170870052933,28.39251891856635,0.0,172.92289598476404,0.0,18.537459315002955,-6.2913612157754235,18.4956492451922,3324.0356041144623,3324.0356041144623,0.0,0.0,0.0,0.0,1019.7569371488535,1019.7569371488535
 01/01  04:00:00,-12.8,3808.3898945118294,1472.8138173185375,32.47814925418349,0.0,172.92289598476404,0.0,18.58282067452795,-6.645778069601106,18.280937373242292,3703.010103813731,3703.010103813731,0.0,0.0,0.0,0.0,1657.2722967575469,1657.2722967575469
 01/01  05:00:00,-12.2,3894.2688219490383,1487.362874428944,28.414066089993028,0.0,172.92289598476404,0.0,18.599576009804107,-7.517618633493487,18.07935288223469,3894.239261323215,3894.239261323215,0.0,0.0,0.0,0.0,1833.1310024943314,1833.1310024943314
 01/01  06:00:00,-11.7,3945.7370745060343,1490.6573186292658,31.475379685502,0.0,172.92289598476404,0.0,19.37217771234741,-7.03839678577357,17.88192816037166,4796.278666320886,4796.278666320886,0.0,0.0,0.0,0.0,2903.5589806885027,2903.5589806885027
 01/01  07:00:00,-14.4,3629.262866148184,1484.304106586963,21.7091616415646,0.0,172.92289598476404,0.0,19.613617577595114,-7.360561336804079,17.69180404025808,5304.518167820457,5304.518167820457,0.0,0.0,0.0,0.0,3887.271256064696,3887.271256064696
 01/01  08:00:00,-10.6,4063.5577160790413,1536.1517752420857,29.8214399429159,0.0,172.92289598476404,0.0,19.688653851386828,-6.484197754568355,17.543336348478164,4200.118372976316,4200.118372976316,0.0,0.0,0.0,0.0,2153.8963829811596,2153.8963829811596
 01/01  09:00:00,-5.6,4686.235128261864,1594.864925844013,39.0167024214638,0.0,172.92289598476404,85.44000000000005,19.699868821322223,-3.218649984415901,17.394694858445273,2833.7041328967443,2833.7041328967443,0.0,0.0,0.0,0.0,938.6039212944042,938.6039212944042
 01/01  10:00:00,-2.8,4757.492128430613,1546.7826648226348,12.200819242065604,14.710699543323823,159.9376536917339,85.44000000000005,19.725817063155382,0.327864420165103,17.254345374359364,2144.2746359923713,2144.2746359923713,0.0,0.0,0.0,0.0,0.0,0.0
