Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,18.146974426075737,2.5791470565296284,19.666387872821225,55.181252780799056,1202.4000227028673,1202.4000227028673,0.0,0.0,0.0,0.0,1591.3349885502082,519.6855293015393,39.0190753986201,112.58478832362813,0.0,0.0
 01/01  02:00:00,-1.1,18.30619809683721,2.442311562184339,19.360370855942747,85.67303567774131,1900.9466154970723,1900.9466154970723,0.0,0.0,0.0,0.0,2546.9502873965334,803.5420437146208,58.66049835753208,64.31683735235256,0.0,0.0
 01/01  03:00:00,-1.0,18.50046782782944,2.4975211873042236,19.21690877343566,99.76714410290039,2173.672086480885,2173.672086480885,0.0,0.0,0.0,0.0,3002.230486690804,936.2440172109438,70.54532526936057,41.95590289620896,0.0,0.0
 01/01  04:00:00,-1.1,18.57923278784555,2.5516374962089827,19.066155935862596,102.0976203771891,2177.850776416748,2177.850776416748,0.0,0.0,0.0,0.0,3077.700656236902,963.6535695637817,69.9589185909024,38.30009165099837,0.0,0.0
 01/01  05:00:00,-0.6,18.635904350430025,2.4779092891708623,18.942173733996555,94.26612361446026,2024.2488483325142,2024.2488483325142,0.0,0.0,0.0,0.0,2897.058959338186,904.9680439832674,55.627991541411966,51.073943561756074,0.0,0.0
 01/01  06:00:00,-0.6,19.291013282138376,2.888412177496112,18.774886021522022,126.84308375227467,2903.132666320349,2903.132666320349,0.0,0.0,0.0,0.0,4020.427158050795,1216.294671308702,74.71235846899211,0.0,0.0,0.0
 01/01  07:00:00,-0.6,19.587433404946744,2.9079460854317705,18.683637499810626,125.5975152759001,2769.0349500721222,2769.0349500721222,0.0,0.0,0.0,0.0,3964.1223591028106,1222.3030985266967,74.1332771698869,1.56833111315271,0.0,0.0
 01/01  08:00:00,-0.6,19.708411462627318,2.889885402881825,18.580723711712697,117.56779354750918,2514.6142369553436,2514.6142369553436,0.0,0.0,0.0,0.0,3676.395601485827,1150.812496670603,69.39474326039047,14.251908956116765,0.0,0.0
 01/01  09:00:00,-1.0,19.72124983402992,3.0854083554223926,18.474223972852045,117.48344815357088,2474.778235564403,2474.778235564403,0.0,0.0,0.0,0.0,3626.225288253647,1147.8477974936222,70.57282214425666,14.2404770507089,0.0,0.0
 01/01  10:00:00,0.0,19.741004943232888,3.7697397009038984,18.38159372393379,111.50173480719391,2396.0527976533413,2396.0527976533413,0.0,0.0,0.0,0.0,3504.3327349815268,1094.174957484682,69.47943979267953,23.894701834296495,0.0,0.0
 01/01  11:00:00,0.6,19.805116538819885,6.254075434795341,18.295785563011744,95.34960371073852,2007.1557937779617,2007.1557937779617,0.0,0.0,0.0,0.0,2957.9593657202836,928.525744647974,68.38520254333974,49.33378556387715,0.0,0.0
 01/01  12:00:00,1.0,19.806984587460185,7.9951650345894105,18.213290332465366,81.80574700419618,1773.3563360965836,1773.3563360965836,0.0,0.0,0.0,0.0,2531.229086065818,799.739092011004,58.77623818943503,70.81850019564702,0.0,0.0
 01/01  13:00:00,1.0,19.790012211130442,9.622282590082223,18.135710812924867,69.9237844284703,1543.0761133975102,1543.0761133975102,0.0,0.0,0.0,0.0,2139.7976240828134,683.592040323155,50.239223013952355,89.58160001613884,0.0,0.0
 01/01  14:00:00,1.1,19.775097813811474,10.751609072416548,18.067647146570714,60.89640819894229,1367.6109085881872,1367.6109085881872,0.0,0.0,0.0,0.0,1842.0459900161666,592.2667534482455,46.262648255628655,103.7998109357068,0.0,0.0
 01/01  15:00:00,2.0,19.80132920535363,11.426780529819588,18.012490813465632,49.32916484557844,1138.2932602334713,1138.2932602334713,0.0,0.0,0.0,0.0,1506.554095867653,481.0532561051506,38.7102832704709,122.17095082249654,0.0,0.0
 01/01  16:00:00,2.0,19.723382844385657,9.86461373651488,17.960580828494717,45.94390981427496,1079.3906094725644,1079.3906094725644,0.0,0.0,0.0,0.0,1398.7112983787376,448.2512722144513,36.053791222503484,127.51196702732028,0.0,0.0
 01/01  17:00:00,2.0,19.756229491282838,8.392581263995137,17.91361456096726,46.93477574777661,1078.5864212499764,1078.5864212499764,0.0,0.0,0.0,0.0,1407.8375209721412,450.42095667896734,41.902548894706506,125.85678655358863,0.0,0.0
 01/01  18:00:00,1.7,19.737655847434965,6.316578546423892,17.868246288738522,41.2245761236094,911.3524885424886,911.3524885424886,0.0,0.0,0.0,0.0,1226.0383953699754,396.7541633173085,35.525066121956584,134.86279602897665,0.0,0.0
 01/01  19:00:00,2.0,19.783278895571137,5.117724473607718,17.82090884048618,33.04129726007161,698.4756696601489,698.4756696601489,0.0,0.0,0.0,0.0,978.7146919662192,317.1710028356313,29.49871104763855,147.80438690985272,0.0,0.0
 01/01  20:00:00,1.7,19.721740465623387,4.12712545914862,17.76870599966838,28.988086033218654,605.7166998261491,605.7166998261491,0.0,0.0,0.0,0.0,861.6414949506229,281.8460710233495,22.92937590804735,154.2366166760629,0.0,0.0
 01/01  21:00:00,1.7,19.714228133678425,3.6138332789648557,17.712927102196286,30.101214409272337,640.5281217848096,640.5281217848096,0.0,0.0,0.0,0.0,905.3942481827462,295.15219007158146,21.659274114181716,152.5200839448892,0.0,0.0
 01/01  22:00:00,1.7,19.676412672038644,3.4327935781242642,17.653403984618564,37.92510568124699,823.0059905082417,823.0059905082417,0.0,0.0,0.0,0.0,1148.735124157832,371.75367299847244,27.303894299565712,140.17887901919715,0.0,0.0
 01/01  23:00:00,2.2,18.78890947084845,3.1986433760683375,17.595421302599323,14.320439705207711,255.07564574417484,255.07564574417484,0.0,0.0,0.0,0.0,436.2510064814722,142.55273968600957,9.008014010961464,177.45121843226565,0.0,0.0
 01/01  24:00:00,2.2,18.470755509042377,3.354763730658684,17.517852501255692,28.538030367427567,658.0715172151649,658.0715172151649,0.0,0.0,0.0,0.0,894.1213428580563,282.14118278059135,15.724065773139333,155.1015438324473,0.0,0.0
 01/08  01:00:00,-1.1,18.797946282431013,-0.9846792838736287,18.473972184163642,90.86952304914007,1744.2112817343295,1744.2112817343295,0.0,0.0,0.0,0.0,2822.066304131836,892.8007951483107,35.693262873253566,56.842330586088785,0.0,0.0
 01/08  02:00:00,-1.1,18.664089273277245,-0.1955721890506094,18.081394273944607,93.91601542565071,1909.7049698717874,1909.7049698717874,0.0,0.0,0.0,0.0,2923.8024474435483,924.2873732556905,36.89001978073043,52.04240712888735,0.0,0.0
 01/08  03:00:00,-1.1,18.603750318301188,0.4849362115937915,17.876322605705916,100.17002648599329,2132.895114654548,2132.895114654548,0.0,0.0,0.0,0.0,3167.75618638555,990.6731500874422,32.870251695081855,42.36788205799578,0.0,0.0
 01/08  04:00:00,-1.1,18.5995271434273,0.9804929285113201,17.663468454872685,104.61440695150574,2261.331069936852,2261.331069936852,0.0,0.0,0.0,0.0,3323.413742710802,1033.1347960711453,34.34836151260808,35.3737900567624,0.0,0.0
 01/08  05:00:00,-2.0,18.559421013377673,1.0207213113430387,17.471869140743113,116.60014156175863,2413.631035961287,2413.631035961287,0.0,0.0,0.0,0.0,3545.365515833341,1112.9441432161711,63.99910745372082,15.56382312324125,0.0,0.0
 01/08  06:00:00,-2.0,19.33506587394911,1.669698785751368,17.302225663755024,127.7895385604455,3402.234899002964,3402.234899002964,0.0,0.0,0.0,0.0,3924.031352367955,1205.5993425633753,69.39973332507903,0.0,854.9812868377712,854.9812868377712
 01/08  07:00:00,-2.0,19.60694859504474,1.8873298797635445,17.18196452575552,127.7895385604455,3278.8408330851507,3278.8408330851507,0.0,0.0,0.0,0.0,3908.636465799866,1223.8391712995162,69.39973332507903,0.0,795.9948205754108,795.9948205754108
 01/08  08:00:00,-2.2,19.689141062363827,1.859912195190652,17.044470461375674,127.7895385604455,3076.47417251524,3076.47417251524,0.0,0.0,0.0,0.0,3869.757670625839,1224.3801674050046,72.05948705177491,0.0,616.3634081104756,616.3634081104756
 01/08  09:00:00,-2.0,19.714091060523767,2.441549843389438,16.918313770119667,127.7895385604455,2884.0764716741505,2884.0764716741505,0.0,0.0,0.0,0.0,3901.7720166117183,1231.9952404613737,69.39973332507903,0.0,367.12414017480205,367.12414017480205
 01/08  10:00:00,-2.0,19.785129817276637,4.806605659299435,16.795334049681774,114.17030666368358,2233.587124494892,2233.587124494892,0.0,0.0,0.0,0.0,3444.265809915332,1112.977604870499,62.66909720438026,19.396720414389577,0.0,0.0
 01/08  11:00:00,-1.0,19.869057599631248,7.22873392360128,16.690518596328065,85.21439861129036,1702.8032022074694,1702.8032022074694,0.0,0.0,0.0,0.0,2590.485913918996,843.8203125776159,41.87771916384015,65.52741360667483,0.0,0.0
 01/08  12:00:00,-1.0,19.871806223816577,10.382906614285618,16.59874699896626,68.46924481624471,1408.8927042352152,1408.8927042352152,0.0,0.0,0.0,0.0,2048.411337615213,679.1097485015022,33.648606659366685,91.95172859548396,0.0,0.0
