Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,1656.5785332501457,540.9884088855354,40.546471701330596,108.71096452102513,57.29722790379731,0.0,18.283561327199386,2.790282187784636,19.66404274733213,1164.3537615082114,1164.3537615082114,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,2600.456583486613,821.5331161318713,59.814271362137205,60.959750950355506,87.29072221543034,0.0,18.433956037652667,2.5788272260060525,19.361454737136274,1847.103555552254,1847.103555552254,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.0,2958.8703759027494,926.360972278636,69.62528753953698,43.24097565751857,98.39007447152132,0.0,18.586402339493695,2.5674957106187986,19.222550040448006,2079.115309577697,2079.115309577697,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2968.5798416574717,934.0049004818583,67.69035364752176,42.76508878772398,98.71096481143906,0.0,18.622043085483337,2.5672340303882475,19.072871181292168,2074.507099663346,2074.507099663346,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-0.6,2765.906532009958,867.8103909071061,53.29744545040931,56.603281195885245,90.24768971836396,0.0,18.64647410816381,2.4543362392723065,18.948383267518203,1930.8173474827308,1930.8173474827308,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-0.6,4019.2657069730335,1210.5345367368677,74.3424613198786,0.0,126.71656548145693,0.0,19.346519073104258,2.9061134173265657,18.776944958953326,2816.9441590100614,2816.9441590100614,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-0.6,3902.585515330826,1206.3577888981288,73.08573281794838,3.398918609755097,123.72789731184513,0.0,19.620167103229505,2.900040805208869,18.68918745915745,2698.805832043632,2698.805832043632,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-0.6,3567.2543851457394,1120.4056164297324,67.51650543841059,18.38017532168619,114.2981973987329,0.0,19.710883230934883,2.8533118921117326,18.58545249922506,2445.6485513668376,2445.6485513668376,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-1.0,3959.346468424708,1229.7196069922795,75.60680445068357,0.0,127.05978541935538,85.44000000000005,19.677555302253953,3.4553136720263593,18.47058227486141,2415.3543877153443,2415.3543877153443,0.0,0.0,0.0,0.0,965.0964712777854,965.0964712777854
 01/01  10:00:00,0.0,4056.3471547115746,1235.3050219196207,78.51603703267475,0.0,127.05978541935538,85.44000000000005,19.702383828779382,4.237898616985687,18.37484191562668,2400.9511213600017,2400.9511213600017,0.0,0.0,0.0,0.0,1035.7007455938792,1035.7007455938792
