Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,18.121742739543286,-1.2162585672305164,19.73602083697096,51.687617628306356,1117.7507750766326,1117.7507750766326,0.0,0.0,0.0,0.0,1504.24030716911,515.5274623386183,0.026028290892224748,129.71087767921193,0.0,0.0
 01/01  02:00:00,-4.4,18.19367846922113,-1.4673847134580962,19.41358642631663,91.31936675063183,1945.8351506060153,1945.8351506060153,0.0,0.0,0.0,0.0,2631.4534810782384,882.4289092329421,8.850158781914114,75.51493240121636,0.0,0.0
 01/01  03:00:00,-2.2,18.433117556357416,-1.1969626000741738,19.253086716349607,105.75180094885415,2406.5808029439995,2406.5808029439995,0.0,0.0,0.0,0.0,3322.5750450438095,1053.434010793764,0.053253268212915955,56.19011640454874,0.0,0.0
 01/01  04:00:00,-1.7,18.52439002400175,-0.6294967071957521,19.07724647942642,114.18232677149423,2608.206470200066,2608.206470200066,0.0,0.0,0.0,0.0,3658.3028640097355,1147.4503867017527,0.057498579153086156,44.725699428459784,0.0,0.0
 01/01  05:00:00,-1.7,18.560661265482818,-0.36747556989310975,18.91257751879153,118.15559188126979,2689.017268151709,2689.017268151709,0.0,0.0,0.0,0.0,3796.3543360749386,1189.304720769717,0.05949938900048293,39.32253374667771,0.0,0.0
 01/01  06:00:00,-1.1,19.285458881888857,0.35292665120278083,18.7272556999739,147.073077832993,3583.33019254023,3583.33019254023,0.0,0.0,0.0,0.0,4920.458073692556,1488.637020216518,0.07406065130088231,0.0,21.926259275207485,21.926259275207485
 01/01  07:00:00,-1.7,19.588685335472938,0.39747034059197894,18.609206724364267,144.23703816131075,3315.0543006517146,3315.0543006517146,0.0,0.0,0.0,0.0,4717.63493916397,1473.2982871564968,0.07263317629432006,3.854881050837422,0.0,0.0
 01/01  08:00:00,-1.7,19.70147562662366,0.3665981112669954,18.476157001101047,138.0180271704847,3109.3020519634883,3109.3020519634883,0.0,0.0,0.0,0.0,4483.836677378164,1418.136080888471,0.0695014814982302,12.311989491234199,0.0,0.0
 01/01  09:00:00,1.1,19.796751098143538,1.9415566015008123,18.381704708088968,101.83948796106097,2352.736615307913,2352.736615307913,0.0,0.0,0.0,0.0,3464.7458816421176,1074.7018179953698,0.051282954073339396,61.51092875217952,0.0,0.0
 01/01  10:00:00,2.8,19.8978437327281,4.146312245571512,18.283739567792946,60.740381778028336,1385.5462577295148,1385.5462577295148,0.0,0.0,0.0,0.0,2091.3572620278615,652.2935753705931,0.030586767156695522,117.40076108044939,0.0,0.0
 01/01  11:00:00,3.9,19.883719299433032,5.730607967250856,18.20377839829727,26.144516752493736,563.6358577553474,563.6358577553474,0.0,0.0,0.0,0.0,901.5558861013914,284.2844568608949,0.013165465409509164,164.4468008901987,0.0,0.0
 01/01  12:00:00,4.4,19.745505330849912,7.300876282345499,18.14408590866246,9.614473932571748,196.26565726031004,196.26565726031004,0.0,0.0,0.0,0.0,331.7016620404483,105.02371652280412,0.004841510985868318,186.92555115077516,0.0,0.0
 01/01  13:00:00,5.0,19.842447799796034,8.917124106799836,18.109787391670938,0.0,-76.6930574694452,-76.6930574694452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,5.6,20.575215634423778,9.762159741506181,18.094392267765578,0.0,-753.8553425763421,-753.8553425763421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,5.6,20.55118711098141,8.45671615885533,18.091259636003006,0.0,-716.3465203045489,-716.3465203045489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,5.6,20.66047645651874,8.153942313793122,18.09986009249424,0.0,-856.661524865418,-856.661524865418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,3.9,20.56407762228203,6.780809507280612,18.105562885323952,0.0,-723.8085920438389,-723.8085920438389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,2.2,20.00870814368069,4.8283247757987455,18.096588004103467,0.0,-237.85530518034466,-237.85530518034466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,1.7,19.75376343174455,3.1754783382773715,18.072905992133855,0.0,-26.984017679722456,-26.984017679722456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,0.6,19.724358330306703,1.984972986807023,18.02687687114027,8.174964130369348,167.17189216850602,167.17189216850602,0.0,0.0,0.0,0.0,251.01185949479648,84.76168622568106,0.9352291607380783,188.86707529579937,0.0,0.0
 01/01  21:00:00,0.6,19.765054885635145,1.249319125938552,17.963791708930902,16.922293463531755,393.7985118861525,393.7985118861525,0.0,0.0,0.0,0.0,525.9512972302732,176.1992126488062,1.280395154291642,176.9660471632966,0.0,0.0
 01/01  22:00:00,0.6,19.80022593485096,0.6514961434639909,17.8892902131691,26.026187466820296,604.1399427081051,604.1399427081051,0.0,0.0,0.0,0.0,814.3893589386175,271.1806577247572,1.9680654325005935,164.57420285441478,0.0,0.0
 01/01  23:00:00,-0.6,18.625328568979693,-0.2123044100450584,17.8127703637347,14.187232612199624,268.918122052969,268.918122052969,0.0,0.0,0.0,0.0,418.2668474330469,144.12207607179937,2.8794367129766862,180.64626449227958,0.0,0.0
 01/01  24:00:00,0.6,18.710266677016048,-0.14548791897905103,17.70412035166977,33.832860648100215,799.5006233173517,799.5006233173517,0.0,0.0,0.0,0.0,1065.319486072523,342.974021680603,3.865589876886819,153.92579819423472,0.0,0.0
 01/08  01:00:00,-11.7,18.579011101931435,-7.494026420821201,18.407743305759737,147.073077832993,5782.10390091523,5782.10390091523,0.0,0.0,0.0,0.0,3601.0833317358397,1361.7100976111308,0.07406065130088231,0.0,4171.6156231321165,4171.6156231321165
 01/08  02:00:00,-12.2,18.575976662903418,-7.443919676295023,17.98558213798357,147.073077832993,4717.984377264616,4717.984377264616,0.0,0.0,0.0,0.0,3547.331014672967,1352.507910745563,0.07406065130088231,0.0,3224.2569752171817,3224.2569752171817
 01/08  03:00:00,-12.8,18.582920276286433,-8.023423159632834,17.779965484021883,147.073077832993,4580.305790570514,4580.305790570514,0.0,0.0,0.0,0.0,3480.811542079115,1344.2984059527616,0.07406065130088231,0.0,3148.1307531107295,3148.1307531107295
 01/08  04:00:00,-12.8,18.583103662767208,-7.5016345339603285,17.54190251859137,147.073077832993,4508.410341032564,4508.410341032564,0.0,0.0,0.0,0.0,3480.8737272481503,1344.2326545871588,0.07406065130088231,0.0,3094.8930884012184,3094.8930884012184
 01/08  05:00:00,-12.8,18.58366330733272,-8.132421112223815,17.3232246347572,147.073077832993,4624.172472261351,4624.172472261351,0.0,0.0,0.0,0.0,3481.1385667706536,1343.9526118155356,0.07406065130088231,0.0,3211.8474157460246,3211.8474157460246
 01/08  06:00:00,-12.8,19.330844370273997,-8.13128002765168,17.11471228671216,147.073077832993,5789.783756700173,5789.783756700173,0.0,0.0,0.0,0.0,3481.376784245605,1343.7006982926066,0.07406065130088231,0.0,4590.822213521455,4590.822213521455
 01/08  07:00:00,-12.8,19.57938852244142,-7.90886389827436,16.948159272745027,147.073077832993,5579.27578449234,5579.27578449234,0.0,0.0,0.0,0.0,3464.2274716057514,1361.7839170616414,0.07406065130088231,0.0,4456.279718727982,4456.279718727982
 01/08  08:00:00,-12.8,19.660003488989016,-7.777075353854273,16.76608003903334,147.073077832993,5281.910283108173,5281.910283108173,0.0,0.0,0.0,0.0,3458.60422765846,1367.6897317494127,0.07406065130088231,0.0,4135.69338255786,4135.69338255786
 01/08  09:00:00,-11.1,19.706890639404772,-7.29558113806607,16.600662513035616,147.073077832993,4235.856316330031,4235.856316330031,0.0,0.0,0.0,0.0,3648.565321633086,1391.9200469881312,0.07406065130088231,0.0,2740.32480971555,2740.32480971555
 01/08  10:00:00,-10.0,19.722892251518804,-6.325528329350104,16.44428379170097,147.073077832993,3546.417820538276,3546.417820538276,0.0,0.0,0.0,0.0,3774.8204900969554,1407.1004964973536,0.07406065130088231,0.0,1778.5973168238115,1778.5973168238115
 01/08  11:00:00,-9.4,19.749556053164248,-3.8929364371489257,16.32519137262817,147.073077832993,2436.163279969531,2436.163279969531,0.0,0.0,0.0,0.0,3845.0035052940407,1414.9970753254756,0.07406065130088231,0.0,363.4657310787379,363.4657310787379
 01/08  12:00:00,-8.3,19.8598831825206,-0.5926594352835467,16.239338048671243,123.76852244548748,1832.6292842725288,1832.6292842725288,0.0,0.0,0.0,0.0,3281.157710012468,1203.1288855267983,0.062326504571932895,31.68793825827352,0.0,0.0
 01/08  13:00:00,-7.8,19.773316303139467,-0.14776022625524243,16.171129523025478,116.8086942899889,1909.4462496568067,1909.4462496568067,0.0,0.0,0.0,0.0,3123.7265242741655,1142.7888303881925,0.05882167070380139,41.152704788323604,0.0,0.0
 01/08  14:00:00,-7.8,19.973450509052206,1.3277097726368463,16.126467900561845,84.25456843020712,1301.0322593311594,1301.0322593311594,0.0,0.0,0.0,0.0,2195.6718260665207,823.0253096011589,0.04242830095960637,85.4228251727489,0.0,0.0
 01/08  15:00:00,-7.8,19.81471252341991,0.7304454508009733,16.09863732834782,71.14529320152563,1138.419425608714,1138.419425608714,0.0,0.0,0.0,0.0,1832.6307795046407,697.6381068614855,0.035826828548657395,103.25003110462632,0.0,0.0
 01/08  16:00:00,-7.2,19.971229004975445,-0.26143639085792464,16.079715550396667,53.539077355252815,856.2469912441029,856.2469912441029,0.0,0.0,0.0,0.0,1386.1309915409402,526.1835601329881,0.026960790407147665,127.19267267144201,0.0,0.0
 01/08  17:00:00,-8.3,19.715398593628542,-1.9824357669605575,16.064380572152647,59.70796392381526,964.0238063627748,964.0238063627748,0.0,0.0,0.0,0.0,1501.4389309255414,582.8976617215886,0.030067328182503097,118.80350049758502,0.0,0.0
 01/08  18:00:00,-9.4,19.485416094587073,-2.5049336065784513,16.030103808964814,105.75894897495292,1789.7475252903241,1789.7475252903241,0.0,0.0,0.0,0.0,2672.4056071440536,1017.2267408014004,0.05325747484640913,56.1787564356063,0.0,0.0
 01/08  19:00:00,-9.4,19.511431747121406,-4.06056313433008,15.982426094178512,123.77721668432729,2050.8661482024954,2050.8661482024954,0.0,0.0,0.0,0.0,3178.82060130445,1185.2524064739134,0.062331007119745464,31.67577917586342,0.0,0.0
 01/08  20:00:00,-9.4,19.564420258827763,-4.2344251489249025,15.924485769264342,133.60144192496858,2133.617642266665,2133.617642266665,0.0,0.0,0.0,0.0,3458.6823260608194,1279.8349374969723,0.06727823321376282,18.315847803079443,0.0,0.0
 01/08  21:00:00,-8.9,19.568927996042408,-4.474497427985969,15.848718003841423,147.073077832993,2792.6935334335794,2792.6935334335794,0.0,0.0,0.0,0.0,3908.678393228,1416.3643573120564,0.07406065130088231,0.0,509.2533605659428,509.2533605659428
