Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,19.4,24.53883832754271,18.135679711678506,21.080622040374678,3.0686248344145475,-3278.557999265904,-3278.557999265904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,19.4,24.37926107726182,18.712483581823523,20.986952399821718,3.48721156886047,-2693.9369913746423,-2693.9369913746423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,18.9,24.41214874465966,18.661992039804,20.90937068516201,0.0,-2776.871757474415,-2776.871757474415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,18.3,24.24639476620981,18.329649150158893,20.844792372632707,0.0,-3467.655402515249,-3467.655402515249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,17.2,24.052318763590854,16.95909540208463,20.784953821626605,0.0,-3352.7845336749724,-3352.7845336749724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,16.1,23.371026969319544,15.361979543628518,20.74320295041087,13.325424943843117,-2542.6000919096123,-2542.6000919096123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,16.1,23.325496148882593,14.687260311698818,20.6787201149806,9.003973362270486,-2582.462392139698,-2582.462392139698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,16.1,23.37634555599241,14.285011105478121,20.62457605915506,9.343884781280003,-2415.5785163362816,-2415.5785163362816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,18.3,23.361007125116807,16.820897275166143,20.588784139632573,24.34108858281366,-2856.2364360171478,-2856.2364360171478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,21.7,23.38191069536232,21.422884641441787,20.59571280846397,56.35041514731489,-4638.259700754374,-4638.259700754374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,24.4,23.40338049567095,25.616896789368163,20.633616993645244,84.3387275965852,-5979.5375901839125,-5979.5375901839125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,25.0,23.37643186325887,30.177946503055267,20.6759961118919,99.33406556108041,-6698.030555158675,-6698.030555158675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,26.1,23.389127626219167,31.52925610191803,20.75120758011063,109.48325323653776,-7108.7281250083,-7108.7281250083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,26.1,23.372177221071766,32.45051788867714,20.850990770533908,119.11315719268883,-7545.20806426636,-7545.20806426636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,26.7,23.36130917950754,33.155194582503924,20.966424329220644,123.46288093785225,-7876.752546265074,-7876.752546265074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,25.0,23.34103119638936,30.450284692025377,21.06202546082479,119.20431373243733,-7808.727957114821,-7808.727957114821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,23.9,23.317686914804796,28.68509312157173,21.117277147200507,114.41624383577349,-7754.061152631741,-7754.061152631741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,23.3,23.311796841559378,26.354703347263854,21.206178131861453,104.97996373175698,-7477.861440076147,-7477.861440076147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,21.7,23.299655368650857,23.56759522827545,21.269217937334496,84.13572154537322,-6710.985883931549,-6710.985883931549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,20.0,23.294981998152345,20.851491528210847,21.31909673967843,69.60852278993937,-6070.221570542213,-6070.221570542213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,18.9,23.312197839918845,19.01522097532201,21.345154817226376,59.068753923305465,-5588.569692585243,-5588.569692585243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,18.9,23.32876777329589,18.03293630256855,21.348094886715906,47.39034243825804,-5104.693895171826,-5104.693895171826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,18.3,24.402133744039038,17.504907260708116,21.3071206998689,5.517882913050127,-5497.528472120775,-5497.528472120775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,18.3,24.458981835405122,17.483637808541175,21.277474259589546,4.612055253174951,-3572.0000327279267,-3572.0000327279267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/20  01:00:00,8.9,22.06260800246174,10.09345738899092,20.65785375717978,0.0,-1410.762886376368,-1410.762886376368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/20  02:00:00,8.3,21.640864935398326,8.665862973386798,20.52636839179644,0.0,-2415.1456830315074,-2415.1456830315074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/20  03:00:00,7.2,21.210191053694654,6.462883097381648,20.43142521989174,0.0,-1896.8592223940122,-1896.8592223940122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/20  04:00:00,6.1,20.616469262918088,4.5120634744389605,20.327764648647403,0.0,-1377.872174006343,-1377.872174006343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/20  05:00:00,6.1,20.252625976071243,3.0670247646165265,20.223913553178093,0.0,-1132.7611163933234,-1132.7611163933234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
