Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,19.4,0.0,0.0,0.0,0.0,3.741806740624387,0.0,24.53842965984257,18.151066059531587,21.08144691638645,-3326.285265547869,-3326.285265547869,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,19.4,0.0,0.0,0.0,0.0,4.272576834592241,0.0,24.37768978998104,18.719435559424777,20.988046308575854,-2637.300144384582,-2637.300144384582,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,18.9,0.0,0.0,0.0,0.0,0.5189232526494791,0.0,24.431162506624737,18.665020767814372,20.91007327709368,-2752.1333213985326,-2752.1333213985326,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,18.3,0.0,0.0,0.0,0.0,0.0,0.0,24.288369716136817,18.334508848452476,20.844735231624437,-3532.393420327194,-3532.393420327194,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,17.2,0.0,0.0,0.0,0.0,0.0,0.0,24.10163780873756,16.964517791846312,20.785023481368572,-3447.63888257924,-3447.63888257924,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,16.1,0.0,0.0,0.0,0.0,14.782155440387688,0.0,23.374186780801146,15.362347487106991,20.7454064885606,-2633.664983224051,-2633.664983224051,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,16.1,0.0,0.0,0.0,0.0,9.950786022900113,0.0,23.328236814462937,14.686696924979941,20.679560944507255,-2638.941847059841,-2638.941847059841,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,16.1,0.0,0.0,0.0,0.0,10.252041501146428,0.0,23.375814303683306,14.283480940586877,20.625641044770298,-2464.4361268220564,-2464.4361268220564,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,18.3,0.0,0.0,0.0,0.0,0.0,83.3583341195363,23.126629701303326,16.853058574919913,20.564823511487795,-2907.551937084596,-2907.551937084596,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,21.7,0.0,0.0,0.0,0.0,23.990236215907963,85.44000000000007,23.26756669177155,21.486258100577516,20.556582392910542,-4851.496115039476,-4851.496115039476,0.0,0.0,0.0,0.0,0.0,0.0
