Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,9.4,21.624566550273347,11.264227267898725,20.331819234088293,0.0,-1655.5534539444043,-1655.5534539444043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,9.4,21.20614891658925,10.486777251045027,20.16131717527012,0.0,-1922.976252060751,-1922.976252060751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,8.9,20.682537781925227,9.869161654851682,20.057553491528914,0.0,-1445.2294747793621,-1445.2294747793621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,8.9,20.327297930651245,9.417264465422724,19.94809846206114,0.0,-1195.4659227575357,-1195.4659227575357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,8.9,20.056832220528722,9.26994971309893,19.84557688663622,0.0,-930.593352789605,-930.593352789605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,9.4,20.218898744730396,8.851149402118361,19.749000581661114,0.0,-287.6541421584052,-287.6541421584052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  07:00:00,8.9,21.190607551491137,9.549986798952192,19.64225614863411,25.142985037567595,8.906236632007676,8.906236632007676,0.0,0.0,0.0,0.0,1103.4736895499295,299.39862742815603,0.0,166.02541843551512,0.0,0.0
 01/01  08:00:00,8.9,20.088107966835253,9.201933566027463,19.56681817618567,0.0,-305.44170190522163,-305.44170190522163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  09:00:00,10.0,19.95526178580423,9.415819722086706,19.482392796615066,0.0,-132.17064737341843,-132.17064737341843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,11.1,19.760518950689157,10.706583536453651,19.403915972412612,0.0,-21.639542026852723,-21.639542026852723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
