Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.80252214297998,11.138507502531722,20.309917225112873,-1027.3392623506898,-1027.3392623506898,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.467671418213975,10.369349298250375,20.135803942771016,-1306.5478509595614,-1306.5478509595614,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,20.017362129866626,9.758224412115169,20.031314680738507,-922.8870071095207,-922.8870071095207,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,19.72616147408922,9.31224646506507,19.921605547189518,-731.5530941881625,-731.5530941881625,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,19.52265902344225,9.172770466931269,19.819178643817526,-535.0916873606702,-535.0916873606702,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,19.753341906974107,8.739691960728006,19.722918379703096,-16.95152297612367,-16.95152297612367,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,8.9,313.14588965361133,85.22067976257841,0.0,190.20333770838135,7.21425506351357,0.0,19.730623140464484,9.145767648490601,19.623555188384323,239.0182813994852,239.0182813994852,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,8.9,376.9257499102798,102.40363227343995,0.0,188.2222571417786,8.673121367506656,0.0,19.716222147658428,9.144982022236519,19.53489346028791,303.07429616168884,303.07429616168884,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,10.0,1675.6425345380394,439.35530912013155,0.0,0.0,36.741625939843736,85.44000000000004,19.89291760978201,10.063188632611082,19.439575102257965,383.2649463748512,383.2649463748512,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,11.1,1558.3267839718258,406.0192703039192,0.0,0.0,33.38604211564579,85.44000000000004,19.75629030335021,11.29414359924849,19.367257422086325,222.31394615180398,222.31394615180398,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,11.1,1472.546670284048,383.0524924280294,0.0,0.0,31.574320366316574,85.2587368640389,19.72565680981819,12.675181652115093,19.292778008408142,195.40317461605628,195.40317461605628,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,19.97591928605181,15.073816353883137,19.239897079551397,-94.13946589028274,-94.13946589028274,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.472713638139933,17.575012081401614,19.19050778711033,-500.1901686466663,-500.1901686466663,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.864348951312376,18.8531155915353,19.161660146487616,-747.4841159720054,-747.4841159720054,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.067662597875852,18.380356644858583,19.15012756604604,-850.8919905492203,-850.8919905492203,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,21.444889491996605,18.50500094830981,19.152977501105216,-984.5425415944592,-984.5425415944592,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,22.27334579481983,18.252869777138834,19.161971575582356,-1364.6981992036235,-1364.6981992036235,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,13.3,0.0,0.0,0.0,0.0,0.0,85.44000000000004,21.437695012605325,16.56686968895051,19.176520096836757,-2034.4957788122992,-2034.4957788122992,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,12.8,0.0,0.0,0.0,0.0,0.0,85.44000000000004,21.260867299093228,15.302118390802676,19.1964189363136,-2385.426162814132,-2385.426162814132,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,12.8,0.0,0.0,0.0,0.0,0.0,85.44000000000004,21.140664168718295,14.223547149379876,19.20875548726134,-2268.9714979140736,-2268.9714979140736,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,12.2,0.0,0.0,0.0,0.0,0.0,77.95823211159478,21.136604666767173,13.456440398516673,19.2100902119261,-2122.045392438489,-2122.045392438489,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,21.981148595907104,12.7959478849237,19.20103221049146,-1863.7953954593813,-1863.7953954593813,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,12.2,0.0,0.0,0.0,0.0,0.0,0.0,22.012302355394766,12.600148296728378,19.18370425850706,-1409.2862445243927,-1409.2862445243927,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,12.2,0.0,0.0,0.0,0.0,0.0,0.0,21.675802911782746,12.380951879706203,19.159669482700384,-1584.361432964305,-1584.361432964305,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  01:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,21.22807452027977,5.090946821642196,20.427692393977132,-2042.2563189176344,-2042.2563189176344,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  02:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,20.55292570928626,5.312951489329395,20.251994913895263,-1588.9364712476508,-1588.9364712476508,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  03:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,19.8956017656458,4.462717809929657,20.119704692524678,-1007.3000692929672,-1007.3000692929672,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  04:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,19.12523707145695,4.13612609012896,19.981311489609705,-392.37755207480404,-392.37755207480404,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  05:00:00,4.4,35.62754135512766,11.218434130750634,0.9495708285188894,198.38497000097038,1.1841372778299897,0.0,18.637740163154767,3.8989226459198734,19.846479007386524,6.842304559279,6.842304559279,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  06:00:00,2.8,1501.6302565079454,463.1943345894147,42.07460391955896,131.25863582689624,50.24700684684852,0.0,19.60143674655538,3.529148630208923,19.648113595652404,1132.5841540910096,1132.5841540910096,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  07:00:00,2.2,2977.5235431394494,914.8953034657859,92.01134921696168,64.06481829214408,99.1432613380484,85.44000000000004,19.566389923790155,3.6121689231911227,19.49593596828438,1089.3187995740373,1089.3187995740373,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  08:00:00,2.2,2358.2638215762104,735.4307581134537,74.01409872111722,90.65348955079166,79.75115210670364,39.00459708717,19.69207831514622,3.190827790338098,19.386853955918433,1193.0019699679287,1193.0019699679287,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  09:00:00,6.1,642.5132364177376,180.30921483611718,0.0,178.5928950568899,15.764176679145496,0.0,19.873377918683985,5.322201176940055,19.324500979171884,481.5877364657663,481.5877364657663,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  10:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.06234431144801,9.520372268331016,19.218624454042224,-437.02339348189344,-437.02339348189344,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  11:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.86236793265229,12.630915909006074,19.144793938819895,-901.9856946490308,-901.9856946490308,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  12:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,21.938108265584304,16.76560106180322,19.10505599816603,-1739.297147743997,-1739.297147743997,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  13:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,23.154612559803265,21.20290565283543,19.09696205297162,-2366.9755003373066,-2366.9755003373066,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  14:00:00,15.0,0.0,0.0,0.0,0.0,0.0,62.764763406161805,23.0105547966537,23.271207525965895,19.115937862379187,-3489.0681952406794,-3489.0681952406794,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  15:00:00,16.7,0.0,0.0,0.0,0.0,26.68839603902937,0.0,23.29782718065769,22.156830781534843,19.18818277987765,-4141.333396119309,-4141.333396119309,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  16:00:00,16.1,0.0,0.0,0.0,0.0,43.793511875899185,0.0,23.385527899640696,21.30673415589634,19.288191250559564,-5247.931429627884,-5247.931429627884,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  17:00:00,16.1,0.0,0.0,0.0,0.0,57.57132772272055,0.0,23.340081854575214,19.859383502639172,19.397985584418052,-6073.127817639928,-6073.127817639928,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  18:00:00,12.8,0.0,0.0,0.0,0.0,52.04508676309329,0.0,23.37876155007003,18.090780184768448,19.478552432718192,-6019.779093790508,-6019.779093790508,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  19:00:00,10.6,0.0,0.0,0.0,0.0,7.753795177875369,73.48668041542643,23.377184619653057,15.492615166495764,19.516834381266573,-5085.079593276998,-5085.079593276998,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  20:00:00,10.6,0.0,0.0,0.0,0.0,2.4899693123381925,66.44123889223009,23.36066419286932,12.652339929806315,19.571539300140806,-4420.627477723752,-4420.627477723752,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  21:00:00,7.2,0.0,0.0,0.0,176.31112945777318,17.444467224759382,0.0,23.159358865083625,9.904611289537385,19.602589630979413,-3973.8766323886757,-3973.8766323886757,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  22:00:00,6.1,0.0,0.0,0.0,196.89064612168505,2.289725959021792,0.0,23.311498671825877,7.874734698964331,19.58605329728527,-3280.6467595688937,-3280.6467595688937,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  23:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,22.891160285213623,6.4574243859334,19.55967060838186,-3224.4123787597655,-3224.4123787597655,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  24:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,22.09687667345672,4.484008474370614,19.51536022554479,-2574.1082455641954,-2574.1082455641954,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  01:00:00,2.8,0.0,0.0,0.0,200.0,0.0,0.0,21.155430679150037,3.2120451411735393,19.453417993846966,-1952.251807182949,-1952.251807182949,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  02:00:00,2.8,0.0,0.0,0.0,200.0,0.0,0.0,20.440651451692737,2.5320607126629713,19.380287469155608,-1449.5250537816828,-1449.5250537816828,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  03:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,19.703882576896216,2.683807254934491,19.29300010679785,-840.2013764896437,-840.2013764896437,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  04:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,18.99059354736986,2.39235273147528,19.19766316211254,-287.7564575174838,-287.7564575174838,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  05:00:00,3.3,202.18977381972533,64.34967760184229,4.9340184855856934,190.7170531731802,6.798075225809514,0.0,18.639994535884327,2.3130142553870567,19.089725740841647,124.17178338633857,124.17178338633857,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  06:00:00,2.2,1440.7338246348713,449.2632369125809,35.218198397348814,134.01498527203302,48.236041418418026,0.0,19.347101988798045,2.4240034003044917,18.934363621519914,1060.0268947058457,1060.0268947058457,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  07:00:00,1.7,3549.6477119708475,1077.3260837044265,87.22306029946547,42.49743094803298,114.99817744830438,82.75840631261754,19.398391239163896,3.2032727635506366,18.78638441032079,1477.8397419774083,1477.8397419774083,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  08:00:00,1.7,3865.275189490337,1165.3361678991193,94.27031534012939,29.77188830073154,124.28932929707373,85.44000000000004,19.554698603531747,3.4088373219908066,18.685286599114225,1672.4038375599794,1672.4038375599794,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  09:00:00,5.0,2148.658009492677,642.3664864708263,39.54222538639653,111.38219603650579,65.09550493939652,29.423025142401915,19.744459127002454,5.740384536352246,18.64608001746598,1175.960221976371,1175.960221976371,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  10:00:00,7.2,333.42108816371757,92.67059358401421,0.0,189.12987885936755,8.004749387646486,0.0,19.89317857099067,8.99764756125107,18.58055301313557,252.64303159421615,252.64303159421615,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  11:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.43877895196716,11.861678181312561,18.521676180537668,-560.8377409916902,-560.8377409916902,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  12:00:00,11.1,0.0,0.0,0.0,0.0,0.0,0.0,21.639018483251583,17.290436637105728,18.497138421617112,-1517.329785673779,-1517.329785673779,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  13:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,22.37724258916317,20.667052297839113,18.499892960820933,-1896.6649112848118,-1896.6649112848118,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  14:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,23.229939297270857,22.67354178293409,18.530312639581098,-2554.2463036272366,-2554.2463036272366,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  15:00:00,11.7,0.0,0.0,0.0,0.0,18.172034064006013,0.0,23.313660422676705,22.918008646288307,18.60415969650746,-3370.0929397854416,-3370.0929397854416,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  16:00:00,11.7,0.0,0.0,0.0,0.0,37.1667498855554,0.0,23.378860957717595,22.379409542299136,18.709145052717346,-4749.858640266599,-4749.858640266599,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  17:00:00,11.7,0.0,0.0,0.0,0.0,51.511113356579976,0.0,23.332242471589993,20.293258648992218,18.827606781851973,-5700.82409340991,-5700.82409340991,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  18:00:00,7.8,0.0,0.0,0.0,140.3814073327014,43.90308874866287,0.0,23.244399914769183,16.188307117852435,18.908931514677015,-5627.303142058907,-5627.303142058907,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  19:00:00,6.7,0.0,0.0,0.0,200.0,0.0,83.54978462673206,23.138394086619723,12.984341817966143,18.950821050122585,-4626.005419541514,-4626.005419541514,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  20:00:00,7.0,0.0,0.0,0.0,200.0,0.0,85.44000000000004,22.78559200457205,10.092856364772988,19.01121753536699,-3974.8451940823543,-3974.8451940823543,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  21:00:00,3.9,0.0,0.0,0.0,200.0,0.0,30.668188391487238,22.873983274630994,7.312106608794809,19.031259782446636,-3402.972125099208,-3402.972125099208,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  22:00:00,2.8,0.0,0.0,0.0,200.0,0.0,0.0,22.779876097599914,4.76374384228272,19.02093179574283,-2605.3142828927485,-2605.3142828927485,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  23:00:00,2.8,0.0,0.0,0.0,200.0,0.0,0.0,22.164809314796095,2.8974883224255708,18.989278329727792,-2758.1568261327648,-2758.1568261327648,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  24:00:00,1.1,0.0,0.0,0.0,200.0,0.0,0.0,21.212951353168872,1.2009938237643254,18.94022846347046,-2032.2211069843743,-2032.2211069843743,0.0,0.0,0.0,0.0,0.0,0.0
