Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,21.1,24.425339609166382,21.001698807877066,22.29674727248046,8.150288572961971,-4077.4672282372358,-4077.4672282372358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,21.1,24.441243626326685,21.032938270478258,22.28075830675753,5.816561281898144,-3734.225570814041,-3734.225570814041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,21.1,24.438764204562418,20.716256080800743,22.256134248442034,3.303181055074913,-3231.3304135980843,-3231.3304135980843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,20.0,24.45265925095935,19.624377033693808,22.228747153999326,1.869376890499429,-2362.3799744982566,-2362.3799744982566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,20.0,24.447059833978795,19.56455732698986,22.199260803376458,2.6913471309125043,-3219.828072666155,-3219.828072666155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,18.9,23.480503635109525,18.276532895607396,22.19180489936858,25.96500019861448,-2736.247145030966,-2736.247145030966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,19.4,23.360874983203246,18.123141429127774,22.143605117064396,26.696167462449672,-3460.9222453750335,-3460.9222453750335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,19.4,23.339988918184446,18.487251283803833,22.102700566453027,28.974648896734266,-3509.8402119900566,-3509.8402119900566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,22.2,23.376822048075997,21.45579042702402,22.09698699403816,47.68285182705914,-4274.233857952613,-4274.233857952613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,22.8,23.352626705176007,23.689145451773214,22.107689346971046,63.705370770062316,-5218.482283739302,-5218.482283739302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,22.8,23.35190772049762,25.250357131732446,22.137551999349597,76.79028836712837,-5883.923577681799,-5883.923577681799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,24.4,23.367124470305868,26.332520693361392,22.196177347793775,74.45562801881407,-5983.9179873717985,-5983.9179873717985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,24.4,23.35509431518386,28.459263672145855,22.276404511148506,88.75705664995282,-6402.583545672847,-6402.583545672847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,24.4,23.360489377104138,29.877558215658084,22.354713385887784,103.33352262148394,-7103.125237232292,-7103.125237232292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,25.0,23.371103035049735,30.364943561869026,22.453487816115842,122.8877748490877,-7872.856670509813,-7872.856670509813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,23.9,23.349786203445756,28.149059092594197,22.54345800261805,124.35719461686277,-8209.236472934052,-8209.236472934052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,23.9,23.327267715411676,26.561819683076248,22.653365487000762,118.07414470291423,-8056.076603731304,-8056.076603731304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,22.8,23.31050177142979,24.71988063838367,22.747499788545138,103.91646473084158,-7531.6710925440275,-7531.6710925440275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,21.7,23.30407831777363,22.79596332659437,22.82877704177647,85.25024191047062,-6771.211102287016,-6771.211102287016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,21.7,23.317608552484455,21.82016829135626,22.89311202219529,74.74373404183085,-6239.976703011773,-6239.976703011773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,22.2,23.329193088596092,21.860158484321662,22.933620522283896,68.92817637772015,-5953.208299730419,-5953.208299730419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,21.7,23.321682721467358,21.33219542920847,22.948649445128204,58.14012755230468,-5482.725808161633,-5482.725808161633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,21.7,24.38246905250583,21.331378025266236,22.947605723975833,12.679702756040694,-5935.411923523905,-5935.411923523905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,21.1,24.43984181059081,20.937021962266954,22.940123396223193,11.152239695446301,-4342.607686430065,-4342.607686430065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  01:00:00,21.1,24.441009159945267,20.929676917021403,21.85793411002292,6.699539543289226,-3315.082239235511,-3315.082239235511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  02:00:00,21.1,24.4412531525969,20.9441936823808,21.84406295520526,5.72650262265341,-2764.49204741856,-2764.49204741856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  03:00:00,21.1,24.406208266361546,20.97947445461317,21.831607585504514,5.216553619182705,-2259.442187253272,-2259.442187253272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  04:00:00,21.0,24.43624589212592,20.934366820971796,21.817366951632913,3.132584137992722,-2864.153773760656,-2864.153773760656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/15  05:00:00,21.1,24.446928612047376,20.96370429512695,21.80806888312271,4.237076014166437,-3397.762134921165,-3397.762134921165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
