Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,21.1,0.0,0.0,0.0,0.0,8.895805338553801,0.0,24.428048436636637,20.99994191787245,22.29754634590905,-4117.303710683385,-4117.303710683385,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,21.1,0.0,0.0,0.0,0.0,6.647140849613349,0.0,24.44210550525041,21.030651046070098,22.281778103191407,-3774.8684697504623,-3774.8684697504623,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,21.1,0.0,0.0,0.0,0.0,4.076712846439103,0.0,24.440711137255395,20.714667030164808,22.25717344791285,-3280.4569585034214,-3280.4569585034214,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,20.0,0.0,0.0,0.0,0.0,2.6627403372475977,0.0,24.452829084367096,19.62076321833048,22.229813865971177,-2383.351382696804,-2383.351382696804,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,20.0,0.0,0.0,0.0,0.0,3.4977478668220954,0.0,24.447036892973596,19.561233836964853,22.200471920933687,-3222.817271457582,-3222.817271457582,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,18.9,0.0,0.0,0.0,0.0,26.689728973673652,0.0,23.474505259755656,18.26973186812614,22.193260419440175,-2746.6808493759445,-2746.6808493759445,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,19.4,0.0,0.0,0.0,0.0,27.292633541014297,0.0,23.359845804513853,18.116275556094084,22.144488451638296,-3488.9551541215315,-3488.9551541215315,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,19.4,0.0,0.0,0.0,0.0,29.55141343052251,0.0,23.338500739942024,18.479781101929394,22.103422782114922,-3531.8535739817708,-3531.8535739817708,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,22.2,0.0,0.0,0.0,0.0,16.723011463294405,80.75123763935306,23.373768578466557,21.612685348351075,22.070506983599643,-4296.561644354457,-4296.561644354457,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,22.8,0.0,0.0,0.0,0.0,31.268436135689583,83.20733765221789,23.342963813162193,23.842869786954573,22.0722076414418,-5217.17682235113,-5217.17682235113,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,22.8,0.0,0.0,0.0,0.0,79.36122762005924,0.0,23.33768967992266,25.26460806624153,22.137807795861313,-5891.858779141505,-5891.858779141505,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,24.4,0.0,0.0,0.0,0.0,75.90259290076185,0.0,23.35892263839046,26.344230953672213,22.19389565929281,-5995.7621859098035,-5995.7621859098035,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,24.4,0.0,0.0,0.0,0.0,90.15756082119438,0.0,23.33903881280661,28.459136407878145,22.275869250111764,-6405.7389598976115,-6405.7389598976115,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,24.4,0.0,0.0,0.0,0.0,104.73691672874794,0.0,23.337466415148327,29.873472615707364,22.353036795958182,-7107.271337718332,-7107.271337718332,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,25.0,0.0,0.0,0.0,0.0,124.32748281485284,0.0,23.339782410920574,30.356014035436985,22.451795983174446,-7873.501587841009,-7873.501587841009,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,23.9,0.0,0.0,0.0,0.0,124.72725381891392,0.0,23.33296158269659,28.144594236966995,22.540589858620997,-8203.445717972922,-8203.445717972922,0.0,0.0,0.0,0.0,0.0,0.0
