Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,15.6,20.955502704698958,9.525875770640962,20.496287432145603,0.0,-1925.1358696320312,-1925.1358696320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,13.3,20.746516169014306,10.868957801896716,20.31730160350713,0.0,-1020.5416845050868,-1020.5416845050868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,12.0,20.271652683909288,11.250490804209084,20.19988277442464,0.0,-989.985808211638,-989.985808211638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,19.869068744805464,11.458108915665283,20.093085151920675,0.0,-687.935368217265,-687.935368217265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,11.7,19.928332003109364,11.08241489672027,20.001434550925772,0.0,-718.2623982342857,-718.2623982342857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,11.7,19.806644395565886,11.272068824007018,19.91444342134512,0.0,-54.24890858260187,-54.24890858260187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,11.7,19.77937931207184,10.92065837218597,19.834136362269543,0.0,-33.805391837497154,-33.805391837497154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,10.6,19.760936621305447,9.776719264794284,19.759554216812656,0.0,-22.59247218690689,-22.59247218690689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,12.2,20.12652808757955,11.160200786962367,19.687425192170043,0.0,-240.44509950685097,-240.44509950685097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,13.3,20.934778102840237,13.430607810216113,19.62559233375241,0.0,-880.4951528806305,-880.4951528806305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,15.0,22.269996165751003,16.520366523331997,19.584921592365532,0.0,-1962.2987605184735,-1962.2987605184735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,15.0,23.254693335293613,19.378577101071713,19.572228684928646,0.0,-2905.5268214891967,-2905.5268214891967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,15.0,23.33038336749039,20.744905832475105,19.602978537873046,14.425146166696756,-3348.681990849316,-3348.681990849316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.4,23.196364770771435,21.530969121340135,19.648545242747034,30.72026621435186,-3690.525667176629,-3690.525667176629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,13.3,23.065070631966798,19.498540479146182,19.708743233221643,45.47712044534134,-4998.322793344825,-4998.322793344825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,10.6,23.04654004689703,16.7589292766081,19.76121199397734,42.96572203686711,-5409.725243271543,-5409.725243271543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,8.3,23.364676379455382,13.865260153599015,19.82918678416894,37.20331120253303,-5423.460327570578,-5423.460327570578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.6622368838064,0.0,0.0
 01/01  18:00:00,7.8,23.473855548467103,11.978673279150158,19.89644554837465,25.04749952257629,-4807.1588389208955,-4807.1588389208955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.45611991405673,0.0,0.0
 01/01  19:00:00,7.8,23.350085988806445,10.271210248699626,19.935881986158833,14.501630951777708,-4144.149023601161,-4144.149023601161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.15822546199155,0.0,0.0
 01/01  20:00:00,6.0,22.938792129607435,8.372527659867366,19.93803758073441,4.581221983201964,-3540.37243455339,-3540.37243455339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0476797400862,0.0,0.0
 01/01  21:00:00,5.0,22.04205686834671,6.872989114326079,19.91244887706458,0.0,-2805.4426738521543,-2805.4426738521543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,4.0,21.31085680577374,6.12724899454546,19.87124114238482,0.0,-1635.6011840388128,-1635.6011840388128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,4.0,20.92624275043366,5.438970224114721,19.808284751601875,0.0,-2279.406136847292,-2279.406136847292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,3.3,20.168045989639964,4.657503662723636,19.72362189685608,0.0,-1401.379441423338,-1401.379441423338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 02/10  01:00:00,6.7,19.021448201566685,4.956497035838891,19.147824250751036,11.508415697001709,379.3489370795796,379.3489370795796,0.0,0.0,0.0,0.0,463.2341020693352,126.13965891037734,0.0,185.04726988477097,0.0,0.0
 02/10  02:00:00,5.6,18.303191362936445,5.550124052727354,18.846741358070016,9.242351233972414,279.975934641956,279.975934641956,0.0,0.0,0.0,0.0,360.6111105805721,100.89597425974061,0.0,187.99153703947727,0.0,0.0
 02/10  03:00:00,4.4,18.543593144983486,5.2863573868918925,18.65478781530694,31.634611971155927,755.5589631285384,755.5589631285384,0.0,0.0,0.0,0.0,936.434978195846,282.6963682470305,27.31319702193175,158.6969178177429,0.0,0.0
 02/10  04:00:00,5.6,18.695029798483112,5.4145388532459195,18.49114551927556,30.14080662272725,954.536386721491,954.536386721491,0.0,0.0,0.0,0.0,1196.6176759616078,325.9087766381037,0.0,160.83845433195765,0.0,0.0
 02/10  05:00:00,5.6,18.654648681269563,4.92757939851856,18.33917182147179,27.74285223761995,861.3383397829839,861.3383397829839,0.0,0.0,0.0,0.0,1098.7811026471993,300.8152867649526,0.0,163.95408429295054,0.0,0.0
 02/10  06:00:00,5.6,19.483187784792033,5.659647180110116,18.18578367697065,51.128077921813976,1655.8815999750113,1655.8815999750113,0.0,0.0,0.0,0.0,2060.5752491046946,553.8280895801777,0.0,133.56997430372104,0.0,0.0
