Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,20.3727704842417,9.519273724529267,20.48081464720529,-1419.7279579793067,-1419.7279579793067,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,20.237392569517,10.835249234637674,20.299477118130643,-888.0721110404738,-888.0721110404738,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83088389603467,11.210006385955088,20.181543566570095,-767.4290581301393,-767.4290581301393,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.49102808398249,11.412101195817495,20.07462218819696,-505.3415040796126,-505.3415040796126,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,19.585258538009587,11.036315864452162,19.982862627880614,-519.6455934154274,-519.6455934154274,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,11.7,198.994723768375,52.36421090821475,0.0,0.0,4.417060660422119,0.0,19.728455720646433,11.313606429188738,19.893118214411583,155.93118461831546,155.93118461831546,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,11.7,143.27495656538414,37.84730118116498,0.0,0.0,3.1848502550699638,0.0,19.721486992289893,10.95372476079368,19.814475702372732,117.73975332016562,117.73975332016562,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,10.6,168.86396418555256,45.11812172846359,0.0,0.0,3.851647984188509,0.0,19.794459470823785,9.844951797689383,19.739736606833322,129.0296748996243,129.0296748996243,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,12.2,0.0,0.0,0.0,0.0,0.0,85.44000000000007,18.888804180241696,11.158941660854968,19.670687787487758,-201.8349682823973,-201.8349682823973,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,13.3,0.0,0.0,0.0,0.0,0.0,85.44000000000007,19.067586801488893,13.388503730131042,19.609269535717452,-574.5604497050899,-574.5604497050899,0.0,0.0,0.0,0.0,0.0,0.0
