Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.0,19.414403696521067,4.589661043738307,19.737740298709284,0.0,-622.841026880893,-622.841026880893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,9.0,19.14796469494782,3.960863134659556,19.47967784649313,0.0,-239.50368085995342,-239.50368085995342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,9.0,18.698830863492997,5.050064603548767,19.334748010026832,0.0,-52.51515387960262,-52.51515387960262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,7.2,18.628171470966787,4.696002513280571,19.179978339139897,8.97940422197534,271.6572793961268,271.6572793961268,0.0,0.0,0.0,0.0,365.20748199469614,99.13057733171105,0.0,188.15357831302083,0.0,0.0
 01/01  05:00:00,8.0,18.518951207979853,5.711081873395715,19.046368001461417,12.485106980124003,412.0173091882916,412.0173091882916,0.0,0.0,0.0,0.0,519.4603061713774,138.89145732758328,0.0,183.52854616661202,0.0,0.0
 01/01  06:00:00,8.3,19.612775512187532,6.1520620364791565,18.908623458100163,36.32754784782873,1273.2310909978878,1273.2310909978878,0.0,0.0,0.0,0.0,1550.5032304442027,404.6549039913961,0.0,152.07349618963693,0.0,0.0
 01/01  07:00:00,8.3,19.699941932664103,6.3133069620379985,18.80866207257373,33.97013055117298,1135.6722697099412,1135.6722697099412,0.0,0.0,0.0,0.0,1440.7315209736066,386.00427373685966,0.0,155.18360892072621,0.0,0.0
 01/01  08:00:00,8.0,19.724114778041272,6.761080351255887,18.704235563352455,27.90131079635753,906.0239625398153,906.0239625398153,0.0,0.0,0.0,0.0,1168.906582629033,316.4572895150508,0.0,163.19013097726392,0.0,0.0
 01/01  09:00:00,8.0,19.767173064531917,7.538582500440609,18.613653906273665,15.554997991919572,482.9166990362046,482.9166990362046,0.0,0.0,0.0,0.0,645.6999834729925,176.49801750322916,0.0,179.47847529779025,0.0,0.0
 01/01  10:00:00,10.6,20.10925322291113,10.117721080222722,18.536860214115933,0.0,-219.6809444939172,-219.6809444939172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,10.6,21.083942973791086,13.246541622019159,18.480004973518437,0.0,-1098.1208398963245,-1098.1208398963245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,11.7,21.862801680673616,15.966044141499571,18.453476904266086,0.0,-1756.3021541268809,-1756.3021541268809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,11.7,22.232939558084,17.06465257151654,18.453435546856696,0.0,-1939.6546783278027,-1939.6546783278027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
