Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.0,621.4396333535717,161.93639790713246,0.0,0.0,14.206692288880868,0.0,19.53081372301816,4.922952571814546,19.70929773362019,492.59606105531566,492.59606105531566,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,9.0,0.0,0.0,0.0,200.0,0.0,0.0,18.752779179481205,4.035164995163702,19.45741348378382,-147.00467345129982,-147.00467345129982,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,9.0,202.33131978690417,53.88196371172079,0.0,193.66978345044637,4.774595521541359,0.0,18.60642847189093,5.1978594559484534,19.309182147205618,158.58900926420756,158.58900926420756,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,7.2,549.1494964996549,148.24617759921665,0.0,182.165389851212,13.451838349960372,0.0,18.519358154130504,4.809874669086988,19.15588600680448,417.69251548206375,417.69251548206375,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,8.0,732.4050773248237,194.60811597643834,0.0,176.7599550334641,17.528912913013475,0.0,18.525698260351476,5.805417559992904,19.023314649956394,576.1521381429429,576.1521381429429,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,8.3,1839.997454413046,477.8254492968495,0.0,143.13164344660677,42.89322464590808,0.0,19.651385281898808,6.28323920279246,18.886971162087082,1447.150747495176,1447.150747495176,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,8.3,1557.823431947309,416.8312882338149,0.0,151.39802797331436,36.65826534687115,0.0,19.712151770152456,6.389768743870285,18.7921461391753,1221.8315656204359,1221.8315656204359,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,8.0,1227.5848932967087,332.05307945498885,0.0,161.1928869239946,29.27044704492934,0.0,19.728490456611006,6.817242188832117,18.688783223486784,949.8515260405911,949.8515260405911,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,8.0,2005.6081605589145,535.3446310072525,0.0,137.44204159166202,47.18463352952489,85.44000000000005,19.70541568353502,8.153002047018347,18.592565200012885,502.87135762740036,502.87135762740036,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,10.6,0.0,0.0,0.0,0.0,0.0,85.44000000000005,18.805963026726324,10.408409300289495,18.524902629906375,-182.26291841558123,-182.26291841558123,0.0,0.0,0.0,0.0,0.0,0.0
