Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,4.4,21.920231559547798,9.008570370277864,20.659963558065165,0.0,-1844.7186063043682,-1844.7186063043682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,4.4,21.50892652658709,6.2977160960572816,20.51945281346091,0.0,-2441.0523483537563,-2441.0523483537563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,3.0,20.597041091507453,4.467735999113829,20.406844048055827,0.0,-1529.1313112833686,-1529.1313112833686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,1.7,19.95687447759282,2.3527304617237825,20.289766737118832,0.0,-1098.296226146802,-1098.296226146802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,2.2,19.48778344900918,0.6075989304287946,20.16769455824204,0.0,-686.9648873140941,-686.9648873140941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,1.7,19.593474392122733,0.1083668521815959,20.015930293583384,19.717665923927093,469.02704549098416,469.02704549098416,0.0,0.0,0.0,0.0,570.3815440871326,188.02214731328024,16.607824153266975,174.52590713363222,0.0,0.0
 01/01  07:00:00,1.7,19.65263889182969,-0.1693417481556785,19.88776613759337,26.294594499046948,573.6806792808948,573.6806792808948,0.0,0.0,0.0,0.0,763.9810535874971,251.24748222556224,22.1280357493602,166.02905439449617,0.0,0.0
 01/01  08:00:00,1.7,19.657562977662895,0.3217078795907413,19.75343821685574,36.51605897576785,788.038256811984,788.038256811984,0.0,0.0,0.0,0.0,1068.6058854501339,349.26989650254507,30.729910830903023,152.8234615524438,0.0,0.0
 01/01  09:00:00,5.0,19.898769776956485,2.51496858773437,19.647801166876643,33.175703109662315,755.4910064390369,755.4910064390369,0.0,0.0,0.0,0.0,1044.59994643494,322.2156781794288,30.016861870942492,157.37734719645573,0.0,0.0
 01/01  10:00:00,8.9,20.281324266370238,9.069673430031457,19.56261719518196,0.0,-267.47009308565794,-267.47009308565794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  11:00:00,11.7,21.406662598315105,16.567988555835196,19.47420852282239,0.0,-1415.3412148641019,-1415.3412148641019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,13.9,22.392427717602136,22.19279767544882,19.429427141376962,0.0,-2285.2639930889145,-2285.2639930889145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,14.4,23.27180463597124,27.63435133211683,19.421111195566876,0.0,-2999.982980290024,-2999.982980290024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.4,23.388606619465882,30.21009814910759,19.461122480717254,19.52284470246066,-3739.6737490134783,-3739.6737490134783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.6,23.398963132388392,30.743627635068776,19.530960529759597,35.5401236895,-4205.74481066055,-4205.74481066055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.6,23.37649652072197,30.127222213361296,19.624800031929784,47.92291943641924,-5132.7285336721,-5132.7285336721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,14.4,23.286230678471576,23.947127472056724,19.72089498174947,57.5700057305263,-5706.859445676859,-5706.859445676859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,13.3,23.342340365670164,20.866629804095105,19.787262165221154,37.04754498729621,-5123.999515304375,-5123.999515304375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,12.8,23.31463214313562,17.21609650492734,19.857684489331422,31.89642084260589,-4595.347231735623,-4595.347231735623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,12.8,23.34047669975555,15.438131209380675,19.896436677429875,28.639692586350836,-4452.588606393761,-4452.588606393761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,12.2,23.33081589532683,14.375926511785236,19.909102410474592,24.531159375157817,-4205.150369408555,-4205.150369408555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,11.7,23.35430239237372,13.38581311102399,19.900493132400747,16.936083721859557,-3797.532149073744,-3797.532149073744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,12.2,23.786877499815404,12.67106251080788,19.870663995067968,0.0,-4100.052506487431,-4100.052506487431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,12.2,23.476332647399357,12.135044460953294,19.846134042233373,0.0,-2554.6158239339056,-2554.6158239339056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  01:00:00,3.9,23.86064000523211,5.402916868767958,20.835116394931877,0.0,-4160.795932720817,-4160.795932720817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  02:00:00,3.9,23.04710019921671,3.3869665666127546,20.702027269685075,0.0,-3648.8564163052524,-3648.8564163052524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  03:00:00,5.0,22.39188167636645,2.12147568524886,20.58057312525234,0.0,-2985.199334544437,-2985.199334544437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  04:00:00,3.3,21.468817823930298,1.0642113312431736,20.459009149284327,0.0,-2121.822229882113,-2121.822229882113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  05:00:00,3.9,20.921131155628068,0.21607102555925595,20.335244144670206,0.0,-1755.3595753596,-1755.3595753596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  06:00:00,2.8,20.36857144413937,-0.08296226708325766,20.21170730478338,0.0,-454.0094845008498,-454.0094845008498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/06  07:00:00,3.3,19.976589685818336,-0.19768434987084066,20.0896680084489,0.0,-174.7244432633688,-174.7244432633688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
