Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,21.796794089603086,9.02200613827896,20.656875154129082,-1653.6354828015865,-1653.6354828015865,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,21.43440925910542,6.298849805127281,20.516026548200767,-2383.1329788454022,-2383.1329788454022,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,3.0,0.0,0.0,0.0,200.0,0.0,0.0,20.53695239681438,4.46976709252665,20.403302037757506,-1466.4667990907183,-1466.4667990907183,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,19.909873859292173,2.3489234132462213,20.286191445181014,-1051.2718013771791,-1051.2718013771791,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,19.454437517339986,0.6023655226710566,20.164478081196467,-654.6157105574166,-654.6157105574166,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.7,659.8057108860937,216.82762593227957,19.16507243465929,170.48389068570208,22.73952813405342,0.0,19.650923609742044,0.1736270531994679,20.008149734334253,478.19519673647665,478.19519673647665,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.7,815.9304940111415,268.34296830373677,23.607249802203764,163.61077365861254,28.034669389589038,0.0,19.704552821817515,-0.12049980347486075,19.883628711835343,581.198181570734,581.198181570734,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.7,1145.420449869197,374.1068669105257,32.8818862126224,149.3144517066463,39.04863513145221,0.0,19.73755854654985,0.4002856851231878,19.747981516643065,781.6099422565367,781.6099422565367,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,5.0,2562.3022385518625,765.4089053535888,71.20845640845305,98.47583728397777,78.65266642560168,85.44000000000005,19.78586282046351,3.454975261135649,19.607401116646802,725.1608541128153,725.1608541128153,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,8.9,0.0,0.0,0.0,200.0,0.0,85.44000000000005,18.94998030651901,9.23280922376687,19.563840329494926,-240.52240777419865,-240.52240777419865,0.0,0.0,0.0,0.0,0.0,0.0
