Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.6,3087.213509680303,1070.4952502198068,22.32636964122497,59.78579928221459,112.67040476580289,0.0,18.663197245894644,-2.6554716600656114,18.70765263589289,2097.427694366301,2097.427694366301,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-4.4,3492.248713762062,1170.117212361247,27.930499977324832,47.35402979151833,122.65308607265129,0.0,18.583789920600054,-1.9497720414103321,18.338051361283053,2392.028061399824,2392.028061399824,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-3.9,4595.85491167219,1483.32539937545,37.450505725461774,6.554878652569451,155.43618629534603,0.0,18.467594140592713,-1.4775557169669986,18.102163299684477,3185.9231988416286,3185.9231988416286,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-4.4,4717.712374525272,1518.0259066735389,42.65302475894212,0.0,161.64692642207817,0.0,18.542578794398313,-1.4084217139989779,17.874876187325835,4176.895835501491,4176.895835501491,0.0,0.0,0.0,0.0,1079.0070449891937,1079.0070449891937
 01/01  05:00:00,-4.4,4739.320962161168,1527.488507929412,37.09605734101345,0.0,161.64692642207817,0.0,18.589260076411772,-1.4816848549642825,17.699253706514327,3490.0023264895935,3490.0023264895935,0.0,0.0,0.0,0.0,235.62729707944345,235.62729707944345
 01/01  06:00:00,-6.7,4422.274150680858,1496.006479156912,39.660737247962665,0.0,161.64692642207817,0.0,19.347704981484764,-2.601028619653796,17.49953087938142,4489.583607431654,4489.583607431654,0.0,0.0,0.0,0.0,1751.1333539133657,1751.1333539133657
 01/01  07:00:00,-6.7,4403.1894739109675,1517.9275127067576,39.660737247962665,0.0,161.64692642207817,0.0,19.60255160557862,-2.97321852450162,17.364565468662462,4296.4061327414765,4296.4061327414765,0.0,0.0,0.0,0.0,1665.0744612432518,1665.0744612432518
 01/01  08:00:00,-7.8,4271.999798090821,1516.8435309608574,35.149130147560044,0.0,161.64692642207817,0.0,19.684478924559922,-3.0843033000291062,17.19847873861084,3957.6357103355986,3957.6357103355986,0.0,0.0,0.0,0.0,1445.3231697279916,1445.3231697279916
 01/01  09:00:00,-7.2,4362.696274405586,1532.2864334932576,31.174345956027235,0.0,161.64692642207817,85.44000000000004,19.70286447297218,-2.509404453195124,17.05282656813699,3169.673367998841,3169.673367998841,0.0,0.0,0.0,0.0,1597.5203864228633,1597.5203864228633
 01/01  10:00:00,-5.0,4665.2116297004795,1565.5834200222218,28.356591905021023,0.0,161.64692642207817,85.44000000000004,19.697823714046095,-1.0084433129222008,16.927208255932022,2523.8388883098196,2523.8388883098196,0.0,0.0,0.0,0.0,712.3203573048504,712.3203573048504
 01/01  11:00:00,-2.2,3470.843126811027,1143.467462358718,8.511132383152045,59.35542367508803,113.50849810236345,85.44000000000004,19.76073316501368,1.6674396737715356,16.84160930297876,1246.5034417904662,1246.5034417904662,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,-0.6,2124.7746249068928,702.3617182488871,4.417357207506848,115.03097344271632,68.606808546409,85.44000000000004,19.785853683756837,4.320831856831487,16.763885098825142,530.6334452416431,530.6334452416431,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-0.6,1964.3551104492062,651.9921532049343,4.0987562853182755,121.15934589414748,63.65855029284127,83.00582112056783,19.731694417253458,5.059248628942902,16.704792373088107,638.517521057116,638.517521057116,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,1.7,456.4515519000614,150.09167081370634,0.007126207881142987,182.35733711645236,14.259338841721606,0.0,19.651656801477184,4.929332474806895,16.662419693520263,340.62838559168813,340.62838559168813,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,19.619453455978412,4.714147078446505,16.6309330124469,-131.9269652826497,-131.9269652826497,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,0.6,178.6837460735265,60.18709354734449,0.686777642015859,192.72210860428024,5.8735145249670335,0.0,19.734223912030227,3.877571772984622,16.617388491847848,114.78467090967933,114.78467090967933,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,0.0,337.7304604420642,114.92462013765194,1.2521872887421956,186.07165533524582,11.239732987176634,0.0,20.375121263497594,3.5369580094369253,16.61910452746201,251.04705161533093,251.04705161533093,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-0.6,1809.1106635685428,611.4334700915936,5.967738752271427,126.53592138392085,59.283508958173655,85.44000000000004,19.747213697613272,1.5453814461610125,16.62094413895744,295.3827691594597,295.3827691594597,0.0,0.0,0.0,0.0,0.0,0.0
