Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-17.8,18.60645140864763,-7.581849277515362,17.749818244259114,163.65543581870975,4386.120613526162,4386.120613526162,0.0,0.0,0.0,0.0,3461.6531282592136,1501.553692228742,18.58295891732851,0.0,2879.3957869583805,2879.3957869583805
 01/01  02:00:00,-19.0,18.576836024093684,-8.26605506375453,17.25952063184337,163.65543581870975,4913.091089093545,4913.091089093545,0.0,0.0,0.0,0.0,3306.602243734906,1471.284786176493,24.9727914675383,0.0,3655.7753679613643,3655.7753679613643
 01/01  03:00:00,-15.0,18.58489347942878,-7.736102974923044,17.06242476896645,163.65543581870975,4582.884127115767,4582.884127115767,0.0,0.0,0.0,0.0,3797.425484967144,1540.3158995155811,21.506147177507277,0.0,2847.8558917962046,2847.8558917962046
 01/01  04:00:00,-15.0,18.583329766141553,-7.7127792896869485,16.787833212802937,163.65543581870975,4848.434821714305,4848.434821714305,0.0,0.0,0.0,0.0,3797.4332130121697,1540.2719811867137,21.51455461153034,0.0,3133.9176774341995,3133.9176774341995
 01/01  05:00:00,-14.4,18.5854461798156,-7.564437181952425,16.563342461790352,163.65543581870975,4855.138543888774,4855.138543888774,0.0,0.0,0.0,0.0,3900.4661743188544,1560.1696990225826,12.678008986382553,0.0,3047.2964844386247,3047.2964844386247
 01/01  06:00:00,-14.4,19.326961076646334,-6.41417770639879,16.342791507870327,163.65543581870975,5877.848663758752,5877.848663758752,0.0,0.0,0.0,0.0,3900.689232415407,1559.9251534406399,12.681592766176351,0.0,4218.810218064493,4218.810218064493
 01/01  07:00:00,-14.4,19.581770427015147,-6.366169623954434,16.168763524812615,163.65543581870975,5685.7023636409285,5685.7023636409285,0.0,0.0,0.0,0.0,3880.7765360892217,1580.2738252511394,12.681592766176351,0.0,4044.76478427996,4044.76478427996
 01/01  08:00:00,-13.9,19.661901901875133,-6.309624566116332,15.98600921347694,163.65543581870975,5427.540994106796,5427.540994106796,0.0,0.0,0.0,0.0,3922.4230057863183,1589.0275615266412,17.631186887932916,0.0,3725.940220657991,3725.940220657991
 01/01  09:00:00,-14.4,19.679042382585997,-6.569385420081578,15.803609752241059,163.65543581870975,5580.301752093492,5580.301752093492,0.0,0.0,0.0,0.0,3851.6110192543274,1580.7168703875109,19.358687423710712,0.0,3977.287947061301,3977.287947061301
 01/01  10:00:00,-13.9,19.69309887923062,-5.897503468869053,15.638681136320661,163.65543581870975,5247.538807852807,5247.538807852807,0.0,0.0,0.0,0.0,3911.002053038478,1587.4934021841746,20.601840229112426,0.0,3555.2459178540635,3555.2459178540635
 01/01  11:00:00,-12.2,19.706454086146763,-4.395236544286999,15.48779504600745,163.65543581870975,4871.131078778217,4871.131078778217,0.0,0.0,0.0,0.0,4130.490639327727,1614.420962952011,20.747763620821274,0.0,2872.674190244999,2872.674190244999
 01/01  12:00:00,-11.7,19.715595583188367,-3.253901574680143,15.335456296414716,163.65543581870975,4607.54436500261,4607.54436500261,0.0,0.0,0.0,0.0,4171.736386070834,1612.8109667979331,28.12211088864428,0.0,2448.2566060193076,2448.2566060193076
 01/01  13:00:00,-11.7,19.717797709406025,-2.0093516366852793,15.193153674402375,163.65543581870975,4422.980598266071,4422.980598266071,0.0,0.0,0.0,0.0,4171.699015293817,1612.8509578121764,28.12211088864428,0.0,2168.382986424774,2168.382986424774
 01/01  14:00:00,-8.9,19.73226350833321,-0.03358466754310702,15.086293290859665,163.65543581870975,3768.6118435802364,3768.6118435802364,0.0,0.0,0.0,0.0,4511.988838103599,1640.6737032227297,38.711465537569524,0.0,1007.7188737225042,1007.7188737225042
 01/01  15:00:00,-7.2,19.810973527304334,2.468488655567002,14.979837955767696,149.63747692545863,2822.53582603181,2822.53582603181,0.0,0.0,0.0,0.0,4297.209291070404,1533.8989638321377,36.48779222796163,15.69092174489315,0.0,0.0
