Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-17.8,3446.366989343167,1497.9106150929404,18.512535797469813,0.0,162.896092559363,0.0,18.663863922143314,-7.470363544246566,17.753818890327796,4297.768604513718,4297.768604513718,0.0,0.0,0.0,0.0,2850.71877128689,2850.71877128689
 01/01  02:00:00,-19.0,3292.5671751780374,1467.085278522064,24.878153046684623,0.0,162.896092559363,0.0,18.61953864014684,-8.195587571689638,17.263814062549976,4825.963888771332,4825.963888771332,0.0,0.0,0.0,0.0,3610.7730474937466,3610.7730474937466
 01/01  03:00:00,-15.0,3781.889945920275,1535.637317282125,21.42464616428768,0.0,162.896092559363,0.0,18.612873070424435,-7.68731692296396,17.06628900948715,4502.642417197489,4502.642417197489,0.0,0.0,0.0,0.0,2799.086725661576,2799.086725661576
 01/01  04:00:00,-15.0,3782.2938824705197,1535.1925127807121,21.43302173698357,0.0,162.896092559363,0.0,18.60505208084806,-7.685293050247777,16.791389917789054,4777.110309861157,4777.110309861157,0.0,0.0,0.0,0.0,3089.4895143307367,3089.4895143307367
 01/01  05:00:00,-14.4,3885.0997915212656,1554.8570140090565,12.629963626631737,0.0,162.896092559363,0.0,18.606794735373757,-7.547963928922726,16.566734116321353,4792.59763468289,4792.59763468289,0.0,0.0,0.0,0.0,3022.2534985304856,3022.2534985304856
 01/01  06:00:00,-14.4,3885.333584495813,1554.6015713402278,12.633533825114018,0.0,162.896092559363,0.0,19.364055479919163,-6.39554501158298,16.34616285660873,5820.295190056035,5820.295190056035,0.0,0.0,0.0,0.0,4226.368024527434,4226.368024527434
 01/01  07:00:00,-14.4,3865.0645416756165,1575.308256539834,12.633533825114018,0.0,162.896092559363,0.0,19.611958829390815,-6.35447901320504,16.172721674369807,5627.677862930581,5627.677862930581,0.0,0.0,0.0,0.0,4036.655756533938,4036.655756533938
 01/01  08:00:00,-13.9,3906.740914173026,1583.8445415301512,17.564370661680478,0.0,162.896092559363,0.0,19.682706017435006,-6.305457995627261,15.989533823926072,5369.946428801184,5369.946428801184,0.0,0.0,0.0,0.0,3698.3367944795596,3698.3367944795596
 01/01  09:00:00,-14.4,3836.457902666464,1575.2913984277036,19.28532455556834,0.0,162.896092559363,85.44000000000005,19.687492034923046,-6.3862793256022234,15.806833885804291,5527.286111387664,5527.286111387664,0.0,0.0,0.0,0.0,5088.926868434861,5088.926868434861
 01/01  10:00:00,-13.9,3895.9618035977537,1581.7017979492996,20.523766232919513,0.0,162.896092559363,85.44000000000005,19.700000825631403,-5.6540541046737545,15.641379945830018,5223.933036006061,5223.933036006061,0.0,0.0,0.0,0.0,4867.828935280343,4867.828935280343
 01/01  11:00:00,-12.2,4114.6608140006765,1608.4902102556944,20.669136624401098,0.0,162.896092559363,85.44000000000005,19.7005638270581,-4.118977926747973,15.49038503050512,4871.591946042565,4871.591946042565,0.0,0.0,0.0,0.0,4191.081190615658,4191.081190615658
 01/01  12:00:00,-11.7,4156.103261148522,1606.510247108996,28.015537613925158,0.0,162.896092559363,85.44000000000005,19.707989423555368,-2.9934838850864356,15.337387301257351,4616.0996832170695,4616.0996832170695,0.0,0.0,0.0,0.0,3612.3229150906454,3612.3229150906454
 01/01  13:00:00,-11.7,4156.114786140233,1606.4979133988845,28.015537613925158,0.0,162.896092559363,85.44000000000005,19.707407790772564,-1.7727352451882443,15.194999031134818,4426.007127819128,4426.007127819128,0.0,0.0,0.0,0.0,3167.2220081923215,3167.2220081923215
 01/01  14:00:00,-8.9,4495.194160245128,1634.115968844413,38.56476219556752,0.0,162.896092559363,34.98549465054211,19.71742552881614,0.08164054758823923,15.087776052206378,3759.9997645750263,3759.9997645750263,0.0,0.0,0.0,0.0,1336.729676165909,1336.729676165909
 01/01  15:00:00,-7.2,4145.58094957836,1484.006095011595,35.310751338295994,20.957944592999624,144.68690458628868,0.0,19.759286855064413,2.450249420277477,14.980165752186315,2804.078188020292,2804.078188020292,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-7.8,2995.2993996910577,1116.6035149877152,26.06755357146079,64.79475551049039,109.23071951798012,0.0,19.815399852588946,2.14055831039634,14.882514802048025,2088.0167001682967,2088.0167001682967,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-8.0,3040.961421183069,1136.835419874226,20.37985767915735,63.209257302152565,110.70657104937513,0.0,19.665884814918915,0.2416217920018997,14.821677850229054,2114.9606400133816,2114.9606400133816,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-8.0,4610.447933414468,1641.4252641749565,41.401223855824014,0.0,162.896092559363,85.44000000000005,19.59777135923288,-0.7282070461296005,14.779228130325723,2729.229491878834,2729.229491878834,0.0,0.0,0.0,0.0,628.4009092902165,628.4009092902165
