Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.9,18.641524132743214,-6.593632076238433,18.153732897930837,183.49834054458287,3721.318096011202,3721.318096011202,0.0,0.0,0.0,0.0,3936.218834815454,1565.7669480060101,21.95098142701201,0.0,1533.7513523735015,1533.7513523735015
 01/01  02:00:00,-12.8,18.60847965436088,-7.429405923175164,17.727137492748795,183.49834054458287,3922.9937555914985,3922.9937555914985,0.0,0.0,0.0,0.0,4051.4152500398327,1568.873021593708,30.908756202575496,0.0,1659.002764128967,1659.002764128967
 01/01  03:00:00,-14.0,18.589676313014333,-7.224615808480208,17.49886278028845,183.49834054458287,4274.215420335857,4274.215420335857,0.0,0.0,0.0,0.0,3906.8910532613263,1552.230118904079,28.460006004831236,0.0,2255.460495100277,2255.460495100277
 01/01  04:00:00,-13.0,18.59199121294826,-6.774369153744325,17.265427549186587,183.49834054458287,4310.422395878555,4310.422395878555,0.0,0.0,0.0,0.0,4050.5930471574275,1572.4478967587136,23.834341437399324,0.0,2161.4468871687386,2161.4468871687386
 01/01  05:00:00,-12.8,18.594733191002714,-6.302656527484917,17.051503532814444,183.49834054458287,4333.193570807294,4333.193570807294,0.0,0.0,0.0,0.0,4038.9032315078903,1560.5884248996256,35.49432548465618,0.0,2187.823962058775,2187.823962058775
 01/01  06:00:00,-11.7,19.322347131973473,-5.611788743816151,16.858755701641442,183.49834054458287,5260.545331429654,5260.545331429654,0.0,0.0,0.0,0.0,4162.792550937298,1569.2520203320632,41.30752660828516,0.0,3106.4606127438624,3106.4606127438624
 01/01  07:00:00,-11.1,19.582581831930042,-5.0630204821596445,16.70385218394761,183.49834054458287,4973.760872329318,4973.760872329318,0.0,0.0,0.0,0.0,4235.38057601468,1604.2289872388449,37.436732405932304,0.0,2747.398378697896,2747.398378697896
 01/01  08:00:00,-11.1,19.66950765648963,-4.9473464205457915,16.531862460785735,183.49834054458287,4735.460044057711,4735.460044057711,0.0,0.0,0.0,0.0,4210.445625348944,1604.9251874255324,42.70860995161471,0.0,2493.9223353306934,2493.9223353306934
 01/01  09:00:00,-11.0,19.696382399508963,-4.263077285799503,16.370802794570302,183.49834054458287,4587.75048063246,4587.75048063246,0.0,0.0,0.0,0.0,4226.428296233921,1610.6703155248024,41.261292574597235,0.0,2302.719170022376,2302.719170022376
 01/01  10:00:00,-10.0,19.71608616870712,-3.0658309761501465,16.223518009719104,183.49834054458287,4086.015184621512,4086.015184621512,0.0,0.0,0.0,0.0,4343.041919397723,1620.0462881159397,45.935864344795256,0.0,1581.0275649594796,1581.0275649594796
 01/01  11:00:00,-10.0,19.72455782755213,-0.8890944180787141,16.077533543946103,183.49834054458287,3790.917041063254,3790.917041063254,0.0,0.0,0.0,0.0,4355.905725907779,1625.3421666953677,42.18993891438136,0.0,1166.7914880559883,1166.7914880559883
 01/01  12:00:00,-8.0,19.812310389718995,2.2092006663668946,15.968151397049427,168.0751187318034,2783.454641126018,2783.454641126018,0.0,0.0,0.0,0.0,4235.064933197042,1538.6727751329365,29.48644485875019,15.560224629015496,0.0,0.0
 01/01  13:00:00,-8.9,19.840749700881634,5.126595693523859,15.855890788100918,149.87103582883825,2471.906155895271,2471.906155895271,0.0,0.0,0.0,0.0,3634.8046190906275,1365.8717469481542,24.51562237349627,35.521680080374395,0.0,0.0
 01/01  14:00:00,-8.9,19.841273193135507,5.620655808815642,15.775468335146728,135.6774163015986,2313.3239621147914,2313.3239621147914,0.0,0.0,0.0,0.0,3242.8151588232113,1232.5913286458594,27.07289719339918,50.8690680720592,0.0,0.0
 01/01  15:00:00,-8.9,19.767990077416023,5.263474669229588,15.704748122540238,133.72738009050022,2337.6088913765143,2337.6088913765143,0.0,0.0,0.0,0.0,3192.1755981241886,1214.809541710636,26.681229156662095,53.01260957710543,0.0,0.0
 01/01  16:00:00,-8.0,19.867489886626345,3.8311456166808298,15.648924800118102,104.3283651137137,1840.396022283181,1840.396022283181,0.0,0.0,0.0,0.0,2541.7900956824087,961.8929500833273,12.066247763705661,85.78117562910845,0.0,0.0
 01/01  17:00:00,-8.9,19.734207745551146,2.1031514184220503,15.591576293609988,92.66346268197104,1536.985904306719,1536.985904306719,0.0,0.0,0.0,0.0,2164.4560401823423,845.353018402576,15.154835199820717,98.30493657773236,0.0,0.0
 01/01  18:00:00,-11.1,19.570889635406843,0.2570001107687096,15.522645308445151,128.5478303853874,2077.301396728699,2077.301396728699,0.0,0.0,0.0,0.0,2892.869046679592,1152.9589588484866,15.033878492908071,59.05477013872551,0.0,0.0
 01/01  19:00:00,-12.2,19.469711229283092,-3.56920622520375,15.444985739395433,161.36497889109089,2489.052101559162,2489.052101559162,0.0,0.0,0.0,0.0,3572.994653193,1424.5365397320784,23.970411499482964,22.656958399161887,0.0,0.0
 01/01  20:00:00,-12.2,19.508201869247912,-4.605594626302864,15.363674297600697,179.84492878596686,2664.015233896467,2664.015233896467,0.0,0.0,0.0,0.0,4050.112282277643,1588.3011190357595,21.829259421226897,2.650314209206117,0.0,0.0
 01/01  21:00:00,-12.2,19.61066320541063,-5.816573685796593,15.273483981817105,183.49834054458287,2931.813395788986,2931.813395788986,0.0,0.0,0.0,0.0,4122.0470145357385,1604.3371454243438,27.030232458525887,0.0,428.39993960083666,428.39993960083666
 01/01  22:00:00,-12.2,19.659083472028808,-6.362566727513669,15.173596693070555,183.49834054458287,3410.5281709047376,3410.5281709047376,0.0,0.0,0.0,0.0,4119.345050707972,1607.2053811823205,27.030232458525887,0.0,1081.1714605184166,1081.1714605184166
 01/01  23:00:00,-12.2,18.9828496833246,-6.720440777018841,15.06319719758579,183.49834054458287,2778.694219448029,2778.694219448029,0.0,0.0,0.0,0.0,4118.141474804194,1608.4823195373986,27.030232458525887,0.0,415.04357227708624,415.04357227708624
 01/01  24:00:00,-12.0,18.73898547765273,-6.272402808128642,14.914497049370716,183.49834054458287,3182.2145781551444,3182.2145781551444,0.0,0.0,0.0,0.0,4134.18549678814,1580.506362891814,35.73484851915337,0.0,821.1391164409715,821.1391164409715
 07/20  01:00:00,20.0,24.465910162280768,18.830561602105494,19.75202365693124,18.478961330080548,-5565.303108077,-5565.303108077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  02:00:00,18.9,24.398939310296427,17.405395269728366,19.534188169777952,13.266143197130587,-4825.7700401976745,-4825.7700401976745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  03:00:00,16.7,24.366271132269578,15.8524738849369,19.354491383287662,5.8404981844111346,-4349.343213790233,-4349.343213790233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  04:00:00,16.7,24.48386761992632,13.677059260469601,19.19095783999005,0.0,-3619.0063408799288,-3619.0063408799288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  05:00:00,16.7,24.43860045166455,12.132997353840622,19.048829881922583,0.974055418789243,-2379.554703973571,-2379.554703973571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  06:00:00,17.8,23.42583753281989,12.102357747763659,18.93761158301636,16.62617198396196,-2511.0130165899072,-2511.0130165899072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  07:00:00,19.4,23.4098414257289,13.945078005324902,18.819169171284543,28.753532579932546,-3641.918264071559,-3641.918264071559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  08:00:00,21.7,23.314259432892207,19.54733625325895,18.737850671069502,43.334772196221245,-4487.176753262345,-4487.176753262345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  09:00:00,23.3,23.36359454722696,25.694186254782768,18.676382556974183,54.32550678592808,-5143.581021526392,-5143.581021526392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  10:00:00,26.1,23.38719379044774,32.705743295502764,18.668002058047268,69.90821335396059,-5779.129196640202,-5779.129196640202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/20  11:00:00,26.1,23.38840773138493,38.12688713681668,18.68038066931967,83.36965552059259,-6312.983447468077,-6312.983447468077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
