Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.9,3917.479098327028,1560.3371750517583,21.85436476389789,0.0,182.6906774608458,0.0,18.672369579991372,-6.474355291846057,18.157252388008455,3631.0878523520605,3631.0878523520605,0.0,0.0,0.0,0.0,1469.4077089463713,1469.4077089463713
 01/01  02:00:00,-12.8,4032.7431943703127,1562.8548312273078,30.772712131141592,0.0,182.6906774608458,0.0,18.628871437504767,-7.3495343619237365,17.73085967707794,3844.4505793719727,3844.4505793719727,0.0,0.0,0.0,0.0,1600.3569952192765,1600.3569952192765
 01/01  03:00:00,-14.0,3889.144001487493,1545.967119588125,28.334740042507978,0.0,182.6906774608458,0.0,18.6131854677587,-7.167296422105653,17.50222702185737,4206.802490357741,4206.802490357741,0.0,0.0,0.0,0.0,2229.0266491524685,2229.0266491524685
 01/01  04:00:00,-13.0,4032.125391959253,1566.1998630747398,23.729435215103024,0.0,182.6906774608458,0.0,18.608067019420687,-6.738700914213214,17.26893373981508,4250.226717040656,4250.226717040656,0.0,0.0,0.0,0.0,2124.1873656477583,2124.1873656477583
 01/01  05:00:00,-12.8,4020.6935615131442,1554.1767845143604,35.33809815153138,0.0,182.6906774608458,0.0,18.6087315862328,-6.279092139770942,17.054601087772607,4277.853868142283,4277.853868142283,0.0,0.0,0.0,0.0,2160.10067875193,2160.10067875193
 01/01  06:00:00,-11.7,4144.094278057732,1562.749942505771,41.12571262444756,0.0,182.6906774608458,0.0,19.34843266779845,-5.591605262732022,16.861718582972564,5209.287868361569,5209.287868361569,0.0,0.0,0.0,0.0,3106.331927341341,3106.331927341341
 01/01  07:00:00,-11.1,4216.029171532346,1597.9364895278386,37.27195562021162,0.0,182.6906774608458,0.0,19.60227329268448,-5.051366361415006,16.70722737613868,4923.623124650821,4923.623124650821,0.0,0.0,0.0,0.0,2734.06070152863,2734.06070152863
 01/01  08:00:00,-11.1,4191.3806032820285,1598.4373986268445,42.520629136566065,0.0,182.6906774608458,0.0,19.68017491203992,-4.944201304107343,16.53482522352281,4686.709441243558,4686.709441243558,0.0,0.0,0.0,0.0,2465.1770190400043,2465.1770190400043
 01/01  09:00:00,-11.0,4207.540696139638,1603.8896636084692,41.079682088633845,0.0,182.6906774608458,85.44000000000005,19.690356034343523,-4.055580301243283,16.373409534836927,4543.64105709379,4543.64105709379,0.0,0.0,0.0,0.0,3359.214012322307,3359.214012322307
 01/01  10:00:00,-10.0,4324.10071302732,1612.7236465143508,45.733678855047835,0.0,182.6906774608458,85.44000000000005,19.704858390303972,-2.8141909488165378,16.22534287748501,4070.4640845506765,4070.4640845506765,0.0,0.0,0.0,0.0,2832.445931393084,2832.445931393084
