Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.8,18.33340566173145,1.063655070138446,18.22870847930343,69.10409470150839,1404.9536090880156,1404.9536090880156,0.0,0.0,0.0,0.0,1828.4849375506583,624.7086350805573,32.54694276683295,122.15984085079772,0.0,0.0
 01/01  02:00:00,-2.2,18.53131727843655,0.9174332122222437,17.821073874882824,89.03620327355245,1864.231533702814,1864.231533702814,0.0,0.0,0.0,0.0,2444.942896116205,805.7482371009588,38.706402923397874,99.86953263522189,0.0,0.0
 01/01  03:00:00,-2.2,18.510925851989796,0.9546862375471926,17.60900059731439,103.72524450215968,2108.6376882914356,2108.6376882914356,0.0,0.0,0.0,0.0,2819.4380647083744,926.7540400356689,58.21500905588066,83.02004520967425,0.0,0.0
 01/01  04:00:00,-2.0,18.585785433472545,1.0177182929232969,17.386532872236273,110.25655122415891,2225.1191316819422,2225.1191316819422,0.0,0.0,0.0,0.0,3004.320847399543,979.4187726666805,67.39904916461442,75.55517827528419,0.0,0.0
 01/01  05:00:00,-2.0,18.620284060013443,0.5049038354057905,17.20164151713297,108.63333268317085,2166.7367244435827,2166.7367244435827,0.0,0.0,0.0,0.0,2955.902516161635,966.2470205463933,66.40706782413547,77.38676110323543,0.0,0.0
 01/01  06:00:00,-2.0,19.292607940997296,0.9478119023552848,17.006814567904446,148.32450186199262,3033.5111670956267,3033.5111670956267,0.0,0.0,0.0,0.0,4076.893700529544,1300.8667213565163,106.89383199586706,32.17363250650427,0.0,0.0
 01/01  07:00:00,-2.0,19.58895364938773,1.099311060329066,16.875155602730967,147.68836949870393,2920.229223526938,2920.229223526938,0.0,0.0,0.0,0.0,4043.7632878093013,1312.4186500312424,106.4408928492621,32.884759895718396,0.0,0.0
 01/01  08:00:00,-2.0,19.697908668654097,1.2401347975507206,16.73292601659936,139.06547978949044,2743.9832077981937,2743.9832077981937,0.0,0.0,0.0,0.0,3842.819315939627,1260.934401393565,85.01551718007939,43.028336297895066,0.0,0.0
 01/01  09:00:00,-2.0,19.738355592473187,1.6351179091130934,16.599115586385054,135.26797652693696,2603.4894836493986,2603.4894836493986,0.0,0.0,0.0,0.0,3664.8691218493927,1211.4824183567025,97.49239816130799,46.93415198854043,0.0,0.0
 01/01  10:00:00,-2.0,19.74805749681602,2.469664193520595,16.470153897595548,125.63181062155803,2397.1301167165093,2397.1301167165093,0.0,0.0,0.0,0.0,3381.007203319426,1125.9851141194981,90.54753376340503,57.83778733281382,0.0,0.0
 01/01  11:00:00,-1.1,19.79025782575023,3.5185695648707593,16.354341917428613,113.30380826653251,2233.8366567221765,2233.8366567221765,0.0,0.0,0.0,0.0,3116.0370035097217,1026.2656851955398,77.70270500213026,72.10764938179783,0.0,0.0
 01/01  12:00:00,-1.0,19.761768744354637,3.8223611745527606,16.240951928835358,108.24419546657721,2174.716322383094,2174.716322383094,0.0,0.0,0.0,0.0,2982.622635940216,984.2150204506518,72.27805050549253,77.88474153872356,0.0,0.0
 01/01  13:00:00,-1.0,19.751035355649453,5.081119551177056,16.133216279498583,103.43620973988318,2040.7366647838571,2040.7366647838571,0.0,0.0,0.0,0.0,2790.9210446043558,925.1598420787095,81.12381581042219,83.0353574804559,0.0,0.0
 01/01  14:00:00,0.0,19.776872954552665,5.895457006611691,16.035848235745217,93.48714618585693,1929.6092641189098,1929.6092641189098,0.0,0.0,0.0,0.0,2597.3537333637128,847.9116773215266,68.04765826543537,94.60835391171452,0.0,0.0
 01/01  15:00:00,0.0,19.721565130258778,5.908575137693763,15.94207726853346,91.65076879610723,1906.517021247817,1906.517021247817,0.0,0.0,0.0,0.0,2532.1775919281877,828.4337105746321,69.2234981275253,96.62927098599512,0.0,0.0
 01/01  16:00:00,0.0,19.75147298487607,6.034959935466649,15.853542178569656,89.52377862027255,1843.3607361690465,1843.3607361690465,0.0,0.0,0.0,0.0,2443.7611408098805,800.3759409255845,73.89058520660251,98.904183614686,0.0,0.0
 01/01  17:00:00,0.6,19.706959117095323,4.877768025476505,15.77009150317358,80.28562526592702,1676.6889244789709,1676.6889244789709,0.0,0.0,0.0,0.0,2227.1025077829877,725.0167184269241,63.080561692556785,109.50858595199571,0.0,0.0
 01/01  18:00:00,-5.0,19.48805674779506,2.2972116259664155,15.668819090973283,101.50104132490046,1895.6886539671577,1895.6886539671577,0.0,0.0,0.0,0.0,2534.7015640498166,910.2479778897489,56.12179861701726,85.00983243236541,0.0,0.0
 01/01  19:00:00,1.0,19.990677983959745,2.1352911755970836,15.605957457786237,70.29554164554246,1404.6493560484505,1404.6493560484505,0.0,0.0,0.0,0.0,1957.7101738535196,632.2666023109965,55.90376871777992,120.82048288979983,0.0,0.0
 01/01  20:00:00,1.0,19.671342480017067,2.323264290510195,15.52155747451418,56.37331574173026,1092.360041744636,1092.360041744636,0.0,0.0,0.0,0.0,1552.1258540305441,512.0815632712124,44.83304332178603,136.5005472400166,0.0,0.0
 01/01  21:00:00,1.0,19.758470736137816,2.553441791328064,15.438934827821946,59.787417436941624,1172.8449267468059,1172.8449267468059,0.0,0.0,0.0,0.0,1618.5757536896974,529.6007403236562,55.32042565715653,132.52355461301875,0.0,0.0
 01/01  22:00:00,1.1,19.79852081844709,2.7198930563169115,15.364043672271134,61.36064464844904,1236.0607412258178,1236.0607412258178,0.0,0.0,0.0,0.0,1691.5898896959304,552.1974838346871,51.04118613583352,130.8601687415858,0.0,0.0
 01/01  23:00:00,1.1,18.719716244804236,2.273097488797501,15.267909626512457,29.73835326072473,530.5155018340192,530.5155018340192,0.0,0.0,0.0,0.0,803.2861270186472,267.8532208841727,24.73709985969338,166.4913956824955,0.0,0.0
