Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.8,1797.766560061644,615.5173899648856,32.02714941372565,123.0289231465426,68.00021673721834,0.0,18.402077203489487,1.2524803235084752,18.22925673369176,1336.9458191318608,1336.9458191318608,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-2.2,2414.718106140109,797.4837539178142,38.25684155635864,100.54919472641556,88.00179445630248,0.0,18.594605223622995,1.0326948565421745,17.82259436403279,1793.1876833378374,1793.1876833378374,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-2.2,2767.860066600408,912.0242342367993,57.2175880650832,84.46281333731129,101.94768102661493,0.0,18.558607884204243,1.0163170203470513,17.611746578960233,2030.990610003828,2030.990610003828,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-2.0,2932.251294000819,958.3220055827879,65.8843512452509,77.75781735210153,107.77835420983871,0.0,18.615722485242102,1.0423671154284921,17.389664007281148,2149.433842517363,2149.433842517363,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-2.0,2881.2212569563335,943.8479366272846,64.828544132133,79.71676759632982,106.05086290982776,0.0,18.638805682456276,0.5082383464839887,17.20446718464767,2095.9585176439305,2095.9585176439305,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.0,4099.052096835457,1307.27057360746,107.3815174844752,30.58461498897993,149.00099835470948,0.0,19.350321166810264,0.9886538877368116,17.008172182085634,2967.470306106634,2967.470306106634,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-2.0,3996.101173632295,1299.6183780540784,105.28283840060547,33.895692475473524,146.08088804033798,0.0,19.623547740367542,1.1048928092666297,16.879116226035038,2860.2966574499715,2860.2966574499715,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-2.0,3755.798721995562,1235.346537294596,83.23287282984045,45.569276308111625,136.14917481122552,0.0,19.706879932374935,1.222292999830988,16.73556795135803,2679.4771918583465,2679.4771918583465,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-2.0,4978.961161431272,1575.2035807338098,126.76713803470716,0.0,178.58860403485463,85.44000000000005,19.671185024264297,2.28045616743018,16.5979205931791,2547.7054580972344,2547.7054580972344,0.0,0.0,0.0,0.0,31.72464566358849,31.72464566358849
 01/01  10:00:00,-2.0,4980.073307167742,1573.8807601468288,126.76713803470716,0.0,178.58860403485463,85.44000000000005,19.568100095578053,3.2239889593269195,16.468031950420375,2470.4666584997212,2470.4666584997212,0.0,0.0,0.0,0.0,116.13095855560005,116.13095855560005
 01/01  11:00:00,-1.1,4839.940194530726,1526.2725488106817,116.00512078071499,8.132527709487803,169.15741172728264,85.44000000000005,19.664830073391546,4.520394336095501,16.35148305787129,2334.4674104328587,2334.4674104328587,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,-1.0,4591.797655155615,1456.5536361908764,107.25999653151983,17.897024079425506,160.63483642355288,85.44000000000005,19.7090307105257,4.825786823280531,16.242506723731744,2342.5891327400404,2342.5891327400404,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-1.0,4108.896038766002,1319.2181309417688,115.82478379015906,32.18781685618677,147.68208137055672,83.18213941545324,19.724030308979792,6.024318597731734,16.136751367202656,2183.267376969814,2183.267376969814,0.0,0.0,0.0,0.0,0.0,0.0
