Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.5,17.677081248435027,-0.09479721425450954,19.889974508429724,46.80229905415552,935.7752056631525,935.7752056631525,0.0,0.0,0.0,0.0,1197.6057320005905,432.60010333785306,7.901467795481411,138.7034435490082,0.0,0.0
 01/01  02:00:00,-6.0,18.131567999594534,-1.04618904621036,19.536618799236845,98.40833142177992,1971.76636544756,1971.76636544756,0.0,0.0,0.0,0.0,2582.725228988172,886.2643421422101,19.813706189419896,70.95064077645345,0.0,0.0
 01/01  03:00:00,-4.9,18.359360503212827,-2.0266337156065495,19.395887624376645,120.69204792537768,2423.222041783274,2423.222041783274,0.0,0.0,0.0,0.0,3334.1907616213184,1109.5447799722012,20.5074073733816,41.97795849357537,0.0,0.0
 01/01  04:00:00,-5.3,18.42801142309308,-2.0372140068599864,19.199909557582938,141.3628861428031,2733.505425616986,2733.505425616986,0.0,0.0,0.0,0.0,3899.3986329946774,1295.476276093636,29.26744159523476,14.66951040649076,0.0,0.0
 01/01  05:00:00,-5.0,18.513495446510646,-2.1084445418920743,19.047814612830432,147.10534764198889,2842.1841582564393,2842.1841582564393,0.0,0.0,0.0,0.0,4133.294156001948,1358.8921489900756,24.731229373879952,7.393497655390835,0.0,0.0
 01/01  06:00:00,-5.3,19.285911964990873,-1.9046676169339845,18.887138838423734,153.47651852770554,3898.2320990352255,3898.2320990352255,0.0,0.0,0.0,0.0,4240.921532576651,1392.6075423509283,38.393901154650635,0.0,1195.7051578403607,1195.7051578403607
 01/01  07:00:00,-5.8,19.57384861090719,-2.08677458204005,18.76457145606195,153.47651852770554,3882.758510454976,3882.758510454976,0.0,0.0,0.0,0.0,4150.480372190843,1404.0295036994662,41.18590352321746,0.0,1351.9535889664921,1351.9535889664921
 01/01  08:00:00,-4.4,19.675693845498152,-1.76472568410388,18.64153135230246,153.47651852770554,3469.429686256941,3469.429686256941,0.0,0.0,0.0,0.0,4341.347181470249,1437.2300937985503,34.9663975021917,0.0,727.6835014308663,727.6835014308663
 01/01  09:00:00,-2.6,19.717343312676668,-0.614912984143696,18.51957109851247,152.93905760935004,3052.9751823968,3052.9751823968,0.0,0.0,0.0,0.0,4582.587564050139,1472.2631784677524,27.686308854520252,0.0,0.0,0.0
 01/01  10:00:00,-1.5,19.79409996449964,1.0447082333820479,18.415995799366026,130.1602292725637,2675.2840950138125,2675.2840950138125,0.0,0.0,0.0,0.0,4004.396313359718,1281.5467036049383,10.613473032429885,30.132628603036803,0.0,0.0
 01/01  11:00:00,0.4,19.93093671957356,2.410468728920756,18.344080789801225,82.54844710521103,1711.113165824434,1711.113165824434,0.0,0.0,0.0,0.0,2606.8785590805087,836.0617455260549,0.04006438662371232,92.42786622436839,0.0,0.0
 01/01  12:00:00,1.9,19.967197225353306,4.279434272475066,18.274689743550802,53.260241120505476,1143.3559834482567,1143.3559834482567,0.0,0.0,0.0,0.0,1711.6778029760185,548.2258267708295,0.025849492050644542,130.59459407127682,0.0,0.0
 01/01  13:00:00,3.3,20.066213430738603,6.83665599473062,18.225037097103947,24.267678675492952,508.9381218443068,508.9381218443068,0.0,0.0,0.0,0.0,792.0035122293383,253.2531269209365,0.011778134485507063,168.37592771849737,0.0,0.0
 01/01  14:00:00,4.4,20.073781649672288,8.269945703631409,18.18777506988362,0.0,-88.27806010525819,-88.27806010525819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,5.3,20.243858846502043,8.724492816749324,18.165647241918798,0.0,-388.7317734927856,-388.7317734927856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,4.2,20.36698932589631,7.696064265555277,18.15950559136911,0.0,-489.46638998366507,-489.46638998366507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,3.5,20.32954488456824,6.571406327133207,18.161485284764247,0.0,-452.7337869055191,-452.7337869055191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,3.6,19.86081401878502,5.404234120767085,18.158977483293903,0.0,-98.6890961486115,-98.6890961486115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,2.8,19.786088395244043,4.43009999295272,18.143436483128838,6.102223443792318,87.15056349773113,87.15056349773113,0.0,0.0,0.0,0.0,185.79009957145982,60.701633414316525,1.8383765099514666,192.02770015628857,0.0,0.0
 01/01  20:00:00,3.0,19.996638360206905,4.212544003057595,18.11836571225058,7.581006374121254,163.76648531757564,163.76648531757564,0.0,0.0,0.0,0.0,230.7720284567279,74.94469540725153,2.6338457578258216,190.0931550979304,0.0,0.0
 01/01  21:00:00,2.9,19.719645035007005,3.6403516139683227,18.081239435288325,3.4265483920987747,67.03721139044319,67.03721139044319,0.0,0.0,0.0,0.0,103.33479991558403,33.89667880322231,1.2536100772333816,195.5211299004454,0.0,0.0
 01/01  22:00:00,2.7,19.739462837506625,3.594537077432028,18.030609714866657,13.799661188817938,324.2132281494978,324.2132281494978,0.0,0.0,0.0,0.0,415.443080550084,134.85969935462924,5.53794426356683,181.95368814164908,0.0,0.0
 01/01  23:00:00,3.0,18.842653853536394,3.2774774052573274,17.98176175284141,0.0,-75.31943423323901,-75.31943423323901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,2.0,18.57778482954521,3.0785623190426654,17.908445231154595,17.741082292403973,378.93278264691253,378.93278264691253,0.0,0.0,0.0,0.0,500.1005450141839,161.09457609880678,13.421188634940355,176.69143661441566,0.0,0.0
 01/06  01:00:00,-3.8,18.624868107377907,-0.9533055541114339,18.39143416709844,106.32026533923616,2086.218356567155,2086.218356567155,0.0,0.0,0.0,0.0,2966.059252010563,983.2872134974988,24.71963630590934,60.652542777496585,0.0,0.0
 01/06  02:00:00,-3.5,18.56428103575376,-0.6276649844848337,18.00798319215306,116.73809164138945,2314.5569111895165,2314.5569111895165,0.0,0.0,0.0,0.0,3304.0270990122003,1085.3529197298858,28.074183173510235,46.99860996945979,0.0,0.0
 01/06  03:00:00,-4.0,18.54982795611399,-0.404049047346529,17.777751567248064,130.07230028924454,2560.096049565327,2560.096049565327,0.0,0.0,0.0,0.0,3663.530466738366,1201.0483524566396,32.841773715265965,29.409723142872046,0.0,0.0
 01/06  04:00:00,-3.5,18.58185228944859,-0.16070585086756822,17.561232346239777,133.4076812333542,2655.3695558884338,2655.3695558884338,0.0,0.0,0.0,0.0,3813.91203625247,1233.813887768033,35.560844827897334,25.039355140694664,0.0,0.0
 01/06  05:00:00,-3.2,18.61053913817523,0.01350736982027592,17.374143718023902,131.09612550452974,2623.511480981342,2623.511480981342,0.0,0.0,0.0,0.0,3781.846803275459,1218.4091843936862,32.60468941040867,28.182847247491203,0.0,0.0
 01/06  06:00:00,-2.9,19.30622881674481,0.6417447763086431,17.185120890444775,153.47651852770554,3583.7493204046823,3583.7493204046823,0.0,0.0,0.0,0.0,4546.0291379460095,1423.3892745510645,37.12375564320296,0.0,445.3277206087605,445.3277206087605
 01/06  07:00:00,-2.0,19.58951155528108,0.6220300761580843,17.059635580226818,153.47651852770554,3469.9214085131007,3469.9214085131007,0.0,0.0,0.0,0.0,4698.399727698368,1470.4702890319045,25.21135634090053,0.0,228.73164321268177,228.73164321268177
 01/06  08:00:00,-2.2,19.6813925955932,0.5998224538888772,16.91128415184356,153.47651852770554,3298.6422224711387,3298.6422224711387,0.0,0.0,0.0,0.0,4708.6198287218385,1489.6254112787008,15.49409614752231,0.0,51.34457129495377,51.34457129495377
 01/06  09:00:00,-2.9,19.71968575862064,0.6003313035957925,16.768332756221483,150.8033788958743,3082.6142204024072,3082.6142204024072,0.0,0.0,0.0,0.0,4515.24801272624,1457.667942617149,17.80694014353253,2.9723288078360444,0.0,0.0
 01/06  10:00:00,-3.5,19.80778226514508,-0.0003655573447223798,16.641376235664872,118.83115796331622,2227.0430632157204,2227.0430632157204,0.0,0.0,0.0,0.0,3401.6259668687144,1141.6624206285612,15.976212143929098,44.652389935825475,0.0,0.0
 01/06  11:00:00,-3.0,19.8716194833819,1.5616745871566282,16.539319782790997,90.10411738573337,1658.7747569355543,1658.7747569355543,0.0,0.0,0.0,0.0,2578.4439282968033,876.9200262133243,6.837984374830179,82.38464938494265,0.0,0.0
 01/06  12:00:00,-3.0,19.948140310967062,2.51157771864834,16.446986870282018,61.14806038516717,1087.1373538135558,1087.1373538135558,0.0,0.0,0.0,0.0,1711.1779103652318,595.8824342094381,4.640517463798058,120.18172920240696,0.0,0.0
 01/06  13:00:00,-3.1,19.865165277799655,6.61352062840662,16.3781177489941,37.971606361661244,654.6780264952304,654.6780264952304,0.0,0.0,0.0,0.0,1043.519157825897,371.0331018831412,2.250284915711222,150.45216266535473,0.0,0.0
 01/06  14:00:00,-2.5,19.561855567453257,4.335470104922868,16.320522554510223,23.76804168703659,445.1420257055197,445.1420257055197,0.0,0.0,0.0,0.0,661.1486813277627,234.06322972700562,0.5444176859994905,169.01244371000982,0.0,0.0
 01/06  15:00:00,-3.0,19.973476367485226,5.873559065693305,16.281739023029235,30.182510744654085,607.7991657923831,607.7991657923831,0.0,0.0,0.0,0.0,831.9797823620108,293.86690415628095,0.9759760398085306,160.64017768023558,0.0,0.0
 01/06  16:00:00,-3.6,19.749060591647677,4.381575015102537,16.25200710013505,12.438865565106767,211.2307354034965,211.2307354034965,0.0,0.0,0.0,0.0,331.67061739297185,121.37693385231103,0.4949113147383929,183.77516044393073,0.0,0.0
 01/06  17:00:00,-4.5,19.525496195932405,1.5920973144235326,16.222284911034496,23.455691348477707,453.93527873648054,453.93527873648054,0.0,0.0,0.0,0.0,613.8101525675979,225.7347894181081,1.3019804456998259,169.38920447378126,0.0,0.0
 01/06  18:00:00,-5.1,19.463174335192917,-0.04137078153030635,16.18397281483487,63.28974780623041,1239.1039774388737,1239.1039774388737,0.0,0.0,0.0,0.0,1666.4226349156206,599.7137788009626,6.792015279230342,117.2731822447341,0.0,0.0
 01/06  19:00:00,-5.0,19.60956862436579,-1.2433903006093487,16.132522824116126,77.34470714866777,1450.9310812592175,1450.9310812592175,0.0,0.0,0.0,0.0,2064.5560408847414,732.3874778243921,8.42296231886005,98.90070195678172,0.0,0.0
 01/06  20:00:00,-4.6,19.800226752300016,-1.6835576675662114,16.070003604962995,74.73441718513702,1346.8979811780573,1346.8979811780573,0.0,0.0,0.0,0.0,2017.5145682064654,713.4622593150428,6.805973353299106,102.37279157628092,0.0,0.0
 01/06  21:00:00,-4.5,19.727272487829275,-1.7133709591720854,15.991024480596618,76.57941765048744,1369.140051508546,1369.140051508546,0.0,0.0,0.0,0.0,2080.858962458882,736.3378903308552,5.202522209700108,100.02705512899021,0.0,0.0
 01/06  22:00:00,-4.2,19.672103951908163,-1.630544233052034,15.899152283981628,89.25715851659277,1660.389993606168,1660.389993606168,0.0,0.0,0.0,0.0,2478.748514154076,861.1942979643817,4.142588832623286,83.54822491839582,0.0,0.0
 01/06  23:00:00,-4.1,18.905848841976212,-1.9072191428487593,15.796130275613427,66.61933531993543,1144.0929590816359,1144.0929590816359,0.0,0.0,0.0,0.0,1823.9909265709778,642.5440451648809,3.1644199744325685,113.08209846686132,0.0,0.0
 01/06  24:00:00,-4.0,18.45819890384418,-1.7870776391059884,15.671719868134083,91.0270635623632,1751.1127898113082,1751.1127898113082,0.0,0.0,0.0,0.0,2556.273339185825,865.194202799251,4.50351800239261,81.23385368889096,0.0,0.0
 01/07  01:00:00,-5.0,18.18693814344076,-1.811603753840992,15.529856214012556,147.01581514465366,2898.263210242245,2898.263210242245,0.0,0.0,0.0,0.0,4132.303305769067,1354.2003806093715,25.01529690442863,7.500179504163396,0.0,0.0
 01/07  02:00:00,-6.0,18.455496920130688,-1.6460399209497691,15.40700579150078,153.47651852770554,2987.484867068868,2987.484867068868,0.0,0.0,0.0,0.0,4106.51142324183,1351.4337293720982,53.44898928739627,0.0,303.2348913383089,303.2348913383089
 01/07  03:00:00,-6.0,18.537700026976932,-2.00179075112703,15.294791922309681,153.47651852770554,3808.787882424049,3808.787882424049,0.0,0.0,0.0,0.0,4100.542802096867,1358.3303648287967,53.44898928739627,0.0,1304.7694168957883,1304.7694168957883
 01/07  04:00:00,-7.0,18.543458471707304,-2.6158002302674936,15.157539910521047,153.47651852770554,5086.5166155350635,5086.5166155350635,0.0,0.0,0.0,0.0,4000.0624026152336,1355.5942990289132,48.35858418640558,0.0,2951.4348242445612,2951.4348242445612
 01/07  05:00:00,-8.0,18.55684830076553,-2.9373796337906186,15.031381433741027,153.47651852770554,5458.214248125803,5458.214248125803,0.0,0.0,0.0,0.0,3972.4389237837463,1375.0643962490167,24.636087020543407,0.0,3487.738778899553,3487.738778899553
 01/07  06:00:00,-9.0,19.321523673297005,-3.794702209240688,14.905007845713069,153.47651852770554,6433.071635287362,6433.071635287362,0.0,0.0,0.0,0.0,3864.73257505364,1367.1092014290916,21.811234854560595,0.0,4751.283588064448,4751.283588064448
 01/07  07:00:00,-11.0,19.551646254729572,-4.877289822916896,14.797126163381218,153.47651852770554,6963.560661576166,6963.560661576166,0.0,0.0,0.0,0.0,3675.1601976024276,1383.98379414838,4.825937921585551,0.0,5697.926612462381,5697.926612462381
 01/07  08:00:00,-12.2,19.64355213446092,-5.981154697127783,14.676213853492188,153.47651852770554,6348.358196269317,6348.358196269317,0.0,0.0,0.0,0.0,3544.0803650409607,1378.2344594514398,1.6137283893068017,0.0,5203.61903010597,5203.61903010597
 01/07  09:00:00,-13.2,19.65772737634138,-6.838661178980945,14.537366115619792,153.47651852770554,6422.41702208553,6422.41702208553,0.0,0.0,0.0,0.0,3435.3465935769486,1368.8699183861918,0.07448841111077435,0.0,5474.835520368533,5474.835520368533
 01/07  10:00:00,-12.0,19.67093859950454,-6.019837125734206,14.426890447970235,153.47651852770554,6130.047725029184,6130.047725029184,0.0,0.0,0.0,0.0,3569.6198458442295,1385.1412224778599,0.07448841111077435,0.0,5058.469216306521,5058.469216306521
 01/07  11:00:00,-13.0,19.68602288520965,-5.854597459689109,14.30111953924748,153.47651852770554,5822.3132838657075,5822.3132838657075,0.0,0.0,0.0,0.0,3454.1347413602093,1370.7381742632165,1.026852774855579,0.0,4779.005648806136,4779.005648806136
 01/07  12:00:00,-12.0,19.69063485495168,-4.435629383202215,14.202225459557406,153.47651852770554,5531.9013626637425,5531.9013626637425,0.0,0.0,0.0,0.0,3563.443019091894,1383.275131682879,1.8280987428479152,0.0,4322.848518786426,4322.848518786426
 01/07  13:00:00,-11.1,19.72063313361746,-3.7469116214204083,14.11772085361483,153.47651852770554,4517.407669365994,4517.407669365994,0.0,0.0,0.0,0.0,3672.0599769539863,1397.340641144274,0.07448841111077435,0.0,2956.277863977525,2956.277863977525
 01/07  14:00:00,-10.8,19.730659715486045,-1.4970250341818063,14.0468847222909,153.47651852770554,3781.7623214792984,3781.7623214792984,0.0,0.0,0.0,0.0,3706.0788759123257,1401.911038377742,0.07448841111077435,0.0,2013.0295511905974,2013.0295511905974
 01/07  15:00:00,-11.0,19.765079186434626,-1.798221462384843,14.003520966128102,153.47651852770554,2330.9420560432336,2330.9420560432336,0.0,0.0,0.0,0.0,3682.7250901629086,1399.5741296235014,0.07448841111077435,0.0,207.0686650824573,207.0686650824573
 01/07  16:00:00,-12.2,19.727034136168545,-3.6124018537697924,13.960582869698362,153.47651852770554,2823.67383175298,2823.67383175298,0.0,0.0,0.0,0.0,3545.124331578967,1384.4826158004641,0.07448841111077435,0.0,884.2790978095795,884.2790978095795
 01/07  17:00:00,-13.1,19.717479359711174,-4.4960374946170285,13.941106810074107,153.47651852770554,2507.9595527047695,2507.9595527047695,0.0,0.0,0.0,0.0,3445.294509799353,1371.4176433953096,0.07448841111077435,0.0,704.495949324255,704.495949324255
 01/07  18:00:00,-13.9,19.684776947681346,-6.221194559289162,13.909064379935945,153.47651852770554,3414.103009257622,3414.103009257622,0.0,0.0,0.0,0.0,3357.4013046304303,1360.2110803513501,0.07448841111077435,0.0,1883.302958306508,1883.302958306508
