Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.5,1370.4735920568855,492.29172373694325,8.995625575501194,129.90890192195667,53.25837971645277,0.0,17.79375325285537,0.10299216107718163,19.87618135440205,1009.652577047299,1009.652577047299,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-6.0,2608.225669700323,896.6750116561537,20.001033100974407,69.15842813483664,99.29187762832325,0.0,18.27831409157874,-0.9322353950845123,19.53474110750413,1860.8168867625363,1860.8168867625363,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-4.9,3528.744817768076,1172.0737073468476,21.60144195708461,32.81671956792529,127.07084516613924,0.0,18.47693777724289,-1.8546942679656364,19.384995821504706,2452.326927892522,2452.326927892522,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-5.3,3996.7617886876665,1327.6398777031736,29.92571231034267,9.668881515686301,144.4742185367629,0.0,18.535270003518942,-1.922726657102778,19.19673845562831,2706.550570581152,2706.550570581152,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-5.0,4115.113610955203,1356.494362538058,24.635580668733695,7.295776572096058,146.46749229872222,0.0,18.583848344942602,-2.05125998968995,19.049359469640635,2780.3979289497256,2780.3979289497256,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-5.3,4220.721436778345,1388.44294647778,38.22601729178567,0.0,152.7339722195585,0.0,19.33844929274567,-1.8622409838188738,18.88758590016351,3822.899613353633,3822.899613353633,0.0,0.0,0.0,0.0,1182.1931778639737,1182.1931778639737
 01/01  07:00:00,-5.8,4131.089381424032,1399.3292513137797,41.005811155129884,0.0,152.7339722195585,0.0,19.601904749319313,-2.069695429429776,18.765503459912455,3806.3006958515452,3806.3006958515452,0.0,0.0,0.0,0.0,1308.2935241956447,1308.2935241956447
 01/01  08:00:00,-4.4,4321.690772827749,1431.7346548793857,34.813500981999745,0.0,152.7339722195585,0.0,19.684317780597368,-1.7624438343744462,18.641956369243843,3403.492712039344,3403.492712039344,0.0,0.0,0.0,0.0,671.2505363861974,671.2505363861974
 01/01  09:00:00,-2.6,4578.374217267679,1466.0733468578796,27.565245760143707,0.0,152.7339722195585,85.44000000000005,19.69243283855082,-0.4635574043946052,18.519507553341203,3002.267371197133,3002.267371197133,0.0,0.0,0.0,0.0,1141.0131751004083,1141.0131751004083
 01/01  10:00:00,-1.5,4789.385901125998,1501.366521762922,12.4415462834863,0.0,152.7339722195585,85.44000000000005,19.709165277984944,1.359345332801576,18.399541062574126,2658.9162261651745,2658.9162261651745,0.0,0.0,0.0,0.0,660.3349006727267,660.3349006727267
 01/01  11:00:00,0.4,3982.6669453271243,1235.2649633115107,0.05930644835222279,40.06394033597458,122.13755607426502,85.44000000000005,19.72053248753762,2.8497136943142647,18.322515393386688,1694.0080240188236,1694.0080240188236,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,1.9,2948.8903793615204,913.9875031254601,0.043282537059996774,83.27680004498896,89.13755651526459,85.44000000000005,19.75324584650907,4.624312850810307,18.257206973295826,1157.757142733888,1157.757142733888,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,3.3,1455.7978668531402,456.34192963807806,0.021314299647096413,142.5201610487747,43.895469022681006,53.41006152391454,19.871452869688063,7.154855877721624,18.21613119138995,548.2036805004282,548.2036805004282,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,19.97563381814142,8.348817333904739,18.184256987423872,-5.503427668078075,-5.503427668078075,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.3,0.0,0.0,0.0,200.0,0.0,0.0,20.18552049394016,8.773470486687046,18.16100687353613,-344.62486530357455,-344.62486530357455,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,4.2,0.0,0.0,0.0,200.0,0.0,0.0,20.327117961700083,7.712754654024486,18.154861180991276,-457.08443657091266,-457.08443657091266,0.0,0.0,0.0,0.0,0.0,0.0
