Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,18.63832536783083,-2.6109563660928568,18.608464331860517,149.69985472048234,4034.323701555575,4034.323701555575,0.0,0.0,0.0,0.0,4718.712419319681,1492.8404239214178,82.37256200627249,0.0,1447.4614391058758,1447.4614391058758
 01/01  02:00:00,-3.0,18.67974466651502,-1.8386349597470428,18.19147126181534,147.75067245059032,3170.30078199576,3170.30078199576,0.0,0.0,0.0,0.0,4777.184390855281,1515.8274936641244,62.87218259555192,0.88213961213226,0.0,0.0
 01/01  03:00:00,-4.0,18.617883091895305,-1.5891522945964045,18.009749400553726,149.69985472048234,4143.896950087825,4143.896950087825,0.0,0.0,0.0,0.0,4672.910426131922,1499.5077461533108,71.23733909968334,0.0,1125.1296583624412,1125.1296583624412
 01/01  04:00:00,-4.4,18.607497266506567,-1.56340232344495,17.803609182109113,149.69985472048234,4152.77635108072,4152.77635108072,0.0,0.0,0.0,0.0,4649.649884729317,1501.4692866046253,64.54592868528557,0.0,1151.928593894735,1151.928593894735
 01/01  05:00:00,-5.0,18.616818036426896,-1.1412291798853686,17.63527238253096,149.69985472048234,3559.0309960173145,3559.0309960173145,0.0,0.0,0.0,0.0,4570.11188968435,1493.1544450315073,64.69445633108623,0.0,546.0782705009156,546.0782705009156
 01/01  06:00:00,-5.0,19.36130846783762,-1.3406352325332158,17.47831385527101,149.69985472048234,4633.791060603022,4633.791060603022,0.0,0.0,0.0,0.0,4570.080986551663,1493.1904449652754,64.69445633108623,0.0,1752.7236227747098,1752.7236227747098
 01/01  07:00:00,-6.0,19.599103583988434,-2.1654008629303774,17.35407672203028,149.69985472048234,4631.731492541514,4631.731492541514,0.0,0.0,0.0,0.0,4391.144986812425,1491.962319335838,72.17290038064954,0.0,2015.5256972626667,2015.5256972626667
 01/01  08:00:00,-6.0,19.67612012692889,-2.3049535894026545,17.225396474108337,149.69985472048234,4308.3204193413985,4308.3204193413985,0.0,0.0,0.0,0.0,4487.296171539896,1533.5164564292634,46.5395353000485,0.0,1616.2218981787864,1616.2218981787864
 01/01  09:00:00,-6.0,19.705981276302364,-2.037378613985926,17.102392934996665,149.69985472048234,3958.125856625873,3958.125856625873,0.0,0.0,0.0,0.0,4485.479838253349,1535.6166053209213,46.5395353000485,0.0,1229.8181359818882,1229.8181359818882
 01/01  10:00:00,-6.1,19.7290697186409,-1.0626501784164435,16.981421888105857,149.69985472048234,3195.2504693918,3195.2504693918,0.0,0.0,0.0,0.0,4488.608137779247,1540.7916728079542,42.28202660485159,0.0,334.78616573724,334.78616573724
