Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.9,1487.2835980125094,516.3627264888821,4.11985819558583,125.85262901491365,54.820982811340016,0.0,18.375220306388627,1.923416429308118,19.712204775825484,1105.5589551735557,1105.5589551735557,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.0,2527.077468296589,863.5979912159519,15.63947336034256,72.21592803580947,94.20944704410603,0.0,18.3704914700115,-0.3990025560619358,19.38887836170194,1817.3487313830592,1817.3487313830592,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-4.4,3232.4793518814904,1071.054692389299,20.825357677055457,41.937496939510474,116.52804071064226,0.0,18.531518686571044,-0.9395631079170026,19.21961630268152,2240.200190950385,2240.200190950385,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-4.4,3687.325965455024,1211.4314245813932,23.499609206374977,21.741978087641513,131.41586771125134,0.0,18.553622167571003,-1.1509321375121926,19.03704345687464,2513.4839431744167,2513.4839431744167,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-4.4,3961.0615917310574,1292.3250961375982,25.067880909714464,9.880707504411568,140.16009946118982,0.0,18.57455707333292,-1.0881873764877914,18.86887662858708,2683.1080319896537,2683.1080319896537,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-4.4,4167.930519886964,1345.5514164305657,36.907416193233864,0.0,148.14645038927185,0.0,19.336716727190936,-0.8263045293196264,18.70658280365043,3698.1210001225736,3698.1210001225736,0.0,0.0,0.0,0.0,1053.9534610579467,1053.9534610579467
 01/01  07:00:00,-4.4,4150.649625295993,1365.782812690391,36.907416193233864,0.0,148.14645038927185,0.0,19.60247597758335,-0.8922418968080097,18.585935643492732,3605.615538693057,3605.615538693057,0.0,0.0,0.0,0.0,1005.4146295779433,1005.4146295779433
 01/01  08:00:00,-3.3,4281.511283254687,1387.1060657731014,35.82435192670081,0.0,148.14645038927185,0.0,19.688248417748223,-0.46556999674049265,18.458642431097957,2892.4639579818486,2892.4639579818486,0.0,0.0,0.0,0.0,55.057852850416566,55.057852850416566
 01/01  09:00:00,-1.7,4534.658297066472,1426.6727957722887,22.822510084335057,0.0,148.14645038927185,85.44000000000005,19.70657737684436,0.9106643653182627,18.335597803535375,2515.1370923850554,2515.1370923850554,0.0,0.0,0.0,0.0,540.6922810739579,540.6922810739579
 01/01  10:00:00,0.0,4454.315263606452,1370.0686776128068,9.559976457969265,13.122066167158941,138.28750181063353,85.44000000000005,19.709971330684578,3.001058131577121,18.23397467904446,1955.2150302466634,1955.2150302466634,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,0.6,3706.34775314605,1148.9785853843089,8.384102502245925,44.037430981151935,115.4164602732385,85.44000000000005,19.72355046114218,4.822818433630398,18.145570623757997,1538.1091541362912,1538.1091541362912,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,2.2,2735.814412920648,845.7587211532228,0.039947057536391294,88.04865248442546,82.92559633115894,85.44000000000005,19.758836360970626,6.811057873294006,18.0879366596455,1043.9839019361134,1043.9839019361134,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,2.2,1473.220614525388,469.2328321123477,0.02214471374250584,137.939595637007,45.96993381370909,46.24758564964869,19.760242009398556,7.501273549634537,18.039621786798975,651.3495118709652,651.3495118709652,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,4.4,426.62470909136107,134.34167033918348,0.006208428261786253,182.60092350412611,12.888025988765136,0.0,19.748558909117737,7.811373557471612,18.009915949748056,315.37334746296256,315.37334746296256,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.0,197.03743719054413,61.76519647274555,0.0028381216490416072,192.04618405914172,5.891636962000008,0.0,19.69877861695791,7.653098769521398,17.98683851920564,152.09151047073283,152.09151047073283,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,3.9,72.96373543689407,23.32536997275202,0.21236776006229313,196.9197831326803,2.2803302840308572,0.0,19.97293583490006,7.518672393266207,17.97823181705354,41.12688944117326,41.12688944117326,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,2.8,83.14852158547741,27.282317588934244,0.6447687899122981,196.3022634435123,2.7335728466057727,0.0,19.831075938508246,5.739668550820257,17.972248666719178,63.3598161574464,63.3598161574464,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,3.3,1738.8198514843646,541.8773147965055,14.474074377707963,126.35037500964602,54.446960371782616,85.44000000000005,19.72977860966787,5.782938968072646,17.951712024660935,265.11598482136833,265.11598482136833,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,3.3,2106.344024883544,649.2062548851563,17.37638547349565,111.58230637657911,65.36461432326357,85.44000000000005,19.695327956841883,5.536421657504278,17.923864901085594,376.0482676957072,376.0482676957072,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,2.8,2213.795135036007,685.516803990166,20.77154357353396,105.67964576020267,69.68894915976666,85.44000000000005,19.720174765754187,5.1426164543135595,17.88298035641483,438.43347038127104,438.43347038127104,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,2.8,2160.493033426041,670.2511439766239,24.68664848563466,106.97105421297755,68.69711725827099,85.44000000000005,19.670514158708627,4.920485287936764,17.835045446121782,533.3646073104974,533.3646073104974,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,2.8,2346.3721248433917,723.7972758283595,26.692010366451417,99.43311775524634,74.26350983815757,85.44000000000005,19.671633073590698,5.0338093107765625,17.776238610203222,816.4913519658767,816.4913519658767,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,2.8,1045.4280348290265,332.7604586487614,12.270497137452864,153.7726672716058,34.13651214750021,34.849976822945735,18.96924118995306,4.502652006467874,17.72177954429564,433.77799777367,433.77799777367,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,2.8,982.8579709995896,308.16185751717774,13.567739498131356,156.20309241085974,32.324441212793374,0.0,18.773381935837357,4.340645803363385,17.644841954942247,716.4188535237845,716.4188535237845,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  01:00:00,-15.0,3115.8339271754717,1270.3509563430184,1.1832058375440764,0.0,148.14645038927185,0.0,18.64197004133845,-2.820016547688098,18.931386178395034,3848.3767375652933,3848.3767375652933,0.0,0.0,0.0,0.0,2274.3933218296725,2274.3933218296725
 01/08  02:00:00,-15.6,3051.451880356624,1258.7066446089589,2.839044456892575,0.0,148.14645038927185,0.0,18.614661054019162,-5.128801776603673,18.574079675428177,4158.874617652016,4158.874617652016,0.0,0.0,0.0,0.0,2829.6422718613258,2829.6422718613258
 01/08  03:00:00,-15.6,3052.3631718046026,1257.7891859208128,2.8409506951608274,0.0,148.14645038927185,0.0,18.604474091806267,-6.756883061136793,18.406803659601415,4373.811991736617,4373.811991736617,0.0,0.0,0.0,0.0,3207.6854546710542,3207.6854546710542
 01/08  04:00:00,-15.6,3044.741409757764,1254.121586977499,5.536745965183923,0.0,148.14645038927185,0.0,18.603440184960213,-7.743628467484425,18.201369539885945,4550.0306024299225,4550.0306024299225,0.0,0.0,0.0,0.0,3532.0201600636474,3532.0201600636474
 01/08  05:00:00,-16.1,2990.5352864876945,1245.5620599610165,6.969063506528805,0.0,148.14645038927185,0.0,18.59930127364899,-8.394064183200161,18.009724842668028,4833.155192905611,4833.155192905611,0.0,0.0,0.0,0.0,3971.7776465623256,3971.7776465623256
 01/08  06:00:00,-15.6,3045.2158560518724,1253.6011054389164,5.547908700126696,0.0,148.14645038927185,0.0,19.374632375058408,-8.259386760325235,17.829782464167497,5915.617380466783,5915.617380466783,0.0,0.0,0.0,0.0,5269.70392173193,5269.70392173193
 01/08  07:00:00,-15.6,3028.331460404488,1270.3877718048489,5.547908700126696,0.0,148.14645038927185,85.44000000000005,19.24766559935857,-8.199560780567229,17.679565767990734,5786.440608938932,5786.440608938932,0.0,0.0,0.0,0.0,5497.164051451511,5497.164051451511
 01/08  08:00:00,-15.0,3090.2796498972866,1274.6793341659145,6.190434626022299,0.0,148.14645038927185,85.44000000000005,18.980970607985835,-8.387425956087032,17.49328143814829,6185.803684942668,6185.803684942668,0.0,0.0,0.0,0.0,5497.164051451511,5497.164051451511
 01/08  09:00:00,-13.3,3284.723325002536,1295.16709372825,2.4294805976173506,0.0,148.14645038927185,10.274378574853818,19.483626874922635,-7.796019159742037,17.32632302377948,5674.5308676300065,5674.5308676300065,0.0,0.0,0.0,0.0,4900.478938799318,4900.478938799318
 01/08  10:00:00,-12.8,3331.0509261003003,1314.8607745766863,1.099968411331746,0.0,148.14645038927185,0.0,19.6531713834805,-5.434404447275486,17.19058596053559,4959.559183838617,4959.559183838617,0.0,0.0,0.0,0.0,3907.7156800892244,3907.7156800892244
 01/08  11:00:00,-11.7,3449.517410296762,1334.1463562809327,0.07136503208384143,0.0,148.14645038927185,0.0,19.696910202617858,-2.9327118119689675,17.060031033945066,4319.863254312902,4319.863254312902,0.0,0.0,0.0,0.0,2892.2970760157787,2892.2970760157787
 01/08  12:00:00,-10.6,3569.8830651035473,1348.8993802097384,0.07136503208384143,0.0,148.14645038927185,0.0,19.71656833049126,-1.3934406511493307,16.949212273155254,3961.7560928529656,3961.7560928529656,0.0,0.0,0.0,0.0,2223.0037217595973,2223.0037217595973
 01/08  13:00:00,-10.6,3569.56691090651,1349.2439180568563,0.07136503208384143,0.0,148.14645038927185,0.0,19.716434307609003,-0.7677574180230016,16.85041765912633,3822.344098698839,3822.344098698839,0.0,0.0,0.0,0.0,1965.9987932006975,1965.9987932006975
 01/08  14:00:00,-8.3,3830.833732587304,1377.3774664335217,0.07136503208384143,0.0,148.14645038927185,78.87475883297073,19.706551102613982,-0.13760904837809224,16.78497045594463,3308.2695324936194,3308.2695324936194,0.0,0.0,0.0,0.0,2027.5618252932009,2027.5618252932009
 01/08  15:00:00,-7.2,3959.7374413065418,1390.3008503684803,0.07136503208384143,0.0,148.14645038927185,0.0,19.717410399834808,0.33754680544620624,16.719247244619357,3311.6055474165405,3311.6055474165405,0.0,0.0,0.0,0.0,904.7494407238428,904.7494407238428
 01/08  16:00:00,-6.7,4018.8159031182076,1396.492903623855,0.07136503208384143,0.0,148.14645038927185,0.0,19.71783921413172,0.12811899958760442,16.660528742553794,3626.272029811882,3626.272029811882,0.0,0.0,0.0,0.0,1208.3478757327675,1208.3478757327675
 01/08  17:00:00,-6.7,4018.8722608934495,1396.4282023951098,0.07136503208384143,0.0,148.14645038927185,0.0,19.71830999060514,-0.776199569029502,16.60490759934539,3552.7295352444526,3552.7295352444526,0.0,0.0,0.0,0.0,1124.5100419381956,1124.5100419381956
 01/08  18:00:00,-5.6,4150.9725693518385,1409.5782431809496,0.07136503208384143,0.0,148.14645038927185,0.0,19.722611966732487,-0.6357472074996361,16.55754080918059,3084.661523834666,3084.661523834666,0.0,0.0,0.0,0.0,479.37154139330596,479.37154139330596
 01/08  19:00:00,-5.6,4150.930905935824,1409.6265983993987,0.07136503208384143,0.0,148.14645038927185,85.44000000000005,19.716558280389958,-0.7814687221047671,16.488515249624427,3031.3908194385804,3031.3908194385804,0.0,0.0,0.0,0.0,1525.3592401457672,1525.3592401457672
 01/08  20:00:00,-3.9,4359.973342590023,1429.7868131070838,0.07136503208384143,0.0,148.14645038927185,85.44000000000005,19.70624786141122,-0.9224501677336547,16.427318075192737,3127.8681209325514,3127.8681209325514,0.0,0.0,0.0,0.0,1463.7972098458877,1463.7972098458877
 01/08  21:00:00,-3.3,4435.390799120338,1436.6334099162773,0.07136503208384143,0.0,148.14645038927185,52.33823738027535,19.711207179650557,-0.6625125397820008,16.347329731107028,3863.613371078378,3863.613371078378,0.0,0.0,0.0,0.0,1823.558459407659,1823.558459407659
 01/08  22:00:00,-3.3,4435.34275780731,1436.690150404086,0.07136503208384143,0.0,148.14645038927185,0.0,19.723059747394494,-0.48524185046028495,16.27679079118615,3418.128103334193,3418.128103334193,0.0,0.0,0.0,0.0,591.7185881559353,591.7185881559353
 01/08  23:00:00,-3.3,4435.157306470667,1436.9091859708528,0.07136503208384143,0.0,148.14645038927185,0.0,18.9601533485185,-0.9617315257394994,16.195725660228064,2954.370389311718,2954.370389311718,0.0,0.0,0.0,0.0,29.704136914954688,29.704136914954688
