Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,18.581520792755896,-0.7837193470714846,18.90033794659893,120.1484011769677,2366.5048289137467,2366.5048289137467,0.0,0.0,0.0,0.0,3358.9230823182324,1097.3818904594225,40.65332864467599,39.74379261289196,0.0,0.0
 01/01  02:00:00,-4.4,18.529479587677532,-0.9329535400693314,18.512030555597622,142.25364978344024,2722.0361032382607,2722.0361032382607,0.0,0.0,0.0,0.0,3899.425052060385,1280.285925564396,54.82187758867179,9.798466888854618,0.0,0.0
 01/01  03:00:00,-4.4,18.557520616254337,-1.0486660166192547,18.342409752431468,151.15536826343148,3007.0199074866414,3007.0199074866414,0.0,0.0,0.0,0.0,4170.102594763604,1344.398000086899,57.64609432105503,0.0,186.32286786354598,186.32286786354598
 01/01  04:00:00,-4.4,18.586080309471754,-1.1802400111245641,18.14799424444268,151.15536826343148,3162.090966282656,3162.090966282656,0.0,0.0,0.0,0.0,4169.614233117818,1344.969135856944,57.64609432105503,0.0,402.38902364407886,402.38902364407886
 01/01  05:00:00,-3.9,18.60033166456027,-1.1474566125840557,17.981638545088714,151.15536826343148,3135.0701568184613,3135.0701568184613,0.0,0.0,0.0,0.0,4209.034874962328,1344.7651455393104,62.35137365174855,0.0,352.08044893834494,352.08044893834494
 01/01  06:00:00,-4.4,19.345518143011713,-1.2342421622028834,17.816599026989962,151.15536826343148,4080.671360166154,4080.671360166154,0.0,0.0,0.0,0.0,4140.017537362439,1336.321751605907,64.56719698219655,0.0,1511.8563455419385,1511.8563455419385
 01/01  07:00:00,-4.4,19.5989444037142,-1.1998284362387615,17.695205148729563,151.15536826343148,3863.517113908454,3863.517113908454,0.0,0.0,0.0,0.0,4123.375421428443,1355.8045059796086,64.56719698219655,0.0,1360.2228582478356,1360.2228582478356
 01/01  08:00:00,-4.0,19.67585910783432,-0.36638698107569245,17.55801497758196,151.15536826343148,3858.8137828010367,3858.8137828010367,0.0,0.0,0.0,0.0,4166.593921529838,1367.4437342864942,64.24492333796015,0.0,1340.949476799114,1340.949476799114
 01/01  09:00:00,-2.8,19.71261509039183,-0.5007002802471734,17.432990039656975,151.15536826343148,3508.482637576106,3508.482637576106,0.0,0.0,0.0,0.0,4321.85239007989,1387.3074843607108,61.36335388980919,0.0,754.559774371668,754.559774371668
 01/01  10:00:00,-2.8,19.75522160311931,0.13684721650410206,17.312204574817457,145.9997428082612,2717.10074385406,2717.10074385406,0.0,0.0,0.0,0.0,4160.831773286039,1353.302611486928,59.82241759950902,5.022333991284911,0.0,0.0
