Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,3331.8503798910224,1091.1588235137658,40.35377424637272,40.13096486518079,119.26264776882431,0.0,18.644984466680153,-0.7035446846350718,18.902187632051124,2299.834189022582,2299.834189022582,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-4.4,3894.161766657073,1280.0750731633693,54.744218602276,9.120269572745565,142.0516257073555,0.0,18.597481466669688,-0.875347121659243,18.51381430552447,2646.6857667603363,2646.6857667603363,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-4.4,4147.851257585507,1339.5349607646967,57.35990770705682,0.0,150.40495067590098,0.0,18.596521747725767,-1.0179760460644134,18.34534964320893,2930.6551866254267,2930.6551866254267,0.0,0.0,0.0,0.0,154.20733966512307,154.20733966512307
 01/01  04:00:00,-4.4,4148.029479531664,1339.3265004001244,57.35990770705682,0.0,150.40495067590098,0.0,18.605356250983455,-1.1664969630651352,18.150511864072946,3087.426303497392,3087.426303497392,0.0,0.0,0.0,0.0,350.8096354910258,350.8096354910258
 01/01  05:00:00,-3.9,4187.703403629983,1338.5999231542385,62.041827468027066,0.0,150.40495067590098,0.0,18.60902394912331,-1.144294895024388,17.98386587769609,3071.6403331257006,3071.6403331257006,0.0,0.0,0.0,0.0,305.72621595171404,305.72621595171404
 01/01  06:00:00,-4.4,4119.269044552084,1329.9158229702225,64.24665024442838,0.0,150.40495067590098,0.0,19.367526983631695,-1.2295776220849408,17.818588297181453,4024.9218358914113,4024.9218358914113,0.0,0.0,0.0,0.0,1503.6015051931063,1503.6015051931063
 01/01  07:00:00,-4.4,4102.411258520484,1349.651756424888,64.24665024442838,0.0,150.40495067590098,0.0,19.614644109372442,-1.1991300605886954,17.69774813777691,3814.0027658786057,3814.0027658786057,0.0,0.0,0.0,0.0,1344.1174946312926,1344.1174946312926
 01/01  08:00:00,-4.0,4145.556529257947,1361.0689908589302,63.92597654211538,0.0,150.40495067590098,0.0,19.687008160951432,-0.36802786924288583,17.560134523339894,3812.218887004359,3812.218887004359,0.0,0.0,0.0,0.0,1321.3822109245075,1321.3822109245075
 01/01  09:00:00,-2.8,4300.146567187843,1380.716051390625,61.058712774393946,0.0,150.40495067590098,85.44000000000005,19.693238157591885,-0.3804233284090243,17.434908390304113,3467.4200834861495,3467.4200834861495,0.0,0.0,0.0,0.0,1919.796466978994,1919.796466978994
 01/01  10:00:00,-2.8,4300.15163013619,1380.7100534653152,61.058712774393946,0.0,150.40495067590098,85.44000000000005,19.709706132916413,0.31355339560487605,17.31156068178276,2704.3475797589253,2704.3475797589253,0.0,0.0,0.0,0.0,1221.8786470519772,1221.8786470519772
 01/01  11:00:00,-2.8,4387.034560087455,1408.941233457283,41.07217079406702,0.0,150.40495067590098,85.44000000000005,19.700265142478155,0.16836427728532746,17.20333038787177,3058.373830083494,3058.373830083494,0.0,0.0,0.0,0.0,1500.3644703474192,1500.3644703474192
 01/01  12:00:00,-2.2,4516.812088628771,1433.183107786037,28.672819950591276,0.0,150.40495067590098,85.44000000000005,19.7124778172737,1.161605081512945,17.119854501984214,2464.524703649078,2464.524703649078,0.0,0.0,0.0,0.0,496.08099176497217,496.08099176497217
 01/01  13:00:00,-2.2,4417.865215845517,1410.370615107343,28.211705734059947,3.2163855339371272,147.4091145256698,63.60908128577498,19.71232957213614,1.320381807655844,17.030522696171204,2399.6677999115764,2399.6677999115764,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,-1.1,3713.4792570216746,1183.8174997042177,22.833977197651414,36.49755714928242,122.5578069147658,0.0,19.746385654640964,1.869454561546297,16.956491940427313,2568.0614149447792,2568.0614149447792,0.0,0.0,0.0,0.0,0.0,0.0
