Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.0,18.572535463225798,-6.921984552172787,17.502547407265,170.88852558537974,3655.884747370632,3655.884747370632,0.0,0.0,0.0,0.0,3840.889489121664,1489.783747201767,1.2063349062569833,0.0,1569.0865007760117,1569.0865007760117
 01/01  02:00:00,-12.0,18.579434797763625,-7.213289533706613,17.00552283552018,170.88852558537974,3945.0408114344627,3945.0408114344627,0.0,0.0,0.0,0.0,3968.5670106155458,1505.5257233999646,0.08232033288084861,0.0,1812.9629132757418,1812.9629132757418
 01/01  03:00:00,-12.0,18.582128422220713,-7.349487057683438,16.764568136622373,170.88852558537974,4233.0968308399115,4233.0968308399115,0.0,0.0,0.0,0.0,3968.983384840133,1505.079267502773,0.08232033288084861,0.0,2183.0536765254355,2183.0536765254355
 01/01  04:00:00,-12.0,18.585488627417043,-7.257716947920323,16.48914204532867,170.88852558537974,4377.607540919507,4377.607540919507,0.0,0.0,0.0,0.0,3969.205708444448,1504.8408621555218,0.08232033288084861,0.0,2371.074996992587,2371.074996992587
 01/01  05:00:00,-12.0,18.590233770791507,-7.200880248428381,16.251257039371485,170.88852558537974,4380.818670153822,4380.818670153822,0.0,0.0,0.0,0.0,3969.456334926351,1504.572090313504,0.08232033288084861,0.0,2382.2569102248035,2382.2569102248035
 01/01  06:00:00,-12.0,19.323886561427557,-7.060489700787974,16.024750679558622,170.88852558537974,5481.536687107635,5481.536687107635,0.0,0.0,0.0,0.0,3969.62846712442,1504.3874857246274,0.08232033288084861,0.0,3648.5656842486756,3648.5656842486756
 01/01  07:00:00,-13.0,19.574622288631577,-7.3267803070135376,15.835329843840203,170.88852558537974,5433.103669294822,5433.103669294822,0.0,0.0,0.0,0.0,3826.7353306112527,1509.87597328649,0.08232033288084861,0.0,3812.1397845885504,3812.1397845885504
 01/01  08:00:00,-13.0,19.658273823504697,-7.411675277442573,15.642768885602187,170.88852558537974,5172.177275264126,5172.177275264126,0.0,0.0,0.0,0.0,3820.442625845471,1516.4611325856813,0.08232033288084861,0.0,3561.943425723316,3561.943425723316
 01/01  09:00:00,-11.0,19.696785594641604,-6.566319512586933,15.474942877270113,170.88852558537974,4565.274602057443,4565.274602057443,0.0,0.0,0.0,0.0,4068.852630330593,1547.9043007012629,0.08232033288084861,0.0,2632.2059648868058,2632.2059648868058
 01/01  10:00:00,-8.0,19.719961360810462,-4.58841547115365,15.322665333864325,170.88852558537974,3954.485812000459,3954.485812000459,0.0,0.0,0.0,0.0,4460.643766773548,1591.2511500650407,0.08232033288084861,0.0,1495.9599376959773,1495.9599376959773
 01/01  11:00:00,-7.0,19.730758295503318,-2.3701676216157734,15.168137435970726,170.88852558537974,3682.9591080739174,3682.9591080739174,0.0,0.0,0.0,0.0,4595.6463004760735,1605.6061903321013,0.08232033288084861,0.0,942.3491305822517,942.3491305822517
 01/01  12:00:00,-6.0,19.736305211431507,-0.20994311328436085,15.032522567009828,170.88852558537974,3504.4220799881587,3504.4220799881587,0.0,0.0,0.0,0.0,4733.274269059753,1619.5104411808288,0.08232033288084861,0.0,481.85348555638484,481.85348555638484
 01/01  13:00:00,-4.0,19.856547499854507,3.1196695045999787,14.916661523404624,138.92816069616921,2631.5201711105074,2631.5201711105074,0.0,0.0,0.0,0.0,3985.1981839913315,1339.3482693055728,0.06692520905716891,37.40296785719459,0.0,0.0
 01/01  14:00:00,-4.0,19.831315397365152,3.220281833412735,14.806477466900464,116.02999025163881,2253.495045274167,2253.495045274167,0.0,0.0,0.0,0.0,3273.193589847121,1121.218610294812,0.05589458160906697,64.20224590206792,0.0,0.0
 01/01  15:00:00,-3.0,19.8425561571883,3.74968228537749,14.723511086876968,103.56962972190645,2112.627638132666,2112.627638132666,0.0,0.0,0.0,0.0,2980.5367002704365,1008.7719101135385,0.04989204165148733,78.7856173426761,0.0,0.0
 01/01  16:00:00,-3.0,19.853810463346232,3.349795915502459,14.636238439790192,62.832929857193214,1193.5265745162178,1193.5265745162178,0.0,0.0,0.0,0.0,1758.6397769305033,612.1969676486938,0.030268169973670506,126.46246944243775,0.0,0.0
 01/01  17:00:00,-4.0,19.818877034150542,2.763025956508779,14.584769430060124,55.830761510035735,1057.744573954331,1057.744573954331,0.0,0.0,0.0,0.0,1511.691261178229,539.4801829320854,0.026895090211692244,134.65747945742515,0.0,0.0
 01/01  18:00:00,-6.0,19.518471575727173,0.1439710106727375,14.550132268300478,80.47881685250584,1517.7942198103246,1517.7942198103246,0.0,0.0,0.0,0.0,2091.3202409253245,763.9074161479704,0.03876879807915613,105.80990935673076,0.0,0.0
 01/01  19:00:00,-7.0,19.574635044971924,-1.9707371313951711,14.501364665593055,99.97747004592337,1799.912762023565,1799.912762023565,0.0,0.0,0.0,0.0,2553.166758138948,933.1678298172475,2.174255721572801,82.90285055174067,0.0,0.0
 01/01  20:00:00,-7.0,19.646017424881826,-3.209289418320552,14.448638138890491,107.70419434475393,1868.889339919262,1868.889339919262,0.0,0.0,0.0,0.0,2764.356630331291,1006.2958266486686,2.3422928622404977,73.85300881583399,0.0,0.0
 01/01  21:00:00,-8.0,19.57124192148514,-4.346995982715542,14.37882274255629,126.88823174490192,2121.274672927948,2121.274672927948,0.0,0.0,0.0,0.0,3211.750049376792,1179.4838240538145,0.06112565704172943,51.493173308219234,0.0,0.0
 01/01  22:00:00,-9.0,19.498030142078658,-4.559912513264983,14.298372449195623,160.51518915363715,2625.9319542157555,2625.9319542157555,0.0,0.0,0.0,0.0,4038.993604376504,1476.552594344626,0.07732485442852705,12.13668185611465,0.0,0.0
 01/01  23:00:00,-10.0,18.912954618282377,-5.131430423355379,14.196551125274963,151.12997467635677,2239.8128442665657,2239.8128442665657,0.0,0.0,0.0,0.0,3664.9928422937837,1375.8702709889947,0.07280386087135762,23.120586801477682,0.0,0.0
 01/01  24:00:00,-12.0,18.63361420442501,-6.400764881560677,14.059984170607507,170.88852558537974,3093.940009625585,3093.940009625585,0.0,0.0,0.0,0.0,3963.9050812628825,1510.5211703876705,0.08232033288084861,0.0,800.4808353126309,800.4808353126309
 01/06  01:00:00,-4.0,18.65765832914555,-1.1461599829906295,17.803320912435296,124.99904823859364,2371.0398722353784,2371.0398722353784,0.0,0.0,0.0,0.0,3516.894046699932,1155.7053930918364,15.10872489087386,53.26140787408833,0.0,0.0
 01/06  02:00:00,-3.0,18.380040442924894,-0.43220718061779373,17.28573298868762,157.4422105046005,3322.2332385835853,3322.2332385835853,0.0,0.0,0.0,0.0,4629.650852684132,1474.3539017841667,24.268771371649226,15.09895047484424,0.0,0.0
 01/06  03:00:00,-4.0,18.565961311742672,-0.48817864841916436,17.06627559999001,158.2433692491177,3284.6951876104176,3284.6951876104176,0.0,0.0,0.0,0.0,4599.812273232496,1479.3526518413262,8.242282051937602,14.558068293432068,0.0,0.0
 01/06  04:00:00,-6.0,18.564141896886653,-0.7789146630776623,16.795328691452262,170.88852558537974,3528.8862874471015,3528.8862874471015,0.0,0.0,0.0,0.0,4762.2092920517,1586.0565521268893,0.08232033288084861,0.0,192.23516127958737,192.23516127958737
