Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.0,3818.22032343618,1488.2629566815806,1.2008004813448006,0.0,170.10452297689977,0.0,18.66558614754373,-6.681165668794184,17.509836616148682,3535.599429646798,3535.599429646798,0.0,0.0,0.0,0.0,1496.2892324035083,1496.2892324035083
 01/01  02:00:00,-12.0,3947.9465231326676,1501.2055773888428,0.0819426635464773,0.0,170.10452297689977,0.0,18.625481062769573,-7.1076222728521365,17.010472761714354,3811.3028120406925,3811.3028120406925,0.0,0.0,0.0,0.0,1697.714333121838,1697.714333121838
 01/01  03:00:00,-12.0,3949.5841858444132,1499.450420878059,0.0819426635464773,0.0,170.10452297689977,0.0,18.61241773386352,-7.288442336836616,16.769100024635865,4119.498011357207,4119.498011357207,0.0,0.0,0.0,0.0,2100.1798037103645,2100.1798037103645
 01/01  04:00:00,-12.0,3950.214479692973,1498.774707317281,0.0819426635464773,0.0,170.10452297689977,0.0,18.606831729130874,-7.224877247033435,16.49339699577598,4285.265149124238,4285.265149124238,0.0,0.0,0.0,0.0,2302.9106336601835,2302.9106336601835
 01/01  05:00:00,-12.0,3950.6966778854976,1498.2576868273716,0.0819426635464773,0.0,170.10452297689977,0.0,18.6079910649766,-7.180642100349966,16.255218424558176,4304.266469255965,4304.266469255965,0.0,0.0,0.0,0.0,2335.284114983146,2335.284114983146
 01/01  06:00:00,-12.0,3950.9620853728843,1497.973085230378,0.0819426635464773,0.0,170.10452297689977,0.0,19.357726542190044,-7.042355984557516,16.02849359378156,5413.375222317185,5413.375222317185,0.0,0.0,0.0,0.0,3642.3290887032445,3642.3290887032445
 01/01  07:00:00,-13.0,3808.3097101120266,1503.8595040482014,0.0819426635464773,0.0,170.10452297689977,0.0,19.606791185939116,-7.31372673657953,15.839630465923655,5369.744540656569,5369.744540656569,0.0,0.0,0.0,0.0,3807.4585611655207,3807.4585611655207
 01/01  08:00:00,-13.0,3802.087436237079,1510.3691037836104,0.0819426635464773,0.0,170.10452297689977,0.0,19.68082733024874,-7.4064954132841185,15.646774858915448,5110.665577110021,5110.665577110021,0.0,0.0,0.0,0.0,3534.4814336048044,3534.4814336048044
 01/01  09:00:00,-11.0,4049.6024716600846,1541.4343834091962,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.69198774280635,-6.393934813378207,15.478461428451189,4508.908402246219,4508.908402246219,0.0,0.0,0.0,0.0,3666.131161013611,3666.131161013611
 01/01  10:00:00,-8.0,4440.31973762617,1583.791862662067,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.705657158821968,-4.375258989704445,15.324918152534066,3929.3010878313344,3929.3010878313344,0.0,0.0,0.0,0.0,2725.880906022445,2725.880906022445
 01/01  11:00:00,-7.0,4574.961849840783,1597.7828509829205,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.704834423146472,-2.13601656262066,15.170023973854288,3685.9351503949347,3685.9351503949347,0.0,0.0,0.0,0.0,2183.3902337508302,2183.3902337508302
 01/01  12:00:00,-6.0,4712.275851054865,1611.2515230031402,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.712553675329776,-0.005937698823916497,15.033671677690618,3518.766775484084,3518.766775484084,0.0,0.0,0.0,0.0,1587.2385460125452,1587.2385460125452
 01/01  13:00:00,-4.0,4956.357212824978,1628.1236926847616,0.08140561144787632,1.3107997113039227,168.98762143386085,85.44000000000005,19.715204326598982,3.613146732884872,14.927963253416879,2639.0791766013335,2639.0791766013335,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,-4.0,3510.039405056573,1191.2299130324852,0.05955190616097645,54.649815899140194,123.62212861977999,21.813593097730536,19.77109543109106,3.5490120776007656,14.805390412499074,2354.32907705063,2354.32907705063,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,-3.0,2947.0987548820312,996.4017348742453,0.04933921410640691,79.57625009730846,102.42202933382393,0.0,19.800464273117615,3.8131365138651283,14.723774993485163,2138.7623592907657,2138.7623592907657,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-3.0,1653.9051855214418,576.4254091812576,0.02852310816251052,130.38276539221255,59.210400243995956,0.0,19.77362683797574,3.4214731812285115,14.634919491888171,1200.123394252747,1200.123394252747,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-4.0,1475.7530008202655,525.9619708321676,0.02626267571830933,135.8998729558911,54.51795033717009,0.0,19.772113582176296,2.7623358689140467,14.584013711729437,1065.1758956591711,1065.1758956591711,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-6.0,3445.8751789241987,1215.5909544593324,0.061762869586637625,49.253448903070726,128.21142107740374,85.44000000000005,19.53906817186603,0.8466982273470954,14.5689101823604,1526.2975570772487,1526.2975570772487,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-7.0,4360.8830593424955,1523.8302689186917,3.5501136757516436,7.923159990862461,163.24270034759957,85.44000000000005,19.560462608926926,-1.000745226082829,14.518840614638558,1920.6837963037742,1920.6837963037742,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-7.0,4565.975679735795,1587.2201556483624,3.6965556863417333,0.0,170.10452297689977,85.44000000000005,19.625156073940754,-1.8981647597769544,14.467488122904422,2016.298946141118,2016.298946141118,0.0,0.0,0.0,0.0,90.84841120789815,90.84841120789815
 01/01  21:00:00,-8.0,4443.472350735028,1580.225312723304,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.653370559505532,-3.287239919786614,14.39153988428142,2351.1041502034714,2351.1041502034714,0.0,0.0,0.0,0.0,544.4853020456235,544.4853020456235
 01/01  22:00:00,-9.0,4310.281247193468,1567.0872563735202,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.687282170018655,-3.8791982153899314,14.306374648476334,2776.355095644507,2776.355095644507,0.0,0.0,0.0,0.0,1113.1831803179703,1113.1831803179703
 01/01  23:00:00,-10.0,4179.220738326551,1553.9264060016708,0.0819426635464773,0.0,170.10452297689977,85.44000000000005,19.081761764723964,-4.413313379882517,14.21227329049637,2205.2145515613192,2205.2145515613192,0.0,0.0,0.0,0.0,466.4378284527829,466.4378284527829
 01/01  24:00:00,-12.0,3941.3550875521523,1508.2622517370078,0.0819426635464773,0.0,170.10452297689977,7.603667614351306,18.781594144458587,-6.127352092379832,14.069327250867865,3080.845982104285,3080.845982104285,0.0,0.0,0.0,0.0,903.2867542057788,903.2867542057788
 01/06  01:00:00,-4.0,3368.9716196719487,1116.0911097008075,14.532069742387831,58.21148651360066,120.22780570635949,0.0,18.654302222939915,-1.1522186536315768,17.81021382035999,2342.8958438003265,2342.8958438003265,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  02:00:00,-3.0,4552.3098837119605,1451.4242110322907,23.892618159579754,17.125829278497285,155.0019465831114,0.0,18.394704153879374,-0.4395837007206367,17.28640100378023,3210.9037414159848,3210.9037414159848,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  03:00:00,-4.0,4533.32543923545,1459.9790939163086,8.131951034624205,16.197139147930883,156.12511055399273,0.0,18.57649511422932,-0.5011377522971725,17.069231516760652,3229.7807111937855,3229.7807111937855,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  04:00:00,-6.0,4740.081424414018,1579.103452974863,0.0819426635464773,0.0,170.10452297689977,0.0,18.576217981508123,-0.7822300422520602,16.79698737526412,3476.5264651897432,3476.5264651897432,0.0,0.0,0.0,0.0,176.50138139764113,176.50138139764113
 01/06  05:00:00,-7.0,4589.167336877939,1560.6622647896584,3.6965556863417333,0.0,170.10452297689977,0.0,18.598284113238066,-1.6343441863542747,16.57889913139195,3641.3157868457274,3641.3157868457274,0.0,0.0,0.0,0.0,544.9532479944978,544.9532479944978
 01/06  06:00:00,-8.0,4467.953381346379,1552.4975558157591,0.0819426635464773,0.0,170.10452297689977,0.0,19.347971860045636,-2.3822801459269045,16.36881512752556,5003.8009422703,5003.8009422703,0.0,0.0,0.0,0.0,2331.4317713428923,2331.4317713428923
