Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,18.57998348148315,-2.879037156459967,18.975233643712997,132.0460470522816,2687.3937739238245,2687.3937739238245,0.0,0.0,0.0,0.0,3864.6101044133684,1277.055867400164,79.8020751814262,54.8605047265666,0.0,0.0
 01/01  02:00:00,-4.0,18.53042370972933,-1.4645904856796288,18.56210050554648,151.45695105414694,3117.121706328053,3117.121706328053,0.0,0.0,0.0,0.0,4350.174877492744,1446.5591972322413,104.3606975099307,32.96481666180813,0.0,0.0
 01/01  03:00:00,-4.4,18.590031134563006,-0.778214371081215,18.410419692898536,156.80645785088862,3312.0460933971262,3312.0460933971262,0.0,0.0,0.0,0.0,4566.082993034184,1518.012970478958,83.71453249107208,27.651952321817785,0.0,0.0
 01/01  04:00:00,-4.4,18.541070634632703,-0.4865160755958804,18.198498341601066,170.8823077013062,3714.9648203109464,3714.9648203109464,0.0,0.0,0.0,0.0,5056.672392411321,1665.5006031604817,82.4100928879101,12.435632044376788,0.0,0.0
 01/01  05:00:00,-5.0,18.572269562644916,-0.4907791679053039,18.026290967873038,176.69741066962476,3757.853229620703,3757.853229620703,0.0,0.0,0.0,0.0,5138.494110158514,1706.6859590681977,91.272954885343,5.7061373066268795,0.0,0.0
 01/01  06:00:00,-5.0,19.291368079865464,-0.21035184358838901,17.866364299815725,184.42642436819324,4834.197424341768,4834.197424341768,0.0,0.0,0.0,0.0,5368.852687883917,1753.4951084450358,97.01960531955586,0.0,1047.2602320459591,1047.2602320459591
 01/01  07:00:00,-5.0,19.574411744622843,-0.05388752156460045,17.7519822147102,184.42642436819324,4509.154314657995,4509.154314657995,0.0,0.0,0.0,0.0,5360.409386888347,1782.5433758547306,93.89365245009786,0.0,756.1605305408934,756.1605305408934
 01/01  08:00:00,-6.0,19.670163734053396,-0.5570846793618764,17.611628967869763,184.42642436819324,4393.566698867129,4393.566698867129,0.0,0.0,0.0,0.0,5286.123854211022,1807.1615122935818,71.82008386061418,0.0,714.2869785146563,714.2869785146563
 01/01  09:00:00,-5.6,19.70137273955637,-0.44715868621106064,17.49245846940699,184.42642436819324,4269.368640274823,4269.368640274823,0.0,0.0,0.0,0.0,5346.118410602264,1816.6725899878777,71.69222760161716,0.0,547.7489572937066,547.7489572937066
 01/01  10:00:00,-6.0,19.721557931269636,-0.011367796319499458,17.367725065745947,184.42642436819324,3817.4188622913025,3817.4188622913025,0.0,0.0,0.0,0.0,5282.588799375471,1811.2489122932745,71.82008386061418,0.0,89.438889630228,89.438889630228
