Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,3726.313695315539,1241.8328755436878,77.23700390108642,59.03189973101679,127.71618331934953,0.0,18.691678478026542,-2.6165996582183273,18.98342578337442,2567.002632942791,2567.002632942791,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-4.0,4155.970455028929,1391.1573752996567,100.13839735483579,39.159421545914476,145.23291509208607,0.0,18.581626094175558,-1.3587812970936943,18.571398255152634,2958.685962833146,2958.685962833146,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-4.4,4400.625790842977,1469.512292540216,80.9546585990758,32.74798358512323,151.53742200321025,0.0,18.617136884239564,-0.7382351515841926,18.417533228801947,3178.157464652091,3178.157464652091,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-4.4,4935.83515438626,1630.2751256504166,80.6222290597489,15.859744865278259,167.06571728589682,0.0,18.560217286258773,-0.47742182734074545,18.20483275787197,3596.6278112009422,3596.6278112009422,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-5.0,5039.300301888345,1677.4086652354842,89.67191759152624,8.443261674099922,173.4844346330652,0.0,18.58585741850846,-0.4957109600838467,18.03220194398414,3669.4766253291036,3669.4766253291036,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-5.0,5349.637661153407,1747.8278161816447,96.67974555332503,0.0,183.6605094168075,0.0,19.3122377955019,-0.19997637997746104,17.869578434367487,4755.165628997234,4755.165628997234,0.0,0.0,0.0,0.0,1016.9453789824393,1016.9453789824393
 01/01  07:00:00,-5.0,5341.007645152007,1777.027150728962,93.56474289962975,0.0,183.6605094168075,0.0,19.585204128492748,-0.052079641513978724,17.75581039787132,4447.039603676338,4447.039603676338,0.0,0.0,0.0,0.0,712.7014946933823,712.7014946933823
 01/01  08:00:00,-6.0,5267.279834957316,1801.2088004169825,71.56849804111768,0.0,183.6605094168075,0.0,19.675119807913585,-0.5582593776894056,17.61467524111541,4339.805557749194,4339.805557749194,0.0,0.0,0.0,0.0,674.632535644208,674.632535644208
 01/01  09:00:00,-5.6,5327.24314366456,1810.480335160339,71.44108966271295,0.0,183.6605094168075,85.44000000000004,19.687885683662746,-0.2796951437656002,17.4951928556458,4223.933997849304,4223.933997849304,0.0,0.0,0.0,0.0,1680.401913687302,1680.401913687302
 01/01  10:00:00,-6.0,5264.498637462789,1804.4245560956035,71.56849804111768,0.0,183.6605094168075,85.44000000000004,19.705244278253442,0.21576635105216918,17.36951589904024,3799.9745112001565,3799.9745112001565,0.0,0.0,0.0,0.0,1412.0790921959924,1412.0790921959924
 01/01  11:00:00,-6.0,5198.639494133289,1782.3762813459616,88.04962589110445,0.0,183.6605094168075,85.44000000000004,19.703814267548584,0.8636238345899391,17.251217605774844,3718.486653667118,3718.486653667118,0.0,0.0,0.0,0.0,1331.9255299916495,1331.9255299916495
 01/01  12:00:00,-5.0,5394.148542580266,1811.2948946236497,77.90761358230847,0.0,183.6605094168075,85.44000000000004,19.71480242312743,2.752535539615085,17.14897960606517,3314.7675314466996,3314.7675314466996,0.0,0.0,0.0,0.0,473.58561016170324,473.58561016170324
 01/01  13:00:00,-5.0,4743.378261051039,1631.8757808928976,74.41335670557106,19.240133155899986,163.98333647833508,55.180141230110735,19.742728862598597,4.2998463830835245,17.055633735394373,2953.8629478598323,2953.8629478598323,0.0,0.0,0.0,0.0,0.0,0.0
