Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.0,17.87582489944903,0.37150615525637715,19.022150406197134,52.8587626015161,1086.8028685406425,1086.8028685406425,0.0,0.0,0.0,0.0,1402.4423293901857,495.61315465967346,0.025463438180900674,130.591156140292,0.0,0.0
 01/01  02:00:00,-5.0,18.25036863360983,-0.7427594505107847,18.631964969506296,92.37259839632475,1919.2811120567749,1919.2811120567749,0.0,0.0,0.0,0.0,2535.4459475224976,854.274329235257,0.04449827639406627,78.70554257757227,0.0,0.0
 01/01  03:00:00,-5.0,18.306325765497796,-1.6618655037926393,18.4257397245607,125.66068298637599,2557.393892734628,2557.393892734628,0.0,0.0,0.0,0.0,3520.9224507760823,1166.6503629518897,3.270878335843472,34.87723429718186,0.0,0.0
 01/01  04:00:00,-5.0,18.413990951472357,-1.6525988707169834,18.203113374239038,145.48605231130423,2911.361315760567,2911.361315760567,0.0,0.0,0.0,0.0,4140.711954417068,1351.837912300158,3.7894852181288794,8.825842218695733,0.0,0.0
 01/01  05:00:00,-4.4,18.536612836022908,-1.621112842223594,18.02986023949781,144.60459431149692,2867.987102994346,2867.987102994346,0.0,0.0,0.0,0.0,4178.4688345123905,1352.1210373427043,4.579874948944212,9.965055136235378,0.0,0.0
 01/01  06:00:00,-4.4,19.298418097496512,-1.0387672203495217,17.845925385485735,152.31336522923428,3884.1748793724564,3884.1748793724564,0.0,0.0,0.0,0.0,4425.606993146449,1426.2085998200996,4.818644873647919,0.0,999.2933227986673,999.2933227986673
 01/01  07:00:00,-5.0,19.582895873874147,-0.7302062970886597,17.706808831272568,152.31336522923428,3812.803461939584,3812.803461939584,0.0,0.0,0.0,0.0,4291.114874803092,1426.6035536707464,14.76836047892128,0.0,1116.4458112488087,1116.4458112488087
 01/01  08:00:00,-3.9,19.678756550679772,-0.19996951977652075,17.564135658219598,152.31336522923428,3576.5919860650774,3576.5919860650774,0.0,0.0,0.0,0.0,4460.942170657942,1460.4722018206328,5.582589265877075,0.0,692.0323351506058,692.0323351506058
 01/01  09:00:00,-2.2,19.713444672765174,0.7584206350729026,17.43232032073888,152.31336522923428,3352.6887816287,3352.6887816287,0.0,0.0,0.0,0.0,4702.590412567498,1491.9902351251264,0.07337231616296162,0.0,175.71681543365594,175.71681543365594
 01/01  10:00:00,-0.6,19.74807139938937,1.926724813771361,17.304689392573223,145.57973535744372,3228.2952730291654,3228.2952730291654,0.0,0.0,0.0,0.0,4671.978219922551,1446.5929287713257,0.07012913137738876,8.84035002621335,0.0,0.0
