Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.0,1486.761858150349,525.313917834693,0.02694041551601865,126.20431164534791,55.92477371914782,0.0,18.01836878942947,0.5080392483532478,19.01718393295144,1096.7971164583178,1096.7971164583178,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.0,2607.392832027291,879.6355566293877,0.045691916803933995,74.83984978684137,94.8504386994028,0.0,18.40209981426498,-0.6332883780239438,18.630785131403574,1863.0460027243998,1863.0460027243998,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-5.0,3610.2184876984347,1197.3990555289427,3.347117041324595,30.19815913168302,128.58954590810913,0.0,18.445897556695616,-1.554581799397754,18.425521639199026,2496.838039356344,2496.838039356344,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-5.0,4156.344025560995,1360.3977150776764,3.8029396002399154,7.204307053383929,146.00251139078006,0.0,18.52846632498804,-1.5891038377034372,18.205797306974652,2822.571986371033,2822.571986371033,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-4.4,4075.666480816423,1325.3498177206275,4.478985562148021,13.23803134223811,141.4190477863977,0.0,18.596274702236848,-1.6119275914488644,18.036536508507133,2762.580824107623,2762.580824107623,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-4.4,4402.531315036307,1420.911714740363,4.795081457267311,0.0,151.56854519386383,0.0,19.339751903950617,-1.021967217536642,17.84867472571672,3775.934053449413,3775.934053449413,0.0,0.0,0.0,0.0,947.3110531381258,947.3110531381258
 01/01  07:00:00,-5.0,4269.148002692237,1420.7739768602153,14.696142451581927,0.0,151.56854519386383,0.0,19.603785822419198,-0.7299933135431856,17.710296701838327,3725.579209741376,3725.579209741376,0.0,0.0,0.0,0.0,1055.5214895065083,1055.5214895065083
 01/01  08:00:00,-3.9,4438.623665118304,1453.9236379126291,5.555290122901595,0.0,151.56854519386383,0.0,19.684956445847067,-0.20557504564673348,17.56668906459408,3506.6716670315054,3506.6716670315054,0.0,0.0,0.0,0.0,633.7377651303159,633.7377651303159
 01/01  09:00:00,-2.2,4679.446341510226,1484.8703876515785,0.07301352183760836,0.0,151.56854519386383,85.44000000000007,19.69191413810768,0.9363552731137684,17.434333895141062,3298.130610468199,3298.130610468199,0.0,0.0,0.0,0.0,1294.4142897477686,1294.4142897477686
 01/01  10:00:00,-0.6,4891.328885430671,1505.394315185386,0.07301352183760836,0.0,151.56854519386383,85.44000000000007,19.708640767820405,2.171050057395836,17.303901876160776,3207.994372165873,3207.994372165873,0.0,0.0,0.0,0.0,1118.1483429016484,1118.1483429016484
 01/01  11:00:00,1.1,4749.167069232926,1428.6939933259277,0.06824799851994977,13.053810301762269,141.67500083297762,85.44000000000007,19.720365688806037,4.3765935906445534,17.19106929498105,2290.14829173641,2290.14829173641,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,2.2,3319.4188949694635,1013.2996942845875,0.04790895414077899,68.76689978786455,99.45359786741137,85.44000000000007,19.747202739912574,6.327463443456007,17.088995349005323,1482.4690483290033,1482.4690483290033,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,3.9,1693.2317617505369,522.0314283141557,0.02427374214133154,133.5089130604615,50.3896414992709,55.504893540447064,19.881545329943144,9.076889913210623,17.00971375953677,740.4732875888149,740.4732875888149,0.0,0.0,0.0,0.0,0.0,0.0
