Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,14.4,23.783773065829454,15.425535762844111,20.073266277172515,0.0,-2366.3060212762794,-2366.3060212762794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,14.4,23.559219136591476,14.261898058839664,19.89566308745868,0.0,-2940.053225139309,-2940.053225139309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,13.9,23.262650992478243,13.473501726176439,19.805937540788996,0.0,-2320.3633838791375,-2320.3633838791375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,13.3,22.94236236580649,11.905511673786933,19.705401177488493,0.0,-1759.2116052086203,-1759.2116052086203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,10.6,22.355359019335204,10.182772507287972,19.61417815013493,0.0,-1519.2718507897193,-1519.2718507897193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,13.0,22.498121719381746,10.478277737418104,19.52744074804109,0.0,-1583.1351120408408,-1583.1351120408408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,13.3,22.502871347658914,10.821639915034664,19.44656516632444,0.0,-1476.8757419080175,-1476.8757419080175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,13.9,22.61037365986026,11.611383962032923,19.37154869107643,0.0,-1736.589647201723,-1736.589647201723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,16.1,23.027476473655728,14.731514747870708,19.305176870628152,0.0,-1989.9081467498563,-1989.9081467498563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,19.4,23.313700575687292,19.148413989872047,19.273192754717382,13.887643312474323,-2989.5890099175776,-2989.5890099175776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,22.2,23.42444561822895,23.72516898803693,19.284335721701748,36.65522404629904,-3586.1023200232266,-3586.1023200232266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,23.0,23.39587338910277,27.179340504118578,19.322317429278325,58.348447320562826,-4759.5150493935325,-4759.5150493935325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,23.3,23.37951518967669,29.487123249029896,19.38926252719919,79.59647690659342,-5673.815800395543,-5673.815800395543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,24.4,23.39208449077346,30.725829147894483,19.491321964412162,100.84793761137036,-6595.959339629813,-6595.959339629813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,23.3,23.34250378048783,30.523332336590318,19.56138010925812,95.73696207768785,-6590.960819037093,-6590.960819037093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,22.8,23.342071901805564,28.987969012915283,19.671646655033918,100.49681481793446,-6740.943412751007,-6740.943412751007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,22.2,23.32637322474317,26.582359564597283,19.764820444976568,96.46977590023293,-6823.085605559489,-6823.085605559489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,19.0,23.301616858503635,22.999299914038623,19.808970650660466,70.09454838954947,-5941.949947793484,-5941.949947793484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
