Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,23.831467359465048,15.45418813076986,20.07282805114378,-2388.663891356462,-2388.663891356462,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,23.611096115917316,14.284665805100778,19.895355592542113,-2845.348339629715,-2845.348339629715,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,23.32832668862612,13.488864669223998,19.80565578110459,-2042.0725493549053,-2042.0725493549053,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,23.017468102010657,11.92323740867915,19.705158563110675,-1778.7579015726687,-1778.7579015726687,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,10.6,0.0,0.0,0.0,0.0,0.0,0.0,22.472856292828343,10.201346201983581,19.613985982115423,-1852.3519600361142,-1852.3519600361142,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61462072049061,10.493702585492828,19.52741746074348,-1485.104344025901,-1485.104344025901,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,22.582298939584113,10.835225780609335,19.446803502556005,-1650.427011852713,-1650.427011852713,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,22.696630413591425,11.622348508143558,19.37205395177423,-1817.5530600097845,-1817.5530600097845,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,16.1,0.0,0.0,0.0,0.0,0.0,85.44000000000005,21.880341780203224,14.738542237080761,19.305933596599555,-2092.1087009989133,-2092.1087009989133,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,19.4,0.0,0.0,0.0,0.0,0.0,85.44000000000005,22.16037885025862,19.141383096224768,19.256615478470696,-3133.9558662466825,-3133.9558662466825,0.0,0.0,0.0,0.0,0.0,0.0
