Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,22.87126459337462,8.777007951302043,21.271079919030132,0.0,-2452.351108697123,-2452.351108697123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,0.6,22.448000508293553,6.028534637892949,21.193305834557354,0.0,-3742.6332884071307,-3742.6332884071307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,-0.6,21.48915496773303,3.2933677096948855,21.107515485529564,0.0,-2477.643657097791,-2477.643657097791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,-1.1,20.664167197824774,1.313923556553514,21.00593826314007,0.0,-1797.7555592710087,-1797.7555592710087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,-1.1,19.978981281059315,-0.25549057454992985,20.893679298589785,0.0,-1168.8289833260114,-1168.8289833260114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,-2.2,20.702013923032972,0.034085847318154824,20.62947476053825,74.71762871665288,342.9739793001045,342.9739793001045,0.0,0.0,0.0,0.0,2136.2813596449173,734.9700907601652,33.40941102583269,100.73323191166901,0.0,0.0
 01/01  07:00:00,-2.8,20.310693310746316,-1.145762529111643,20.583813851576206,54.02969587010696,673.5438232023916,673.5438232023916,0.0,0.0,0.0,0.0,1494.6049307998233,538.3749734020447,22.804574512891037,128.20477247476566,0.0,0.0
 01/01  08:00:00,-2.2,19.98623778490124,-1.2751952161891689,20.44287119262052,48.797138829432456,814.9985930836847,814.9985930836847,0.0,0.0,0.0,0.0,1354.3904324012694,479.7608995044909,24.591627946525975,135.0910087695831,0.0,0.0
 01/01  09:00:00,1.7,20.059588969888758,1.7724229392647626,20.357595861735128,25.356888192176008,460.46960094396127,460.46960094396127,0.0,0.0,0.0,0.0,776.8414445080555,256.96284289919714,11.296851990971534,166.45393501978384,0.0,0.0
 01/01  10:00:00,4.4,20.256289066479745,5.502034346976545,20.269630313980176,0.0,-359.5135586650631,-359.5135586650631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  11:00:00,7.2,21.10330563007349,10.937947744439564,20.183462720896983,0.0,-1108.1428486701898,-1108.1428486701898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,9.4,21.812482793689238,15.013193696102762,20.130878428934814,0.0,-1632.1675743612686,-1632.1675743612686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,12.2,22.506480271635066,18.036350445341075,20.11159027003286,0.0,-2136.473507036302,-2136.473507036302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.3,23.713825517881332,22.736103823531323,20.11847921180082,0.0,-2807.56615080572,-2807.56615080572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,14.4,24.64897951801419,22.322517280525286,20.143118574353146,0.0,-3804.3953677266218,-3804.3953677266218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
