Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,0.0,0.0,0.0,200.0,0.0,0.0,21.316266521812523,8.346183047871541,21.21382055361285,-1667.0711012655574,-1667.0711012655574,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,20.81047357867044,5.627959363419131,21.130463932333797,-1986.9503295507056,-1986.9503295507056,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-0.6,0.0,0.0,0.0,200.0,0.0,0.0,20.000962958613787,2.8936919190631616,21.044157862638915,-1158.364707158902,-1158.364707158902,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,0.0,0.0,0.0,200.0,0.0,0.0,19.28632354032132,0.9429959970756365,20.943278679944036,-569.4308071974992,-569.4308071974992,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,0.0,0.0,0.0,200.0,0.0,0.0,18.711603582036364,-0.5954385834424717,20.832302503550974,-82.85411097289762,-82.85411097289762,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.2,1761.6004878707292,592.8953564283372,27.633067602133345,117.53678247920503,61.77345446842972,0.0,19.4001783865392,-0.5458697459178583,20.560558721044767,1258.5771218833488,1258.5771218833488,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-2.8,2002.9015604451306,688.8534832434026,29.94423490103138,105.31461767649346,70.91606206572223,0.0,19.587588550063742,-1.2570370852481758,20.469637718141424,1390.9536160250445,1390.9536160250445,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-2.2,2214.9408214033847,753.0986583791873,39.16829204359382,96.16390959014987,77.68761332140102,0.0,19.68737879428816,-1.0399730846753017,20.32844919167464,1515.4024512823016,1515.4024512823016,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.7,2804.9592429333734,878.097216906594,38.84751153428032,84.1373485092492,87.15609696638633,85.44000000000005,19.728196711613375,2.650981892424394,20.21835525942751,920.0080251060408,920.0080251060408,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,4.4,1793.8634584003594,550.0777352465816,24.858648820449627,129.09008058821252,53.467172209724644,85.44000000000005,19.74215592026084,6.598193831571363,20.15849563328396,116.12095946369845,116.12095946369845,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,7.2,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.24539182476083,11.065610330600364,20.126931542490343,-540.8654473195784,-540.8654473195784,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,9.4,0.0,0.0,0.0,200.0,0.0,61.24637773706448,19.89713669209847,14.953263690382393,20.070919405456518,-1022.470960398854,-1022.470960398854,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,12.2,0.0,0.0,0.0,0.0,0.0,0.0,21.375302956452032,17.921105775060333,20.054301854386726,-1398.193515974428,-1398.193515974428,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,22.76583199568656,22.625636416901642,20.058426512735895,-2026.7923296342851,-2026.7923296342851,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,14.4,0.0,0.0,0.0,0.0,9.35212422428858,0.0,23.307324555556228,22.145963337029194,20.086756383190135,-3292.0863741997,-3292.0863741997,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.6,0.0,0.0,0.0,0.0,28.628004288919996,0.0,23.518893033152597,23.008777794606807,20.162697804167472,-4023.231475378592,-4023.231475378592,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,15.0,0.0,0.0,0.0,0.0,43.42430335823063,0.0,23.255152567656506,20.307734909549197,20.259487770300282,-4981.010823281016,-4981.010823281016,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,14.4,0.0,0.0,0.0,0.0,0.0,83.11567578154012,23.16605135627869,17.885828175274614,20.308264421948177,-4585.318705385362,-4585.318705385362,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,13.9,0.0,0.0,0.0,0.0,0.0,85.44000000000005,22.812736041468444,16.115910477320586,20.387462151749368,-4095.9575042609467,-4095.9575042609467,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,13.9,0.0,0.0,0.0,0.0,0.0,85.44000000000005,22.717729655274358,15.227050555181611,20.43532613444891,-4120.214390895428,-4120.214390895428,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,14.0,0.0,0.0,0.0,0.0,0.0,85.44000000000005,22.643409636853868,14.756943480460519,20.456581930173517,-3810.40514708736,-3810.40514708736,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,13.0,0.0,0.0,0.0,0.0,0.0,27.741922935533083,23.224628678028083,14.06262520830355,20.46098582804392,-3449.991237508073,-3449.991237508073,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,23.590244766117195,13.861830400145879,20.450386538203688,-3393.637074259077,-3393.637074259077,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,23.50589058689299,13.492989415905587,20.431594121622712,-1930.4002510570763,-1930.4002510570763,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  01:00:00,-2.8,0.0,0.0,0.0,200.0,0.0,0.0,18.718715867409973,-1.6911888489265938,19.321442377004217,-85.39684408174617,-85.39684408174617,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  02:00:00,-3.3,895.020110506055,315.5670544286783,20.572235436366533,154.61557620051622,33.81972671295714,0.0,18.543912651622314,-2.804036267182958,18.971167560096468,618.3132553370287,618.3132553370287,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  03:00:00,-3.9,1627.7692217311198,566.3227324771356,35.929580792766984,118.05991361036656,61.02961979561067,0.0,18.49789359949774,-3.461760637766158,18.781465239710982,1095.0096445614718,1095.0096445614718,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  04:00:00,-3.9,2305.0009336223884,786.0015430110915,49.91627472217348,86.14143788493122,84.80339482310907,0.0,18.53102143951343,-3.7101501837026456,18.568913175976572,1528.956072697316,1528.956072697316,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  05:00:00,-4.0,2908.905120549629,978.9147435451349,67.61455025759432,57.15171012733704,106.24071536513813,0.0,18.52484162865029,-2.405875249897986,18.37738875733692,1908.6558603622962,1908.6558603622962,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  06:00:00,-5.0,4201.109369789631,1370.4194931914594,85.79050107935798,0.0,151.15967594630104,0.0,19.19613804887517,-1.4955667590770003,18.161728770271413,3296.832383218134,3296.832383218134,0.0,0.0,0.0,0.0,611.0081923776174,611.0081923776174
 01/29  07:00:00,-4.4,4274.468168197538,1400.5758145461682,82.00281018336652,0.0,151.15967594630104,85.44000000000005,19.492645729564757,-1.0147160003631976,18.047460922533016,3317.3210358891447,3317.3210358891447,0.0,0.0,0.0,0.0,1804.348221571986,1804.348221571986
 01/29  08:00:00,-3.9,4276.144360703178,1397.237591648621,94.538161185784,0.0,151.15967594630104,54.44605445243947,19.626110687959983,-0.04988295047260521,17.908001286906444,3135.222824742894,3135.222824742894,0.0,0.0,0.0,0.0,1185.5739642310841,1185.5739642310841
 01/29  09:00:00,-3.0,4345.764702636724,1399.1847932023684,103.30792456300303,0.0,151.15967594630104,0.0,19.69336334125352,0.8713853129233504,17.78240473760634,2942.6425558048522,2942.6425558048522,0.0,0.0,0.0,0.0,11.519978692287623,11.519978692287623
 01/29  10:00:00,-3.0,3956.358564633105,1306.893607144228,96.372782715415,13.426156564317736,138.80404961080677,0.0,19.731177644801676,4.033016966947814,17.660457551384088,2698.5209177535544,2698.5209177535544,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  11:00:00,-2.0,3309.697607423392,1092.619173642201,87.78322376887697,44.01207970004746,116.11329481100506,0.0,19.760734696923347,5.957062385235052,17.55945332448631,2372.6537629277536,2372.6537629277536,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  12:00:00,0.0,2010.843142665843,661.4377994403479,51.361103987846896,107.40213468701441,69.21046570724049,0.0,19.82909751738785,10.723214063983209,17.47929250077499,1490.7571761604413,1490.7571761604413,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  13:00:00,1.0,862.7203297332076,287.1221410196133,21.23023259557327,160.36745790060428,29.68598694835469,0.0,19.822674617402264,16.060781930126243,17.407262590278275,680.625239759258,680.625239759258,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  14:00:00,5.0,0.0,0.0,0.0,200.0,0.0,70.3560002244082,19.236271087554115,18.88875522615939,17.36181571245865,-235.0597691384446,-235.0597691384446,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  15:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.9078557484515,21.276060055825237,17.349423434438123,-1022.6741003054867,-1022.6741003054867,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  16:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,22.12267584529957,22.08028576006189,17.368704792196354,-1758.224436001252,-1758.224436001252,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  17:00:00,8.3,0.0,0.0,0.0,200.0,0.0,0.0,23.0394113897496,19.688714310693566,17.414465504739585,-2422.1664621596938,-2422.1664621596938,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  18:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,23.30719411539367,16.54829552777552,17.478798522819993,-2664.831488518712,-2664.831488518712,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  19:00:00,2.8,0.0,0.0,0.0,200.0,0.0,78.0382544195897,21.621437091922218,11.54379036545769,17.541202044714975,-2106.544861973178,-2106.544861973178,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  20:00:00,2.8,0.0,0.0,0.0,200.0,0.0,72.75693095649173,21.203792820284335,7.503380652371863,17.585981282490156,-2322.9454574955307,-2322.9454574955307,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  21:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,21.626575490571607,4.946590882365613,17.60182365549901,-1761.0202716753647,-1761.0202716753647,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  22:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,21.22239395438324,2.937317233341073,17.59357066131802,-1125.5220741507073,-1125.5220741507073,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  23:00:00,1.1,0.0,0.0,0.0,200.0,0.0,0.0,20.51917403613959,1.0197136396324307,17.565263221610838,-1457.736528086787,-1457.736528086787,0.0,0.0,0.0,0.0,0.0,0.0
 01/29  24:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,19.653799531029982,0.09965822008873804,17.52107841691472,-807.8542016936972,-807.8542016936972,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  01:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,18.845639199557443,-0.443354894683451,17.46488503151484,-183.009310335583,-183.009310335583,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  02:00:00,0.0,595.352706189975,198.44530127297782,14.181123430021216,171.99020845450576,20.958595146455696,0.0,18.582333097082643,-1.3374584644720096,17.387039950597607,419.75184538246504,419.75184538246504,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  03:00:00,0.6,1090.6947350582964,352.64356637551197,26.34175376182764,150.01858232566616,37.420803807578935,0.0,18.6411573667194,-1.9024846077624322,17.29979977808528,760.8085310350325,760.8085310350325,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  04:00:00,-1.7,1781.764921087085,590.8589863030352,32.65141805647152,116.87170725403058,62.2134504164871,0.0,18.436560643794152,-2.2343065969726648,17.196501247015348,1219.2785623126128,1219.2785623126128,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  05:00:00,-2.2,2479.5641293934846,811.8599848878148,53.296404101094545,83.34628043254477,87.08254521716854,0.0,18.508681921144895,-2.5380676233200403,17.088295430005793,1680.690084120306,1680.690084120306,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  06:00:00,-1.7,4143.010700743433,1291.0994454023066,98.98925913493912,12.814117062574027,139.5689579707179,0.0,19.25378071400442,-1.9001678627561813,16.97559747732138,2787.323318602319,2787.323318602319,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  07:00:00,-1.1,4604.656526100819,1414.1891041755077,100.57476789230358,0.0,151.15967594630104,85.44000000000005,19.489182290249943,-0.7896171948713846,16.923793161065156,2862.3396253674255,2862.3396253674255,0.0,0.0,0.0,0.0,1057.6267870326465,1057.6267870326465
 01/30  08:00:00,-1.1,4559.771011507835,1408.5102240975132,109.19261211422764,0.0,151.15967594630104,85.44000000000005,19.622651024876934,-0.09690435300112725,16.84003146328638,2393.8587415092916,2393.8587415092916,0.0,0.0,0.0,0.0,537.2682183102993,537.2682183102993
 01/30  09:00:00,2.2,2828.21112516333,872.862965563801,67.06345625817549,79.69689796059598,90.25938649503682,46.38288615784598,19.7575618539627,2.797717583362999,16.78982557522326,1339.1969067075825,1339.1969067075825,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  10:00:00,6.1,247.19558194786828,69.80340630769105,0.0,192.07905594657083,5.986636681525654,0.0,19.93752992548245,7.9342618659561905,16.71724711646686,175.8324248799363,175.8324248799363,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  11:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.74955247793609,13.829597144847193,16.68699948682694,-879.4077968889669,-879.4077968889669,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  12:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,21.57289835098685,18.130850320927625,16.692674422053976,-1591.7823101582653,-1591.7823101582653,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  13:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,22.34267188136191,20.544574162960362,16.730957604438334,-2205.260758212584,-2205.260758212584,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  14:00:00,15.0,0.0,0.0,0.0,0.0,3.0343200863975035,0.0,23.318378167366202,23.154396651109312,16.803065861760913,-3007.170593244986,-3007.170593244986,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  15:00:00,15.0,0.0,0.0,0.0,0.0,22.504991063980867,0.0,23.129394184976963,21.347788962466872,16.927963926466084,-3661.798329227684,-3661.798329227684,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  16:00:00,15.6,0.0,0.0,0.0,0.0,36.073981002248516,0.0,23.36675522861942,20.638984307754484,17.056524603968878,-4805.56904058428,-4805.56904058428,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  17:00:00,15.0,0.0,0.0,0.0,0.0,49.75318666747663,0.0,23.41202095586334,19.823088067452744,17.21628932156395,-5642.8384456355,-5642.8384456355,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  18:00:00,12.8,0.0,0.0,0.0,0.0,45.41302990661989,0.0,23.340406469301392,17.582003584296107,17.3388886191044,-5608.925821656041,-5608.925821656041,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  19:00:00,11.1,0.0,0.0,0.0,0.0,0.9550079200584979,83.701145907223,23.317469192666845,14.397795783520195,17.370058062102512,-4783.465811560482,-4783.465811560482,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  20:00:00,10.0,0.0,0.0,0.0,0.0,0.0,85.44000000000005,22.999467812156304,11.76244028283172,17.463153941395763,-4116.845085947247,-4116.845085947247,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  21:00:00,10.0,0.0,0.0,0.0,0.0,0.0,39.17722480369699,23.291722684618037,10.130225743539713,17.511366466513405,-3825.0538865757335,-3825.0538865757335,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  22:00:00,9.4,0.0,0.0,0.0,193.8918218946294,4.616551115150555,0.0,23.326552703888584,8.910688919159874,17.54766703099382,-3070.810202505856,-3070.810202505856,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  23:00:00,7.8,0.0,0.0,0.0,200.0,0.0,0.0,22.929823134595136,7.632649368159262,17.54418431749112,-3127.8506624077418,-3127.8506624077418,0.0,0.0,0.0,0.0,0.0,0.0
 01/30  24:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,22.11798917305487,6.8388699753681825,17.53365314217471,-2384.4257127570236,-2384.4257127570236,0.0,0.0,0.0,0.0,0.0,0.0
 01/31  01:00:00,6.7,0.0,0.0,0.0,200.0,0.0,0.0,21.460482034854,6.097815573543692,17.507986798326556,-2061.0421004405343,-2061.0421004405343,0.0,0.0,0.0,0.0,0.0,0.0
 01/31  02:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,20.713206920490816,5.049048680454379,17.469807568345814,-1465.3146872284979,-1465.3146872284979,0.0,0.0,0.0,0.0,0.0,0.0
 01/31  03:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,20.004343071269744,3.0572658795868546,17.42257910021085,-981.3644053844855,-981.3644053844855,0.0,0.0,0.0,0.0,0.0,0.0
