Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.0,18.605512147327524,1.84239076610015,18.42454623581693,100.98132280549736,2056.2443327950914,2056.2443327950914,0.0,0.0,0.0,0.0,2841.699901429852,901.433343838335,52.22386904189026,48.693218970852655,0.0,0.0
 01/01  02:00:00,-2.2,18.564387156195394,1.8802376282570312,18.054163100420524,111.10677138827086,2220.094873060363,2220.094873060363,0.0,0.0,0.0,0.0,3148.4395312884744,1003.7589574224745,53.33828271861469,33.60774532458848,0.0,0.0
 01/01  03:00:00,-2.8,18.552427667371308,0.9935571864935757,17.839272083470178,121.94414593981206,2384.786998109468,2384.786998109468,0.0,0.0,0.0,0.0,3420.664683723901,1092.2088128369903,61.609064213210246,17.12022739118502,0.0,0.0
 01/01  04:00:00,-2.8,18.54875845494893,1.2815812517179288,17.624734113446078,132.08799332052692,2571.181379743066,2571.181379743066,0.0,0.0,0.0,0.0,3740.3663016231517,1182.435504526433,66.76499508729914,1.9066645482998856,0.0,0.0
 01/01  05:00:00,-2.8,18.578880502654627,1.1118251003299402,17.441890323041207,134.74594258509794,2602.436662075361,2602.436662075361,0.0,0.0,0.0,0.0,3820.422663533522,1193.4686552633555,67.40761362320343,0.0,0.0,0.0
 01/01  06:00:00,-2.8,19.345269616979454,1.1040712426540984,17.27145558376296,134.9010021067628,3676.342196651969,3676.342196651969,0.0,0.0,0.0,0.0,3853.809306675035,1203.134722856611,60.700898279395716,0.0,1239.9958997617546,1239.9958997617546
 01/01  07:00:00,-2.8,19.605244457712995,1.0947717640288468,17.14412922346912,134.9010021067628,3412.7023960650386,3412.7023960650386,0.0,0.0,0.0,0.0,3838.5322853589237,1221.1415056114186,60.706538295967164,0.0,1037.6026514149266,1037.6026514149266
 01/01  08:00:00,-2.8,19.686950239177552,1.2507946560341838,17.000889710271206,134.9010021067628,3140.7545957418333,3140.7545957418333,0.0,0.0,0.0,0.0,3833.4039745147,1227.2112899582532,60.706538295967164,0.0,753.6877705545712,753.6877705545712
 01/01  09:00:00,-2.2,19.714443353793232,2.1065331585574767,16.8703802462374,134.9010021067628,2894.823376548349,2894.823376548349,0.0,0.0,0.0,0.0,3850.008251061304,1220.3899357322298,71.29470749601269,0.0,449.5893329975197,449.5893329975197
 01/01  10:00:00,-1.1,19.754684903852,3.4483478158522876,16.74864110504327,129.49405991029548,2502.331024244746,2502.331024244746,0.0,0.0,0.0,0.0,3796.2988160341715,1194.8587773911,68.9170911186676,6.143437934439389,0.0,0.0
 01/01  11:00:00,-1.1,19.792835649765628,4.813535210880961,16.62933397443478,116.75151511925375,2254.7140934619183,2254.7140934619183,0.0,0.0,0.0,0.0,3382.3632003492053,1078.0681285785274,62.13558786008734,25.219096613664593,0.0,0.0
 01/01  12:00:00,0.0,19.776636276103723,5.9786978231426735,16.52781198812376,105.11892389812908,2139.8924029316113,2139.8924029316113,0.0,0.0,0.0,0.0,3115.536727347455,982.2338640371529,53.41370559109016,42.9333324005055,0.0,0.0
