Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.0,2859.7092590005036,912.130321484056,52.56885969916149,46.865797694311965,101.64695806681544,0.0,18.721706557172745,1.9951985887946662,18.42955856650749,1997.1660177428603,1997.1660177428603,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-2.2,3043.324227331345,975.5539244824897,51.7194602444409,37.78076195874429,107.73401308593213,0.0,18.63793433659609,1.9215993573617451,18.05986739254441,2097.991079304009,2097.991079304009,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-2.8,3313.837364327026,1062.8070567349198,59.862554816044145,21.33865291830217,118.48671501824857,0.0,18.599685939677105,0.9999494422839988,17.845268933792383,2269.6374219828813,2269.6374219828813,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-2.8,3668.4493679352936,1162.8169760926414,65.59536459964156,4.319076517899312,129.77362363065558,0.0,18.594283535938647,1.2845953939471089,17.629619890071588,2471.647439321612,2471.647439321612,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-2.8,3727.580616870204,1179.0295052822514,66.53199092986719,1.5249780877000907,131.62677388553809,0.0,18.603210023722372,1.1104217902696782,17.446796179269715,2516.3603387419844,2516.3603387419844,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.8,3832.4879339412496,1197.2039033143576,60.37273105852193,0.0,134.17168692017862,0.0,19.375710892679344,1.108413775825126,17.274870808411464,3597.37393405458,3597.37393405458,0.0,0.0,0.0,0.0,1215.154227823753,1215.154227823753
 01/01  07:00:00,-2.8,3817.171417422763,1215.2596821998222,60.37834058347602,0.0,134.17168692017862,0.0,19.621952687611724,1.0925036382381326,17.148017742249838,3346.4962383585025,3346.4962383585025,0.0,0.0,0.0,0.0,999.098778264587,999.098778264587
 01/01  08:00:00,-2.8,3812.3473482264253,1220.969884872631,60.37834058347602,0.0,134.17168692017862,0.0,19.692016080321565,1.243860875146078,17.003965903129586,3083.643273747275,3083.643273747275,0.0,0.0,0.0,0.0,709.37742196302,709.37742196302
 01/01  09:00:00,-2.2,3829.099620915121,1213.9042166046574,70.90926697231096,0.0,134.17168692017862,85.44000000000005,19.691757682745962,2.3339103516487465,16.872941870004126,2847.834306305236,2847.834306305236,0.0,0.0,0.0,0.0,1672.9190421268463,1672.9190421268463
 01/01  10:00:00,-1.1,3948.8522960374353,1225.4766114154993,70.716723715985,0.0,134.17168692017862,85.44000000000005,19.708678946082646,3.756582875733906,16.74998343278965,2488.1084952110996,2488.1084952110996,0.0,0.0,0.0,0.0,1275.5164686906842,1275.5164686906842
