Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,19.079730465254396,1.0340077066421318,19.375936520112443,78.70016880867178,1569.0258937384424,1569.0258937384424,0.0,0.0,0.0,0.0,2239.185705785711,694.8857847604351,62.457557886072266,92.30621387058375,0.0,0.0
 01/01  02:00:00,0.6,18.69498104196968,1.5412451321229648,19.110447063845573,72.26423658130813,1373.4487571024656,1373.4487571024656,0.0,0.0,0.0,0.0,1990.545480816171,636.7298872607922,63.534123604729025,100.89563352203157,0.0,0.0
 01/01  03:00:00,1.0,18.64223498423485,2.0342056841040916,18.930911149502347,75.97420026738655,1506.945075784084,1506.945075784084,0.0,0.0,0.0,0.0,2117.1599951898274,663.5472226443221,68.63867500939955,95.8636728914948,0.0,0.0
 01/01  04:00:00,0.0,18.555241971212485,1.963907308821261,18.748825715486745,87.01598469069546,1739.1908972506553,1739.1908972506553,0.0,0.0,0.0,0.0,2404.8146187492544,760.3645721102839,73.67417860447584,80.57617214777821,0.0,0.0
 01/01  05:00:00,0.0,18.58316752701367,1.957107583373614,18.598246030458622,90.14484748414215,1822.7309808955779,1822.7309808955779,0.0,0.0,0.0,0.0,2527.7270589530376,794.3702882254606,69.68910185117923,76.44265359405145,0.0,0.0
 01/01  06:00:00,-0.6,19.22406671848419,2.659869695028369,18.411999453050264,134.22829879280118,2820.8040825798435,2820.8040825798435,0.0,0.0,0.0,0.0,3820.9234274968812,1173.0705929593823,108.2587968791696,15.679217190669847,0.0,0.0
 01/01  07:00:00,0.0,19.569444343085305,2.567745495653348,18.322413673127535,131.4327929222368,2719.552052513096,2719.552052513096,0.0,0.0,0.0,0.0,3800.796227723232,1173.1530336031324,101.57523068346379,19.845054230185745,0.0,0.0
 01/01  08:00:00,0.0,19.70020317980561,2.483057855012776,18.21238573081217,123.08146709190115,2469.891337264404,2469.891337264404,0.0,0.0,0.0,0.0,3528.5458639702865,1106.0929118326376,95.12306036884449,31.288694429735674,0.0,0.0
 01/01  09:00:00,0.0,19.814506139602877,4.213973415417172,18.118002626754404,93.8689064288733,1742.0471047478459,1742.0471047478459,0.0,0.0,0.0,0.0,2595.369826990246,837.0788590272518,79.4818342622969,71.1621212191878,0.0,0.0
 01/01  10:00:00,1.1,19.78883288336676,5.490185868418861,18.028822290895032,76.54387655578223,1484.7014648461063,1484.7014648461063,0.0,0.0,0.0,0.0,2148.3602638039797,689.129718386632,64.67470436823403,95.19135684570072,0.0,0.0
 01/01  11:00:00,2.8,19.97982790828737,10.32667660396637,17.959461321043804,44.40766441943294,866.5860596346938,866.5860596346938,0.0,0.0,0.0,0.0,1276.5355588445207,406.0300069230811,36.258405603060744,139.41991446762975,0.0,0.0
