Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,2153.547359093029,671.5822855225346,60.22118010090836,95.64442232837551,75.88174155264527,0.0,19.094960059077913,1.081337543830067,19.381033831230145,1499.9859654723714,1499.9859654723714,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.6,1868.846404352063,599.8859104181464,59.838478980368485,106.19477051185018,68.06071049903657,0.0,18.67898850057151,1.5315160460774586,19.113811589840456,1305.7390184074357,1305.7390184074357,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.0,2045.719130933715,641.9802264424218,66.42787216800053,98.71515580866085,73.52719203986503,0.0,18.637190801760664,2.0255669985171068,18.93309463239643,1455.7349014327974,1455.7349014327974,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,0.0,2397.6594418100217,757.9081622041718,73.44358017490916,80.35617674380082,86.74365612246436,0.0,18.578294614861324,1.9775268423854393,18.749194357371646,1698.414452194198,1698.414452194198,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,0.0,2499.895643213675,786.3922086277432,68.95769541903175,77.12961971061105,89.19862875456761,0.0,18.599696721818106,1.958883261208738,18.60027055424689,1787.2762381777338,1787.2762381777338,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-0.6,3924.516810446243,1201.4088139568844,110.83963465784565,10.343839621602434,137.42808648232085,0.0,19.296294499812767,2.735073846969226,18.40933921920907,2782.4448418351767,2782.4448418351767,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,0.0,3779.0782918061122,1168.5729910647283,101.03536667090815,19.90877496248413,130.73366830324312,0.0,19.61006389861759,2.5944031817013262,18.32684760597944,2678.028039467914,2678.028039467914,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,0.0,3447.936134205848,1083.7111669402757,93.1228441412864,34.01250836247216,120.49304848432921,0.0,19.710077575721627,2.478490646323516,18.215493332914406,2414.5956433029514,2414.5956433029514,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,0.0,3937.24523316194,1224.3024067099084,116.25353309011821,10.616297124706309,137.29669801379384,85.44000000000005,19.683854680677566,4.949243202319356,18.09698244111194,1693.767194245078,1693.767194245078,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,1.1,3898.992805116878,1189.7552605423946,111.98084499363418,17.624227192762753,132.53275318061293,85.44000000000005,19.694893152678535,6.33052634299003,18.007291241481145,1598.2961400157583,1598.2961400157583,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,2.8,2823.2323468922727,860.606437763522,77.01455183979778,70.68326521114543,94.32431937514109,85.44000000000005,19.757157663501445,11.421865267529334,17.946950183945564,897.5773708326233,897.5773708326233,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,6.1,1894.3390831986605,519.0286049935443,0.0,136.44130715203713,46.70810744747453,85.44000000000005,19.7720303247588,12.123994807816228,17.8954744727193,472.72953879362285,472.72953879362285,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,5.0,880.5206533954754,272.10742335276234,18.995901062969594,160.97815451188913,28.59507234360291,29.12576601641072,19.74809568060514,11.006265435676827,17.84147295832822,388.5949103705025,388.5949103705025,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,5.0,410.54809085783245,128.27299648589107,8.958675469842193,181.59686930335795,13.48575394703895,0.0,19.774317060383392,10.382828083506462,17.804774264347653,318.8129044154066,318.8129044154066,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.0,360.91367202185836,112.82523594454645,2.7912043121409686,184.8140201457462,11.148654079037437,0.0,19.38238538628019,9.752463076093285,17.77086187812186,286.3448005544851,286.3448005544851,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,4.4,962.67783906397,296.9276825883694,13.644461317483028,158.2766286923301,30.588970004977334,0.0,19.928249232297468,8.733925717104416,17.737350859621444,753.3451545731332,753.3451545731332,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,3.3,455.01644774477,146.59758054428355,5.898867424923276,179.56371696864767,14.973531208734247,0.0,19.724614594811584,6.722471267045082,17.709422775822638,350.82069552641406,350.82069552641406,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,3.3,2015.2537366769582,621.9303051006415,25.12704095203794,112.93318324744436,63.793518365053714,85.30000106324572,19.330181295418527,5.472256101179976,17.65994423068868,442.89700410382284,442.89700410382284,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,2.2,3143.0381883193054,952.4078362710766,9.87050182460503,69.95008122470713,95.47690936828873,85.44000000000005,19.311137680039728,4.742061098097262,17.59071453083976,1087.3325066661164,1087.3325066661164,0.0,0.0,0.0,0.0,0.0,0.0
