Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-8.0,18.43151859423929,0.8858329897982948,18.933215925207136,126.6638807672433,2390.7312040816014,2390.7312040816014,0.0,0.0,0.0,0.0,3240.452812402439,1127.8959593449692,35.73841226279145,0.0,163.9371547847968,163.9371547847968
 01/01  02:00:00,-7.8,18.522823447762782,-1.4164184536135038,18.62993083487496,126.6638807672433,2798.531839918558,2798.531839918558,0.0,0.0,0.0,0.0,3248.246851309872,1121.4602202871954,39.58290196405838,0.0,786.111281914235,786.111281914235
 01/01  03:00:00,-7.8,18.55659805169277,-2.6842485901108106,18.451911554341358,126.6638807672433,3018.0634782926973,3018.0634782926973,0.0,0.0,0.0,0.0,3267.932247782245,1130.4355653463813,34.00858023964503,0.0,1174.0537450766283,1174.0537450766283
 01/01  04:00:00,-9.0,18.56778756793336,-3.7431855587323835,18.247668697547343,126.6638807672433,3321.817963390731,3321.817963390731,0.0,0.0,0.0,0.0,3128.772350733909,1111.3058496009144,40.21073685736157,0.0,1756.052683372672,1756.052683372672
 01/01  05:00:00,-8.3,18.580572470598554,-4.39576628446856,18.07702725033405,126.6638807672433,3279.648035245549,3279.648035245549,0.0,0.0,0.0,0.0,3225.321148897447,1128.502545680335,32.25813537822211,0.0,1687.0014071049618,1687.0014071049618
 01/01  06:00:00,-8.3,19.352548219867657,-3.850858198495685,17.902532729395116,126.6638807672433,4303.656010228675,4303.656010228675,0.0,0.0,0.0,0.0,3241.2363418524546,1134.1933963744286,27.97666685342361,0.0,2905.422238570805,2905.422238570805
 01/01  07:00:00,-8.9,19.59678858313766,-4.197720957674971,17.763907435794813,126.6638807672433,4281.548603099447,4281.548603099447,0.0,0.0,0.0,0.0,3160.0535335105324,1141.7317752701658,30.259010204037065,0.0,3026.2326127034694,3026.2326127034694
 01/01  08:00:00,-8.9,19.670047966122794,-4.525371859190146,17.61046313310675,126.6638807672433,4034.6335582904812,4034.6335582904812,0.0,0.0,0.0,0.0,3155.4925819319033,1146.833448254852,30.259010204037065,0.0,2786.7443781477186,2786.7443781477186
 01/01  09:00:00,-7.2,19.70912617090053,-2.902646590661091,17.474532365637852,126.6638807672433,3270.8993606718977,3270.8993606718977,0.0,0.0,0.0,0.0,3297.176859902937,1157.4558500662436,36.21072617415118,0.0,1780.290792557374,1780.290792557374
 01/01  10:00:00,-3.9,19.734651604594696,-0.41911887500047385,17.356618116815756,126.6638807672433,2691.8781445166933,2691.8781445166933,0.0,0.0,0.0,0.0,3563.5255168992935,1169.466315906779,51.87619506598261,0.0,757.0104348073137,757.0104348073137
 01/01  11:00:00,-3.9,19.74607958483887,2.931423947586333,17.230427668607,126.6638807672433,2374.573437692279,2374.573437692279,0.0,0.0,0.0,0.0,3563.1631352482927,1169.892709093131,51.87619506598261,0.0,250.9527598666491,250.9527598666491
 01/01  12:00:00,-2.0,19.805912205701507,5.283083367092966,17.13918714244734,116.77763299506061,2122.737759429461,2122.737759429461,0.0,0.0,0.0,0.0,3332.7777542910057,1076.435464642927,72.49766658439346,13.239547317515266,0.0,0.0
 01/01  13:00:00,-1.0,19.80494751933247,6.170790706434628,17.05173017533667,107.49999477600417,2120.7155364403898,2120.7155364403898,0.0,0.0,0.0,0.0,3145.198815785966,1004.78506240953,61.820934559531764,28.513223242620377,0.0,0.0
 01/01  14:00:00,1.7,19.84119564865071,5.977121373672061,16.980701706113727,89.3184840224868,1922.1293916983432,1922.1293916983432,0.0,0.0,0.0,0.0,2767.1656218214844,853.1455433485078,50.071474554969505,58.082973047531226,0.0,0.0
 01/01  15:00:00,0.6,19.69933218429881,4.40841635363897,16.89618086288267,92.32966175156598,1894.5972392767944,1894.5972392767944,0.0,0.0,0.0,0.0,2705.8208724669803,852.3815918125715,69.44381698459435,52.65927591951718,0.0,0.0
 01/01  16:00:00,1.0,19.70273194223878,4.0823296450183175,16.822210765290826,91.97939604988605,1911.0777808802613,1911.0777808802613,0.0,0.0,0.0,0.0,2752.3398204422865,856.705882742522,63.26495871659201,53.46200300751587,0.0,0.0
 01/01  17:00:00,0.6,19.703928092427155,3.37903753396282,16.751415044618284,94.05641250592592,1896.4356652661845,1896.4356652661845,0.0,0.0,0.0,0.0,2762.529011960094,865.6752819605831,70.84397217286849,49.90234096231405,0.0,0.0
