Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-8.0,3220.753717801257,1125.9195785820593,35.55748695546815,0.0,125.933332076268,0.0,18.564344720168833,1.0687822697541314,18.938639363628383,2287.4952504208686,2287.4952504208686,0.0,0.0,0.0,0.0,178.4796982326352,178.4796982326352
 01/01  02:00:00,-7.8,3229.2805827848506,1118.6482683731542,39.38251397116336,0.0,125.933332076268,0.0,18.593512060992964,-1.3187026796451706,18.63558065388427,2676.5221894982697,2676.5221894982697,0.0,0.0,0.0,0.0,709.042829756796,709.042829756796
 01/01  03:00:00,-7.8,3250.024241251723,1126.2625094742693,33.83641218734761,0.0,125.933332076268,0.0,18.60097686882314,-2.618921051541116,18.45585291659434,2900.8258548674767,2900.8258548674767,0.0,0.0,0.0,0.0,1099.419256806819,1099.419256806819
 01/01  04:00:00,-9.0,3112.0896890974636,1106.6245524956275,40.00717045742978,0.0,125.933332076268,0.0,18.602494942902656,-3.7004302311661434,18.251849062126272,3223.4615553819567,3223.4615553819567,0.0,0.0,0.0,0.0,1694.428972591068,1694.428972591068
 01/01  05:00:00,-8.3,3208.3271177471083,1123.5417679161026,32.0948289332109,0.0,125.933332076268,0.0,18.6061176971066,-4.369145548269154,18.081084716079182,3196.522892685676,3196.522892685676,0.0,0.0,0.0,0.0,1637.6649377137358,1637.6649377137358
 01/01  06:00:00,-8.3,3224.3357265715745,1129.0072542230646,27.835035294329217,0.0,125.933332076268,0.0,19.395381471800796,-3.8246150160572685,17.90630133647398,4228.699097391285,4228.699097391285,0.0,0.0,0.0,0.0,2897.8305791288444,2897.8305791288444
 01/01  07:00:00,-8.9,3143.236085089842,1136.8689787217438,30.105824307578978,0.0,125.933332076268,0.0,19.630639388268932,-4.180731076716319,17.768426483355288,4211.8452456690175,4211.8452456690175,0.0,0.0,0.0,0.0,3009.3897555481017,3009.3897555481017
 01/01  08:00:00,-8.9,3138.869603005791,1141.7524610046873,30.105824307578978,0.0,125.933332076268,0.0,19.691070635783742,-4.519242226163392,17.614403225328438,3968.7564854781867,3968.7564854781867,0.0,0.0,0.0,0.0,2748.1115723557427,2748.1115723557427
 01/01  09:00:00,-7.2,3280.083756761078,1152.054298107783,36.02740978300084,0.0,125.933332076268,85.44000000000004,19.691639430403907,-2.6448907357788594,17.477911525277367,3213.2796254956556,3213.2796254956556,0.0,0.0,0.0,0.0,2977.6688428429015,2977.6688428429015
 01/01  10:00:00,-3.9,3545.827365234537,1163.1433278368763,51.61357241598738,0.0,125.933332076268,85.44000000000004,19.70497426849235,-0.11011736021420104,17.358189892138864,2671.3172393702007,2671.3172393702007,0.0,0.0,0.0,0.0,2163.9365487706746,2163.9365487706746
