Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-25.0,18.506521433675516,-13.832757308309997,16.02961586846935,105.54672093851369,6436.483058044985,6436.483058044985,0.0,0.0,0.0,0.0,1567.0114676324968,795.6148383699294,0.05084391226606634,0.0,7966.080308239263,7966.080308239263
 01/01  02:00:00,-24.0,18.50029125742311,-13.347101836770983,15.369375371004216,105.54672093851369,6605.424549001142,6605.424549001142,0.0,0.0,0.0,0.0,1625.6580869742654,807.044165617168,0.43949043299569923,0.0,8029.137788706269,8029.137788706269
 01/01  03:00:00,-24.0,18.48999325534854,-13.004280743984689,15.046127094673594,105.54672093851369,6839.41831162529,6839.41831162529,0.0,0.0,0.0,0.0,1627.2757026901354,806.8829469400804,0.05084391226606634,0.0,8289.522065786881,8289.522065786881
 01/01  04:00:00,-26.0,18.46856540885969,-12.938966688223529,14.674662478993547,105.54672093851369,7344.126336357291,7344.126336357291,0.0,0.0,0.0,0.0,1509.485384166439,783.0994491164321,0.05084391226606634,0.0,8999.146919360643,8999.146919360643
 01/01  05:00:00,-26.0,18.471800203540703,-13.583708659893906,14.370555154880767,105.54672093851369,7402.014276586055,7402.014276586055,0.0,0.0,0.0,0.0,1510.1701034076268,782.6105058321692,0.05084391226606634,0.0,9085.22781244234,9085.22781244234
 01/01  06:00:00,-28.0,18.33481284314875,-14.431172665247184,14.068179052327983,105.54672093851369,8970.546679360108,8970.546679360108,0.0,0.0,0.0,0.0,1389.2003356094783,753.3708767371104,4.563879835243543,0.0,9300.585709574843,9300.585709574843
 01/01  07:00:00,-30.0,17.983887228281812,-16.55985223013971,13.779664719877038,105.54672093851369,9442.835849428771,9442.835849428771,0.0,0.0,0.0,0.0,1287.0068683629077,727.9759059282063,3.4440327255219274,0.0,9455.125276683762,9455.125276683762
 01/01  08:00:00,-31.0,17.816683866383393,-16.054636634645064,13.501886207583256,105.54672093851369,9553.329774330627,9553.329774330627,0.0,0.0,0.0,0.0,1241.7300014637658,712.7313038580262,2.9746080246069027,0.0,9622.258324856557,9622.258324856557
 01/01  09:00:00,-29.0,18.500999534131196,-13.805869345384078,13.256978203143078,105.54672093851369,8555.180407668959,8555.180407668959,0.0,0.0,0.0,0.0,1346.3783375123794,735.2627909276093,3.971774058167804,0.0,9578.711516577592,9578.711516577592
 01/01  10:00:00,-22.0,19.393007446631355,-9.605550487001702,13.086592840037692,105.54672093851369,6567.881830547905,6567.881830547905,0.0,0.0,0.0,0.0,1729.9546046902205,816.345658685501,9.866834502257138,0.0,7990.077607796329,7990.077607796329
