Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-25.0,1557.7875849300951,788.3527463206786,0.05047788835223443,0.0,104.78689302267836,0.0,18.548711936386496,-13.732425106182406,16.02371355437721,6554.199957685443,6554.199957685443,0.0,0.0,0.0,0.0,8255.914286117284,8255.914286117284
 01/01  02:00:00,-24.0,1613.3625399307386,801.6935077072678,0.4363265535614227,0.0,104.78689302267836,0.0,18.564508038469686,-13.246352218992644,15.369449688411056,6666.459542416345,6666.459542416345,0.0,0.0,0.0,0.0,8215.074085661945,8215.074085661945
 01/01  03:00:00,-24.0,1614.6483300375055,801.7823628517632,0.05047788835223443,0.0,104.78689302267836,0.0,18.5823370626061,-12.911090886172248,15.045663343779921,6833.442080546125,6833.442080546125,0.0,0.0,0.0,0.0,8473.709531673952,8473.709531673952
 01/01  04:00:00,-26.0,1497.3185813069913,778.388334397808,0.05047788835223443,0.0,104.78689302267836,0.0,18.546307879321446,-12.868964992137057,14.67616870389328,7296.856380086647,7296.856380086647,0.0,0.0,0.0,0.0,9064.800442123187,9064.800442123187
 01/01  05:00:00,-26.0,1498.208234866507,777.7546613611256,0.05047788835223443,0.0,104.78689302267836,0.0,18.523634654190683,-13.532225341162526,14.37204863523801,7330.9606151502285,7330.9606151502285,0.0,0.0,0.0,0.0,9083.92267206328,9083.92267206328
 01/01  06:00:00,-28.0,1378.4942599861,748.4041728752094,4.531024590926137,0.0,104.78689302267836,0.0,18.341696223487034,-14.410262583149976,14.069697855626096,8896.688089474354,8896.688089474354,0.0,0.0,0.0,0.0,9218.107588513574,9218.107588513574
 01/01  07:00:00,-30.0,1277.6669548386808,722.7787977422988,3.419239229479294,0.0,104.78689302267836,0.0,17.979174932051006,-16.555259378069238,13.780243689331892,9377.974731866521,9377.974731866521,0.0,0.0,0.0,0.0,9385.556075427045,9385.556075427045
 01/01  08:00:00,-31.0,1232.8753344151328,707.5533324787876,2.953193903962825,0.0,104.78689302267836,0.0,17.800329725149503,-16.060370136625277,13.502570252973527,9505.631735113242,9505.631735113242,0.0,0.0,0.0,0.0,9555.092716211546,9555.092716211546
 01/01  09:00:00,-29.0,1336.931077916812,729.8148371890867,3.943181366912672,0.0,104.78689302267836,85.44000000000004,17.889008733583456,-13.818397100254932,13.257203666229023,8520.347787311206,8520.347787311206,0.0,0.0,0.0,0.0,9515.478204849966,9515.478204849966
 01/01  10:00:00,-22.0,1726.2762653617258,803.0554863091332,9.795803434412694,0.0,104.78689302267836,85.44000000000004,18.917024784241914,-9.460719605527135,13.065130975944406,6642.655224852599,6642.655224852599,0.0,0.0,0.0,0.0,9102.408324996315,9102.408324996315
 01/01  11:00:00,-18.0,1997.5673505921552,867.9484643409554,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.42310992703886,-6.166323775932732,12.916893086667757,5329.101572539192,5329.101572539192,0.0,0.0,0.0,0.0,7369.246658515959,7369.246658515959
 01/01  12:00:00,-16.0,2129.7564693326613,894.6513716270736,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.592933877629502,-6.472976190379712,12.776551023207725,5065.40005347172,5065.40005347172,0.0,0.0,0.0,0.0,6627.356757697493,6627.356757697493
 01/01  13:00:00,-15.0,2199.251767689854,906.5840060039867,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.6572655900452,-7.686563453266732,12.653413163669171,4459.0748653026,4459.0748653026,0.0,0.0,0.0,0.0,5724.864347996168,5724.864347996168
 01/01  14:00:00,-15.0,2198.369343320098,907.4708383022764,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.683124398530747,-5.768412573539046,12.554159514547203,3659.0369410219228,3659.0369410219228,0.0,0.0,0.0,0.0,4619.618149281479,4619.618149281479
 01/01  15:00:00,-15.0,2198.105254404064,907.736137255559,0.05047788835223443,0.0,104.78689302267836,10.130880382952343,19.71182133318775,-7.409888045389608,12.469806157576658,3541.3879927307626,3541.3879927307626,0.0,0.0,0.0,0.0,3602.2313027768905,3602.2313027768905
 01/01  16:00:00,-16.0,2125.846887120691,898.4926719013555,0.05047788835223443,0.0,104.78689302267836,0.0,19.706361668295997,-8.068332226328383,12.401194668515021,3395.3811976522684,3395.3811976522684,0.0,0.0,0.0,0.0,3464.729837864991,3464.729837864991
 01/01  17:00:00,-18.0,1986.4389666725638,878.3700659017845,0.05047788835223443,0.0,104.78689302267836,0.0,19.696444275829723,-10.90837116094346,12.320626380157954,4323.052083522198,4323.052083522198,0.0,0.0,0.0,0.0,4823.908790269982,4823.908790269982
 01/01  18:00:00,-19.0,1918.9615905937405,867.8107910836576,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.68230705930143,-11.438366681619529,12.234348646632034,4701.865255993056,4701.865255993056,0.0,0.0,0.0,0.0,6567.372026981799,6567.372026981799
 01/01  19:00:00,-19.0,1919.3068343047078,867.4983262323381,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.671150590941647,-13.100158194511373,12.124513078772747,5003.78437537257,5003.78437537257,0.0,0.0,0.0,0.0,7293.119790387343,7293.119790387343
 01/01  20:00:00,-21.0,1788.3756198174403,845.7642054235511,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.673427342883215,-13.949964358923681,11.993830506231312,5232.297567741791,5232.297567741791,0.0,0.0,0.0,0.0,7784.678049225557,7784.678049225557
 01/01  21:00:00,-22.0,1724.9887648129106,834.506409772675,0.05047788835223443,0.0,104.78689302267836,85.44000000000004,19.367342294686086,-12.494654122339927,11.8548322122316,6321.272645053523,6321.272645053523,0.0,0.0,0.0,0.0,8558.093497142785,8558.093497142785
