Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,18.631175248334074,0.44459018398816724,18.710488506467847,101.3732789855251,2141.674763730878,2141.674763730878,0.0,0.0,0.0,0.0,3034.7728710321626,963.7766417743663,18.84099025181071,63.58409124127433,0.0,0.0
 01/01  02:00:00,-1.1,18.434109877165877,0.7139823043528646,18.328608476395708,125.12768402289554,2758.8128680235714,2758.8128680235714,0.0,0.0,0.0,0.0,3821.5272090858107,1184.7875134147937,23.426062158618645,31.614749318519685,0.0,0.0
 01/01  03:00:00,-1.1,18.530221384459647,0.9281115244182797,18.14609396989618,136.74823220988927,3063.9768124764923,3063.9768124764923,0.0,0.0,0.0,0.0,4250.878415277823,1297.4463273084289,18.905278870496197,16.13673385916343,0.0,0.0
 01/01  04:00:00,-1.7,18.549525053723748,1.1324884800485504,17.945748131291865,149.01393054783603,3249.742163498744,3249.742163498744,0.0,0.0,0.0,0.0,4545.188622799346,1389.7726358887994,32.62726064019682,0.0,0.0,0.0
 01/01  05:00:00,-2.2,18.623081783357225,1.0671471090056144,17.79230480622651,137.0558608215798,2827.856593118522,2827.856593118522,0.0,0.0,0.0,0.0,4048.2795754251433,1268.3543338293573,38.40393260674338,15.103633518047577,0.0,0.0
 01/01  06:00:00,-2.8,19.305036716941796,0.2270520007112596,17.619865870774444,149.10581374681942,4377.391040899762,4377.391040899762,0.0,0.0,0.0,0.0,4408.453422619375,1378.7397327766807,32.767008879400734,0.0,1463.5838917571818,1463.5838917571818
 01/01  07:00:00,-2.8,19.580152036909933,-0.06775337339730195,17.504522482023226,149.10581374681942,4310.329600990819,4310.329600990819,0.0,0.0,0.0,0.0,4420.757249729606,1406.0051480566626,26.382961250728712,0.0,1510.959788093542,1510.959788093542
 01/01  08:00:00,-2.8,19.677975395548287,0.19985949225906913,17.37588083063443,149.10581374681942,3815.396229663067,3815.396229663067,0.0,0.0,0.0,0.0,4413.768639893481,1413.2639079667256,26.537407420702195,0.0,996.2092284062219,996.2092284062219
 01/01  09:00:00,-3.3,19.69876019261085,-0.46262521356746805,17.240414984682484,149.10581374681942,4044.0565159147263,4044.0565159147263,0.0,0.0,0.0,0.0,4305.481897419956,1395.453993197358,36.840165147553215,0.0,1362.3538693329692,1362.3538693329692
 01/01  10:00:00,-3.3,19.713859203859634,0.20506168354611393,17.119658901946696,149.10581374681942,3595.7238591516107,3595.7238591516107,0.0,0.0,0.0,0.0,4214.269134209596,1366.3812814870857,57.98887710925341,0.0,971.4822640371804,971.4822640371804
 01/01  11:00:00,-3.0,19.730664221192775,0.6426511505094686,17.000623119249706,149.10581374681942,3049.162153320445,3049.162153320445,0.0,0.0,0.0,0.0,4310.304295671953,1389.5432440780044,44.06948546252679,0.0,212.76257165752486,212.76257165752486
 01/01  12:00:00,-2.8,19.718628661427587,0.9438609484620945,16.88506947148214,149.10581374681942,3442.0617718046487,3442.0617718046487,0.0,0.0,0.0,0.0,4321.611123751652,1388.0540492397765,47.01564918960184,0.0,622.5366803559623,622.5366803559623
 01/01  13:00:00,-3.3,19.72131831409969,0.5882612695101382,16.773943243360936,149.10581374681942,3316.1028843015265,3316.1028843015265,0.0,0.0,0.0,0.0,4246.857224367049,1376.9813126346473,50.40002398775155,0.0,543.1977608991233,543.1977608991233
 01/01  14:00:00,-3.3,19.717525748260023,0.4870937421602717,16.674515302425977,149.10581374681942,3331.5072441418743,3331.5072441418743,0.0,0.0,0.0,0.0,4271.712551012251,1384.931155734785,44.6327718403168,0.0,551.0257349575004,551.0257349575004
 01/01  15:00:00,-3.3,19.74501754343803,0.8922486901477417,16.582344697366075,145.82905308380546,2789.3005793774373,2789.3005793774373,0.0,0.0,0.0,0.0,4203.2866691427325,1373.2098321288101,36.01583033728817,3.250091529997823,0.0,0.0
 01/01  16:00:00,-3.3,19.720432582524726,0.5658235141651898,16.488957234131842,149.10581374681942,3034.3672360644905,3034.3672360644905,0.0,0.0,0.0,0.0,4272.667694234971,1385.7231642284617,44.3359436170855,0.0,188.73571031622578,188.73571031622578
 01/01  17:00:00,-3.3,19.757705322716063,0.6068898330908177,16.399233174832503,137.85382557897375,2585.0922283772197,2585.0922283772197,0.0,0.0,0.0,0.0,3917.4610626945723,1289.637049164912,41.283068874829624,13.771556408599395,0.0,0.0
 01/01  18:00:00,-3.3,19.754630621363468,0.20604491755291934,16.311237208949972,131.409692018407,2454.7153056110255,2454.7153056110255,0.0,0.0,0.0,0.0,3713.8221180103096,1230.1724167229556,39.35712888973019,22.476657638072805,0.0,0.0
 01/01  19:00:00,-2.8,19.75924006911273,0.027368075204698247,16.225682206935517,120.96348855690901,2272.756485628255,2272.756485628255,0.0,0.0,0.0,0.0,3450.112591578015,1140.1246623199504,33.19531432478071,36.75305203393822,0.0,0.0
 01/01  20:00:00,-2.8,19.7542137526258,-0.06809356552757688,16.138803753463865,115.54380393804331,2160.963929132313,2160.963929132313,0.0,0.0,0.0,0.0,3281.0056627201134,1089.0742820703022,31.708022993662382,44.06720993483806,0.0,0.0
 01/01  21:00:00,-2.2,19.79035509075779,0.48359897504233,16.056067633796097,104.94856230528382,1987.1962416989263,1987.1962416989263,0.0,0.0,0.0,0.0,3022.1488481602546,998.624983255197,24.656405064192157,58.549248236353634,0.0,0.0
 01/01  22:00:00,-2.8,19.65661250286142,0.0684561558805982,15.970873929087034,119.24939629267858,2294.318318282172,2294.318318282172,0.0,0.0,0.0,0.0,3396.004256900677,1124.4499648815079,32.74028824816415,39.06572126182502,0.0,0.0
 01/01  23:00:00,-2.8,18.88080278745633,-0.3625573192368492,15.877100802421442,100.7866336950379,1842.9331220991971,1842.9331220991971,0.0,0.0,0.0,0.0,2829.691428552487,947.8562505017375,27.676565198720333,63.982758867797365,0.0,0.0
 01/01  24:00:00,-2.2,18.81634263513393,0.37220290727529054,15.773994408288445,101.9050971842694,1986.4180448051247,1986.4180448051247,0.0,0.0,0.0,0.0,2940.7761639618116,952.8832715588131,23.96153013392027,62.653713825256084,0.0,0.0
 07/27  01:00:00,22.2,24.497183302274586,19.610889737631698,20.685845148305667,14.039898668879284,-4941.005955057859,-4941.005955057859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  02:00:00,22.2,24.45233117494261,20.285799639186063,20.52502518891082,13.13725439403175,-4352.427666915355,-4352.427666915355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  03:00:00,21.7,24.427947740557023,20.558572486410597,20.41414501725553,10.010102428823732,-4101.408007676595,-4101.408007676595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  04:00:00,21.1,24.397903039335766,20.122322022524404,20.315241884400972,6.15464142518038,-3622.6985385393828,-3622.6985385393828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  05:00:00,21.1,24.473160844885765,19.9941520467512,20.228875348639882,6.012791213970705,-2950.207156663362,-2950.207156663362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  06:00:00,21.7,23.510034487010515,20.310678063471272,20.183291508379426,22.714027247999518,-2060.0086461333804,-2060.0086461333804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  07:00:00,22.2,23.378998810842365,21.440719220413136,20.13078419792922,43.12171241531139,-4150.066683738685,-4150.066683738685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  08:00:00,25.0,23.395711251703123,24.2421790344206,20.10352683651328,58.058370480880114,-4807.89573599,-4807.89573599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  09:00:00,26.0,23.384715801261002,27.740493658962052,20.10019996009665,75.0063250374209,-5509.379144718547,-5509.379144718547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  10:00:00,27.0,23.36523809752111,31.36812056158735,20.116892086206732,88.35691637134764,-6051.391194646256,-6051.391194646256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  11:00:00,28.3,23.384359188141886,33.804350019039894,20.1731435820766,100.0996646385633,-6422.699075168333,-6422.699075168333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  12:00:00,28.9,23.400747063890595,35.24558563000972,20.185440176226837,112.18227249308129,-6862.527064918206,-6862.527064918206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  13:00:00,29.4,23.380382586777323,37.3352490649162,20.26299799902094,121.72804596715744,-7227.023715749896,-7227.023715749896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  14:00:00,30.0,23.403450649275563,37.82466460531097,20.377719702302024,134.71257003772794,-7713.4165503648255,-7713.4165503648255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  15:00:00,30.0,23.38025855991375,36.502727336935365,20.48945091412061,145.6769829298842,-8149.186052134868,-8149.186052134868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  16:00:00,29.4,23.40557568671462,37.90269589828732,20.59717667922351,149.10581374681942,-8531.814157171168,-8531.814157171168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  17:00:00,28.3,23.592167954141388,35.715070921571666,20.719879443807443,149.10581374681942,-8953.833238319385,-8953.833238319385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  18:00:00,26.7,23.643038481927775,32.874025257687,20.85089004629486,149.10581374681942,-9125.199536066051,-9125.199536066051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  19:00:00,25.6,23.532223153822216,31.755549837039304,20.977167909892753,149.10581374681942,-9175.504735745395,-9175.504735745395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  20:00:00,23.9,23.37003135141767,27.657847743183435,21.06922077075103,136.24499424108024,-8684.11060022912,-8684.11060022912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  21:00:00,22.8,23.295423118111234,24.41494740172402,21.125562502469894,102.30671420248511,-7515.104677603169,-7515.104677603169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  22:00:00,21.7,23.295636505414762,21.941958471218996,21.163522943455057,77.04654304430785,-6453.694206126569,-6453.694206126569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  23:00:00,20.6,24.334606997606976,20.07341992481808,21.151366593480706,25.656461791716094,-6623.698180387426,-6623.698180387426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  24:00:00,20.0,24.374782525003734,19.238558426060703,21.14996561243644,18.652384799112504,-5212.963306860947,-5212.963306860947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  01:00:00,18.9,24.42151480015879,18.035268549821982,21.113398207956028,11.099263907217582,-4876.7889243121645,-4876.7889243121645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  02:00:00,17.2,24.36316587966353,16.69670745729317,21.064153478512445,5.05938384287945,-4208.699852716207,-4208.699852716207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  03:00:00,17.2,24.418429875957468,15.922579608816763,21.00034461740346,0.0,-3619.114216937014,-3619.114216937014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  04:00:00,17.8,24.320416530835715,16.129070478650302,20.928620667131863,0.0,-2415.249336522429,-2415.249336522429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  05:00:00,17.2,24.274803770187425,15.228910536631751,20.84861991453866,0.0,-2854.3757999271056,-2854.3757999271056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  06:00:00,18.3,23.40367458073975,15.45859081770767,20.785316376986714,18.22203530106277,-2723.776625246379,-2723.776625246379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  07:00:00,20.0,23.36506403315583,17.552745530226414,20.70348525455692,24.969685421518626,-3264.3080926357816,-3264.3080926357816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  08:00:00,22.2,23.38344708785495,21.049715726233117,20.650394617795207,38.87904299116842,-4029.555138308575,-4029.555138308575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  09:00:00,23.9,23.368793989730158,24.590810206263118,20.621231974095384,53.080441200830016,-4748.6351873271215,-4748.6351873271215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  10:00:00,25.6,23.379705720271556,29.053067028302696,20.626503834410983,70.49810006126933,-5532.886783463713,-5532.886783463713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  11:00:00,26.7,23.405306023249384,31.303113219154735,20.66320748233016,87.66824675754948,-6219.943385831515,-6219.943385831515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  12:00:00,28.3,23.422124968203125,34.11321162035686,20.73047984274333,103.08842077592637,-6864.650870104553,-6864.650870104553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  13:00:00,28.9,23.35405160341471,38.51518459816996,20.801046452233322,110.45910572408341,-7097.2576258345725,-7097.2576258345725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  14:00:00,28.9,23.39054299158145,39.59347093220821,20.894210150176598,120.06422892729184,-7382.001942734831,-7382.001942734831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  15:00:00,28.9,23.389794143068713,38.652815601167354,21.010898318594545,131.25446421021945,-7831.869855520636,-7831.869855520636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
