Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,2945.319004176021,936.7965919274865,18.318303581164237,66.70177065836256,98.56100310158567,0.0,18.63235742640101,0.47782045737997425,18.71042180670228,2068.1998872290314,2068.1998872290314,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,3824.0021375653864,1184.962043672873,23.429026337546514,30.74682283278991,125.14351469075474,0.0,18.467657576866088,0.7363431446595216,18.328800890003247,2701.649574193678,2701.649574193678,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.1,4249.889625546768,1297.5730719796188,18.8945961908047,15.316825837418024,136.67090572463772,0.0,18.568342153057074,0.944428314541686,18.147444872921234,3018.7802402873876,3018.7802402873876,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.7,4524.360236328952,1383.8641435832994,32.464056048651365,0.0,148.3599726019572,0.0,18.582293614373835,1.1412245849098048,17.947998670302738,3198.8792072712004,3198.8792072712004,0.0,0.0,0.0,0.0,6.58284465486804,6.58284465486804
 01/01  05:00:00,-2.2,3944.9745334331033,1239.5977658054503,37.508430254360434,18.50720049352601,133.85986179830385,0.0,18.617314736861633,1.0445732133602612,17.79619900486164,2774.675106488461,2774.675106488461,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.8,4386.532589013146,1371.6890392457708,32.60310525416839,0.0,148.3599726019572,0.0,19.32292542580478,0.2279658968162731,17.6202968604966,4314.811687125939,4314.811687125939,0.0,0.0,0.0,0.0,1478.4388874713436,1478.4388874713436
 01/01  07:00:00,-2.8,4398.234094423612,1399.4573444653404,26.250991225351225,0.0,148.3599726019572,0.0,19.600850702402205,-0.0675144411392758,17.506684088628724,4269.692969680471,4269.692969680471,0.0,0.0,0.0,0.0,1517.7062271275581,1517.7062271275581
 01/01  08:00:00,-2.8,4391.213014051672,1406.7601539677682,26.404664841221425,0.0,148.3599726019572,0.0,19.68653787825432,0.19678796617740538,17.377793310652464,3774.2810719226545,3774.2810719226545,0.0,0.0,0.0,0.0,976.9531849787509,976.9531849787509
 01/01  09:00:00,-3.3,4283.754903040188,1388.6989043847443,36.655887215927955,0.0,148.3599726019572,85.44000000000004,19.70087922301837,-0.33360165121209107,17.241845314238656,4006.3742086109814,4006.3742086109814,0.0,0.0,0.0,0.0,2534.6541242212784,2534.6541242212784
 01/01  10:00:00,-3.3,4193.149036462281,1359.5936833669075,57.698811353897426,0.0,148.3599726019572,85.44000000000004,19.69858366104939,0.39328831990612495,17.120881721638685,3579.6014000762952,3579.6014000762952,0.0,0.0,0.0,0.0,2361.5473597890796,2361.5473597890796
 01/01  11:00:00,-3.0,4289.102693079694,1382.167877074451,43.84904579847271,0.0,148.3599726019572,85.44000000000004,19.709504670868608,0.8455673633488222,17.00104155408237,3055.608266925494,3055.608266925494,0.0,0.0,0.0,0.0,1574.7638110941639,1574.7638110941639
 01/01  12:00:00,-2.8,4300.48839032176,1380.5252069209228,46.78047254063794,0.0,148.3599726019572,85.44000000000004,19.702902333870895,1.1207487036608876,16.88524896164422,3456.1373292385088,3456.1373292385088,0.0,0.0,0.0,0.0,1868.4054580918823,1868.4054580918823
 01/01  13:00:00,-3.3,4225.982449150376,1369.6583736330065,50.14791838135356,0.0,148.3599726019572,77.81529403911115,19.711491995547288,0.7317001730764948,16.774290825066455,3319.98705705043,3319.98705705043,0.0,0.0,0.0,0.0,1490.5747741538898,1490.5747741538898
 01/01  14:00:00,-3.3,4250.580889396401,1377.725027157357,44.40951456542422,0.0,148.3599726019572,0.0,19.721291966071934,0.49828831339728125,16.67496733856269,3320.823435999904,3320.823435999904,0.0,0.0,0.0,0.0,560.8605186667623,560.8605186667623
 01/01  15:00:00,-3.3,4139.536886270498,1353.9991803621594,35.50946504111995,5.041098299096181,143.77875027123014,0.0,19.72987053529549,0.8872891601342378,16.583464573093266,2768.1466888513005,2768.1466888513005,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-3.3,4251.6529655670065,1378.3692960755616,44.114171104565884,0.0,148.3599726019572,0.0,19.713725551793544,0.56300321656428,16.48900176824153,3009.244296524719,3009.244296524719,0.0,0.0,0.0,0.0,183.75068313568227,183.75068313568227
 01/01  17:00:00,-3.3,3848.794117131054,1268.4550719400572,40.61045530400975,15.884763162617798,135.60784693008736,0.0,19.735469527021642,0.5821211373447965,16.39976319051468,2565.6784429748786,2565.6784429748786,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-3.3,4251.7216261744825,1378.2606060268668,44.11843575093368,0.0,148.3599726019572,85.44000000000004,19.691661211672372,0.5098345774891225,16.31162158622045,2443.166495794545,2443.166495794545,0.0,0.0,0.0,0.0,703.8449226275775,703.8449226275775
 01/01  19:00:00,-2.8,4329.248723919163,1387.8956120535443,40.46540371799356,0.0,148.3599726019572,85.44000000000004,19.70804858696223,0.44735450679078326,16.226113596605202,2310.7911282707482,2310.7911282707482,0.0,0.0,0.0,0.0,721.2089242956527,721.2089242956527
 01/01  20:00:00,-2.8,4328.976544492905,1388.217988684749,40.46540371799356,0.0,148.3599726019572,85.44000000000004,19.69318811553751,0.43795273841845983,16.141217039422482,2233.0708613390325,2233.0708613390325,0.0,0.0,0.0,0.0,650.4617792506006,650.4617792506006
 01/01  21:00:00,-2.2,4428.51651697174,1402.9010412907178,34.68779222099191,0.0,148.3599726019572,85.44000000000004,19.709994334812507,1.1538868617959568,16.06160045310097,2050.189864097896,2050.189864097896,0.0,0.0,0.0,0.0,185.69064195343344,185.69064195343344
 01/01  22:00:00,-2.8,4329.0515968686495,1388.0054335504701,40.48425051199042,0.0,148.3599726019572,85.44000000000004,19.699466980649635,0.5698675556421409,15.97240098502761,2460.951318091553,2460.951318091553,0.0,0.0,0.0,0.0,565.3540977413209,565.3540977413209
 01/01  23:00:00,-2.8,3893.676898090611,1268.961006951631,37.02848519479926,17.107646188568438,134.84232415891051,70.37780034613054,19.05902420203441,0.09717687188781024,15.885730984877535,1922.5512029144702,1922.5512029144702,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,-2.2,2771.0682092456623,905.4661621743123,22.689050271592123,69.29369935875683,96.49298661794757,0.0,18.80070951866729,0.40976713383713903,15.778517452346936,1870.4516705299611,1870.4516705299611,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  01:00:00,22.2,0.0,0.0,0.0,0.0,14.560010170684285,0.0,24.50142290122423,19.616678011915692,20.686705758869408,-4973.316009567967,-4973.316009567967,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  02:00:00,22.2,0.0,0.0,0.0,0.0,14.017986538163232,0.0,24.452797756253297,20.287424079475073,20.52696541196953,-4398.636167210156,-4398.636167210156,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  03:00:00,21.7,0.0,0.0,0.0,0.0,10.772726889053361,0.0,24.429916837444093,20.557142306616964,20.415350022214817,-4146.942000551062,-4146.942000551062,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  04:00:00,21.1,0.0,0.0,0.0,0.0,6.877340127018541,0.0,24.400207284017476,20.119512558801418,20.316430517098848,-3662.8320283248513,-3662.8320283248513,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  05:00:00,21.1,0.0,0.0,0.0,0.0,6.725455398213027,0.0,24.473282113932854,19.99034400545806,20.23013710702326,-3001.8095493967903,-3001.8095493967903,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  06:00:00,21.7,0.0,0.0,0.0,0.0,23.592078831635277,0.0,23.502278836425138,20.30636893908842,20.185106636025626,-2084.672708436852,-2084.672708436852,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  07:00:00,22.2,0.0,0.0,0.0,0.0,8.450621012440205,85.44000000000004,23.39433958652498,21.599608447323003,20.073536374476937,-4181.922699733843,-4181.922699733843,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  08:00:00,25.0,0.0,0.0,0.0,0.0,56.560120940371355,5.457095128440476,23.40364981765195,24.272506311694865,20.108708635165694,-4788.789588130741,-4788.789588130741,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  09:00:00,26.0,0.0,0.0,0.0,0.0,76.59921691900148,0.0,23.370754681819104,27.716603544901428,20.1039015377884,-5525.9054563044665,-5525.9054563044665,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  10:00:00,27.0,0.0,0.0,0.0,0.0,90.01245077563422,0.0,23.34215582930416,31.360726432749665,20.119280181290055,-6073.998944609626,-6073.998944609626,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  11:00:00,28.3,0.0,0.0,0.0,0.0,101.96557358719191,0.0,23.349449781018485,33.78151594972562,20.177649984063162,-6438.253384712649,-6438.253384712649,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  12:00:00,28.9,0.0,0.0,0.0,0.0,113.73315941015706,0.0,23.363101725057508,35.22963115931213,20.189211742587077,-6871.8258941777385,-6871.8258941777385,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  13:00:00,29.4,0.0,0.0,0.0,0.0,122.73625977746113,0.0,23.347466671262026,37.31878233894466,20.26569519840802,-7224.317581321451,-7224.317581321451,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  14:00:00,30.0,0.0,0.0,0.0,0.0,107.57806370581507,60.31825963533128,23.34698033666411,38.03615632723881,20.32907837119113,-7703.611855438448,-7703.611855438448,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  15:00:00,30.0,0.0,0.0,0.0,0.0,147.18690199105765,0.0,23.34633922170912,36.50188778294021,20.495732906297803,-8131.095211667427,-8131.095211667427,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  16:00:00,29.4,0.0,0.0,0.0,0.0,148.3599726019572,0.0,23.405396839498845,37.92732882562544,20.589874272815887,-8505.531849027833,-8505.531849027833,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  17:00:00,28.3,0.0,0.0,0.0,0.0,148.3599726019572,0.0,23.605149162776417,35.722175187022486,20.718768994098294,-8934.079307353823,-8934.079307353823,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  18:00:00,26.7,0.0,0.0,0.0,0.0,148.3599726019572,0.0,23.665327322129084,32.883546536991645,20.84932338378749,-9119.193222988244,-9119.193222988244,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  19:00:00,25.6,0.0,0.0,0.0,0.0,124.79540175570118,68.23199932748628,23.441237570294604,31.99372334317271,20.949391565262534,-9181.153155679447,-9181.153155679447,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  20:00:00,23.9,0.0,0.0,0.0,0.0,110.50261631221649,60.7147311203192,23.359294490466567,27.93647626473877,21.04273853735764,-8683.10732926122,-8683.10732926122,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  21:00:00,22.8,0.0,0.0,0.0,0.0,101.3923813721019,0.0,23.33466038178892,24.476562925968807,21.12437700402049,-7482.03476565412,-7482.03476565412,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  22:00:00,21.7,0.0,0.0,0.0,0.0,76.68556770939227,0.0,23.332645547198616,21.996769905941647,21.160888447136106,-6443.302377177133,-6443.302377177133,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  23:00:00,20.6,0.0,0.0,0.0,0.0,25.388092632202692,0.0,24.37664612971421,20.10869777951398,21.149556702757998,-6631.913154474625,-6631.913154474625,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  24:00:00,20.0,0.0,0.0,0.0,0.0,19.205350048050004,0.0,24.386941683361737,19.254448441949993,21.149252692579072,-5212.631728655439,-5212.631728655439,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  01:00:00,18.9,0.0,0.0,0.0,0.0,11.62902647700996,0.0,24.427108806305576,18.046049363265027,21.112809216464207,-4912.109018028821,-4912.109018028821,0.0,0.0,0.0,0.0,0.0,0.0
 07/28  02:00:00,17.2,0.0,0.0,0.0,0.0,5.493389187443482,0.0,24.367402370196874,16.70440795168056,21.063808975845962,-4243.29124312071,-4243.29124312071,0.0,0.0,0.0,0.0,0.0,0.0
