Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,18.79093576410904,3.263079434255444,18.973079301692493,38.972073846486964,1152.574400019239,1152.574400019239,0.0,0.0,0.0,0.0,1561.690011252619,420.8868698082666,0.0,144.86160373517848,0.0,0.0
 01/01  02:00:00,6.0,18.52197103092238,5.07874862969889,18.639706523441752,41.24005073794811,1264.690327712835,1264.690327712835,0.0,0.0,0.0,0.0,1670.04899353723,450.0102798822292,0.0,141.65282893265112,0.0,0.0
 01/01  03:00:00,6.0,18.47281032745669,6.23158377834404,18.455541858016613,49.6047411755041,1575.132247465479,1575.132247465479,0.0,0.0,0.0,0.0,2024.905229690094,538.3833587846759,0.0,129.81831333065165,0.0,0.0
 01/01  04:00:00,5.6,18.47087968935421,6.447825851040014,18.270843957380947,59.02043453601832,1891.1622735618075,1891.1622735618075,0.0,0.0,0.0,0.0,2403.9537575860777,637.1603685515826,0.0,116.49681974873181,0.0,0.0
 01/01  05:00:00,6.0,18.594853759099824,6.873142330133827,18.123004390177904,60.76595072798361,1962.3219004017283,1962.3219004017283,0.0,0.0,0.0,0.0,2503.8779687949395,658.6677144719193,0.0,114.0272318110111,0.0,0.0
 01/01  06:00:00,5.0,19.409893509531518,6.905383118320314,17.964737165413155,107.95019679107669,2803.3618083991914,2803.3618083991914,0.0,0.0,0.0,0.0,3570.4402280858353,1004.3514028581546,71.76107954837612,46.837500426380664,0.0,0.0
 01/01  07:00:00,5.0,19.591770897971113,6.799815983429425,17.871554950036707,108.38591039696904,2698.8320882094195,2698.8320882094195,0.0,0.0,0.0,0.0,3556.655468221426,1019.3245013794034,75.27210824517815,46.19617422565003,0.0,0.0
 01/01  08:00:00,3.0,19.706039385449667,5.634360953106228,17.75272461565236,109.9072592097274,2449.859303934738,2449.859303934738,0.0,0.0,0.0,0.0,3302.4223793843253,985.1160442290162,102.16315019026779,43.2172166833499,0.0,0.0
 01/01  09:00:00,3.0,19.74525114476057,5.136341825363189,17.657024037934704,104.48962664652954,2274.0460109128,2274.0460109128,0.0,0.0,0.0,0.0,3123.498505122257,938.5535463042994,97.1276542952612,50.94484705034994,0.0,0.0
 01/01  10:00:00,2.8,19.791986083116505,5.257087561753715,17.559121787805047,82.67847684377814,1752.8737293209615,1752.8737293209615,0.0,0.0,0.0,0.0,2473.278424318139,759.5156879718462,64.17210703291556,82.19500203453201,0.0,0.0
 01/01  11:00:00,3.0,19.80226688946086,5.5923669712816455,17.470269154760917,74.53974172861604,1577.540807639176,1577.540807639176,0.0,0.0,0.0,0.0,2210.816004722173,681.9958127660526,61.016265542095425,93.7850586123024,0.0,0.0
 01/01  12:00:00,3.0,19.60655922539929,5.980379122204623,17.38366247789169,67.53630391385008,1427.5442649628203,1427.5442649628203,0.0,0.0,0.0,0.0,1991.424602711169,618.0001769731842,55.28344871330931,103.76454191968104,0.0,0.0
 01/01  13:00:00,2.8,19.62956964233392,6.086290714868095,17.30351546469216,73.81699072761441,1633.3434315156028,1633.3434315156028,0.0,0.0,0.0,0.0,2213.7497268853463,681.9913220218149,52.989160247481514,94.88341488870617,0.0,0.0
 01/01  14:00:00,2.2,19.592022757639548,5.971931902964499,17.232308081012473,86.91665671412309,1914.064270903862,1914.064270903862,0.0,0.0,0.0,0.0,2583.2988271510408,796.5264361661007,64.72948001825456,76.068990042356,0.0,0.0
 01/01  15:00:00,1.7,19.785941142079455,6.045298494517036,17.168165514939616,65.40406596985103,1346.5552772855062,1346.5552772855062,0.0,0.0,0.0,0.0,1897.3985589946717,600.5181250295042,45.91548337962096,106.71209210263255,0.0,0.0
 01/01  16:00:00,1.1,19.779394186555336,5.360903703745104,17.118413556092094,40.37324442676185,797.6916434377763,797.6916434377763,0.0,0.0,0.0,0.0,1167.5601386491267,382.293690578195,19.370406987455933,142.53235909759874,0.0,0.0
 01/01  17:00:00,1.0,19.84726638633997,4.4810394415711965,17.0814806229625,33.72200018908119,679.4618717897665,679.4618717897665,0.0,0.0,0.0,0.0,970.492362435058,319.94235038023425,15.47796621123065,152.0079279443416,0.0,0.0
 01/01  18:00:00,0.0,19.889877763380284,3.0414649374370955,17.051629183815297,49.09513779606031,1012.0884001662489,1012.0884001662489,0.0,0.0,0.0,0.0,1384.8335145003552,460.632944628664,24.250240149864165,130.01118035624967,0.0,0.0
 01/01  19:00:00,0.0,19.757315810330425,1.9548697259262946,17.011816464749668,46.3093722761982,911.2139645406423,911.2139645406423,0.0,0.0,0.0,0.0,1303.0219107213022,434.85261127767205,22.874264576315547,133.98239489499886,0.0,0.0
 01/01  20:00:00,-0.6,20.011778676530255,1.0419769084871893,16.955882592059684,45.96416546094351,877.804845795491,877.804845795491,0.0,0.0,0.0,0.0,1278.2910715858573,430.1906875861124,21.414292427036006,134.45817921884617,0.0,0.0
 01/01  21:00:00,-0.6,19.652199945201346,0.5016032604745263,16.889832358667118,43.39171967969816,794.0233044408214,794.0233044408214,0.0,0.0,0.0,0.0,1191.3042042862012,404.7056176121182,22.946570922080117,138.05583403136234,0.0,0.0
 01/01  22:00:00,-1.0,19.822148347624065,0.7164623759704645,16.806035686575076,57.24399065887784,1072.876407884145,1072.876407884145,0.0,0.0,0.0,0.0,1560.7378608355193,524.2944130342929,33.74367405691545,118.14138455561327,0.0,0.0
 01/01  23:00:00,-1.0,18.866494580100376,-0.0884398498434811,16.722828898217674,31.578333380318856,502.59921552583546,502.59921552583546,0.0,0.0,0.0,0.0,842.4076450855307,290.2091776097018,18.614686867806693,154.84272129468425,0.0,0.0
 01/01  24:00:00,-1.1,18.485010526117918,-0.30646038152156135,16.613691805157018,50.89587796082649,968.0671331813455,968.0671331813455,0.0,0.0,0.0,0.0,1390.660813623565,461.075147281001,27.960393070359512,127.2678432667071,0.0,0.0
 07/27  01:00:00,20.0,24.47084038475515,18.613438995492892,20.838428464928555,8.700790818367318,-4516.78041551014,-4516.78041551014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  02:00:00,20.0,24.445629213865647,18.732169005658836,20.66694124106213,6.364295766927976,-3921.80086953053,-3921.80086953053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  03:00:00,19.4,24.395979965591525,18.30531334406668,20.52913329242949,2.559475282045662,-3379.1829748673163,-3379.1829748673163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  04:00:00,19.0,24.426652689588302,18.302020774275295,20.39843622470933,0.5053413756179624,-2370.5463731446944,-2370.5463731446944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  05:00:00,19.0,24.37016947312229,18.153292104827624,20.273038957572172,0.0,-3131.172251154315,-3131.172251154315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  06:00:00,20.0,23.450319503616342,18.386921827472978,20.21308390957132,25.436022875121477,-2804.6439185303116,-2804.6439185303116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  07:00:00,20.0,23.35265581850726,19.023231568619813,20.112203698533676,37.17274534061012,-3604.57672551165,-3604.57672551165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  08:00:00,22.2,23.371792773945135,21.902718432963816,20.065299302730402,55.11703526289709,-4543.631491671327,-4543.631491671327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  09:00:00,22.8,23.356934391061788,24.489074156142294,20.034595267672827,67.71007544796197,-5228.928140284592,-5228.928140284592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  10:00:00,23.9,23.37504964228664,26.49607989037875,20.05034670903412,81.05402133903569,-5908.781005218098,-5908.781005218098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  11:00:00,24.4,23.372445322755475,27.838760719483826,20.088500917358814,91.45625883270584,-6493.125016382259,-6493.125016382259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  12:00:00,25.0,23.353851382056217,31.404266914524943,20.131560643829044,95.66698761052157,-6746.327101829833,-6746.327101829833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  13:00:00,25.0,23.35877602580419,33.39548398296781,20.18181732152781,97.79336287127245,-6802.589652746727,-6802.589652746727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  14:00:00,24.4,23.355176252711416,35.033214327898904,20.246720744746717,101.75802658991076,-6963.448315753518,-6963.448315753518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  15:00:00,25.0,23.365900873139296,36.303872559699805,20.347010360057403,113.01615357812719,-7334.793562843552,-7334.793562843552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  16:00:00,22.8,23.348593051811907,33.65896629697338,20.42976974170111,115.93012850463212,-7583.285262852944,-7583.285262852944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  17:00:00,23.3,23.34574472478125,33.19723473802491,20.554835041888662,126.97812092512491,-8085.512545812158,-8085.512545812158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  18:00:00,22.8,23.34217009567173,31.700851286325864,20.66761021759597,132.64616410926078,-8401.50385924297,-8401.50385924297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  19:00:00,22.8,23.334420235775713,28.995089886849044,20.783136702600437,135.71221470855397,-8649.982684735885,-8649.982684735885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  20:00:00,21.1,23.312531478531692,26.027425089644755,20.863889485742227,123.45449354222247,-8329.831149424375,-8329.831149424375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  21:00:00,20.0,23.290767009668055,22.50117041380766,20.918393602582885,88.47827964262673,-7049.704071553453,-7049.704071553453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/27  22:00:00,19.4,23.30451758003476,20.775220201198636,20.95740163083816,66.70503760642742,-6042.956015888401,-6042.956015888401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
