Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,1508.9459729455396,408.6625923111306,0.0,146.34862915331436,37.7163094040153,0.0,18.820780002419156,3.498053646718994,18.97343254346627,1103.7249651939546,1103.7249651939546,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,6.0,1586.4308914016704,428.396021883734,0.0,144.18574963432548,39.23678934431178,0.0,18.539081495291626,5.16081100360799,18.639547506395466,1186.6224874072577,1186.6224874072577,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,6.0,1956.4744091831767,520.9723370118706,0.0,131.74177394309984,47.98476409275764,0.0,18.484718727612066,6.269329073241786,18.456165068079475,1509.283193214118,1509.283193214118,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.6,2366.835469545746,627.7894227270991,0.0,117.29733243396623,58.13904377898379,0.0,18.495288093412235,6.465683346484195,18.27124525938632,1833.9289139075663,1833.9289139075663,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,6.0,2449.980290889653,645.3477704109152,0.0,115.34770406363147,59.509610563726724,0.0,18.605408058952182,6.878061468431206,18.124057894951175,1911.250251673273,1911.250251673273,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,5.0,3604.6818246529015,1012.9332710998845,72.36039575252403,44.720031179244344,108.85173445891486,0.0,19.466527463197778,6.927747097712428,17.964731454718734,2753.614153321985,2753.614153321985,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.0,3523.1435003493834,1011.3860826652356,74.60569128588169,46.73039538356516,107.42624175731224,0.0,19.623229068490726,6.805015061591547,17.874106057661642,2648.603660007213,2648.603660007213,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,3.0,3238.166095633101,967.8528099881647,100.31127075353878,45.22356251350652,107.91487391604205,0.0,19.717093858814774,5.626720373951313,17.75436233844457,2395.3404527508974,2395.3404527508974,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,3.0,4335.1800828947235,1252.5541585910319,129.6208549344501,0.0,140.59774730376816,85.44000000000005,19.523197814751228,5.494009089415876,17.654524585141484,2227.328279225645,2227.328279225645,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,2.8,4260.696169009184,1242.165197944492,105.43685790667594,5.39190922651589,135.844492946038,85.44000000000005,19.64048697368795,5.820174436431853,17.547192654663366,1795.8532536362363,1795.8532536362363,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,3.0,4040.059746925249,1183.4507182808115,106.22605965378794,14.08172453218166,129.7704358380765,85.44000000000005,19.693950924356805,6.279058093061377,17.465875772247568,1656.9888359754004,1656.9888359754004,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,3.0,3849.000724805581,1134.301812714473,101.71588134397024,21.975499149696297,124.26039693498234,85.44000000000005,19.68706145656036,6.734302530981395,17.380744001518487,1700.0436362030723,1700.0436362030723,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,2.8,3218.7232157448134,967.4340297714314,75.0639458001847,50.28455129241325,104.56822932068775,54.23281831804159,19.710026174863508,6.43405080499081,17.30483275550987,1763.354572044691,1763.354572044691,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,2.2,2703.3320920287315,832.1512562243645,67.52089981101767,70.02281953442085,90.6646220320586,0.0,19.704924854432576,6.092805424837105,17.23284506197926,1975.694460225428,1975.694460225428,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,1.7,1780.8402240653775,566.8090038856682,43.24237241514557,111.66623827294116,61.59609645754997,0.0,19.78415086784184,6.0676593184835,17.16934182393318,1292.3165327293627,1292.3165327293627,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,1.1,1044.630499876688,343.1227174123485,17.386039013174734,148.13954851034578,36.23727815385178,0.0,19.721845889483678,5.348793794739381,17.117302888364218,759.739701182405,759.739701182405,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,1.0,905.2731664558925,298.51344559213874,14.45754780465585,154.92857764962505,31.49885629194504,0.0,19.81509632000655,4.467538020360984,17.080491806755468,655.402789513284,655.402789513284,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,0.0,2975.283196655676,946.2593729880216,49.862804241584364,55.309391008814,100.94851128039839,85.44000000000005,19.846047681444933,3.5976896110511483,17.05266862171318,1005.0438611761383,1005.0438611761383,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,0.0,3207.7392756727895,1014.55808506304,53.43309629512824,44.94920891795531,108.17654640590798,85.44000000000005,19.752404617780762,2.736963370883277,17.014223445215357,964.001204455777,964.001204455777,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-0.6,3093.5617066322284,989.4087595092941,49.27310888010665,48.3732738783407,105.76110994652052,85.44000000000005,19.77098364140589,1.9919024242671874,16.955638219744664,847.7703280019714,847.7703280019714,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,-0.6,3123.088837563111,998.6341289982048,56.91127639028537,45.534334143230694,107.61987770999622,85.44000000000005,19.688446552799025,1.4529783447567963,16.888336479337188,978.2951873070188,978.2951873070188,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,-1.0,3171.587640856882,1018.1273358978904,65.5010309725484,40.23884818597898,111.11820037659109,85.44000000000005,19.716239741462672,1.7536881195165264,16.807183945943407,1145.6965526719323,1145.6965526719323,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,-1.0,1872.8452276329624,624.1984214747621,40.12949690581007,102.12162232871836,68.07692609992574,62.010305167247445,19.043717259406687,0.8144656850473125,16.722726475992516,626.0840026751248,626.0840026751248,0.0,0.0,0.0,0.0,0.0,0.0
