Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.9,1280.177603183528,333.28328287830817,0.0,154.19965679397706,29.61333934962644,0.0,18.933865026439314,5.130889027114688,19.14989979229353,906.9343658016587,906.9343658016587,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,8.0,1270.4822262731966,336.29817371207724,0.0,153.50148873967223,30.06475709167686,0.0,18.329975237146925,7.201636705575504,18.83703636115315,962.0308356281112,962.0308356281112,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,7.8,1797.8424454648919,465.5712103906551,0.0,134.7448013444224,42.192355053374015,0.0,18.77486343171045,7.909440635513465,18.66519477212803,1393.2433755609181,1393.2433755609181,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,6.1,1811.5323982119519,484.1652530948318,0.0,131.40161430276214,44.353974933133756,0.0,18.600343932176777,7.484868938760965,18.505230075552966,1411.4892437130075,1411.4892437130075,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,5.6,1876.329018920762,502.14314287886714,0.0,128.2315524070343,46.40365648803453,0.0,18.504298856617194,6.912053924516412,18.362135255437835,1448.5817664817168,1448.5817664817168,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,6.0,3005.4259185169158,779.560671994267,0.0,88.82247217585646,71.88456742996505,0.0,19.605513292206634,7.552033317202706,18.22627290301561,2328.339647095112,2328.339647095112,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,4.0,2678.7790349648967,794.0865870823226,85.8138014476026,62.27767152879839,88.47595506780323,0.0,19.713431670906086,6.29495230620397,18.128452235640424,1982.9131908753461,1982.9131908753461,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,3.0,2695.0218333621606,813.9863549965413,82.52265498747327,59.10926801859524,90.36469112859515,0.0,19.63439567817199,5.321101036371826,18.017301076872318,1938.4003613644018,1938.4003613644018,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,3.0,4070.3048510062285,1173.7844806389978,103.24095059547669,0.0,129.31492332455775,85.44000000000007,19.396781916464555,5.741969335634102,17.908308287332332,2137.077152138916,2137.077152138916,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,3.0,4074.924907993675,1168.2700115313075,103.24095059547669,0.0,129.31492332455775,85.44000000000007,19.1744274219724,5.7150265293715625,17.80224557852725,2278.87414566774,2278.87414566774,0.0,0.0,0.0,0.0,0.0,0.0
