Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-20.0,18.571597546627395,-8.423288783400846,17.979356019291693,146.1558969718496,5261.354494800662,5261.354494800662,0.0,0.0,0.0,0.0,2672.9314601909514,1219.5990195734205,9.467463041769074,0.0,4616.112798467018,4616.112798467018
 01/01  02:00:00,-20.0,18.540101997418386,-9.622801809375394,17.520422413553423,146.1558969718496,5566.42617247323,5566.42617247323,0.0,0.0,0.0,0.0,2681.5139778421562,1220.1748344569119,7.07659819507764,0.0,5130.290801156332,5130.290801156332
 01/01  03:00:00,-20.6,18.540455227009264,-10.76948036069756,17.307223509991598,146.1558969718496,5734.136080866996,5734.136080866996,0.0,0.0,0.0,0.0,2626.7921015535453,1210.2956467739891,6.899144438308675,0.0,5476.546176499988,5476.546176499988
 01/01  04:00:00,-21.1,18.538524357616502,-11.088432168821804,17.046825427678293,146.1558969718496,5953.788435776791,5953.788435776791,0.0,0.0,0.0,0.0,2582.938914140099,1203.5521433371428,5.949849785842037,0.0,5850.617181955409,5850.617181955409
 01/01  05:00:00,-22.8,18.534268843495283,-12.429059938024649,16.804807914037518,146.1558969718496,6317.745252396338,6317.745252396338,0.0,0.0,0.0,0.0,2432.493370804845,1178.2270309349285,4.475471785249245,0.0,6459.845725705935,6459.845725705935
 01/01  06:00:00,-21.1,19.30855043439298,-12.704515642358563,16.595086404672845,146.1558969718496,7260.393106120911,7260.393106120911,0.0,0.0,0.0,0.0,2583.6328767131167,1202.9483367191162,5.952117633524187,0.0,7482.629026918239,7482.629026918239
 01/01  07:00:00,-22.2,19.54455902627872,-13.043030432526809,16.396337749229627,146.1558969718496,7280.129131292884,7280.129131292884,0.0,0.0,0.0,0.0,2464.4879829594065,1198.2453713455395,6.909838928975601,0.0,7735.2836563218025,7735.2836563218025
 01/01  08:00:00,-22.2,19.61833091914596,-13.663056159226876,16.192772779760226,146.1558969718496,7066.9341974393465,7066.9341974393465,0.0,0.0,0.0,0.0,2459.5938385415734,1202.20843724651,6.91254347173059,0.0,7546.616883095905,7546.616883095905
 01/01  09:00:00,-20.6,19.64121621531488,-13.622815632839657,16.00371992829628,146.1558969718496,6877.968684222797,6877.968684222797,0.0,0.0,0.0,0.0,2604.793683232588,1229.2919827437681,6.905185185236963,0.0,7225.93546824658,7225.93546824658
 01/01  10:00:00,-17.2,19.683314137503068,-12.19791964232319,15.829781340382395,146.1558969718496,5645.138026521523,5645.138026521523,0.0,0.0,0.0,0.0,2934.7202788629684,1282.1052676031966,6.293166529101294,0.0,5474.979305512867,5474.979305512867
