Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-20.0,2659.560389656825,1215.5466010311445,9.42550712294457,0.0,145.388103657538,0.0,18.646104458988933,-8.346528927398412,17.982922620483812,5198.209386299895,5198.209386299895,0.0,0.0,0.0,0.0,4661.848574236354,4661.848574236354
 01/01  02:00:00,-20.0,2668.007521723081,1216.2091306848326,7.04523761008075,0.0,145.388103657538,0.0,18.607817920478798,-9.5672299206491,17.524980846055964,5488.522490398647,5488.522490398647,0.0,0.0,0.0,0.0,5139.808651407903,5139.808651407903
 01/01  03:00:00,-20.6,2613.6858596573643,1206.210677586087,6.868570255686029,0.0,145.388103657538,0.0,18.602175183661505,-10.73103217706202,17.311810112609304,5651.16499073567,5651.16499073567,0.0,0.0,0.0,0.0,5486.142953279404,5486.142953279404
 01/01  04:00:00,-21.1,2570.161455911199,1199.3612640548695,5.923482488337791,0.0,145.388103657538,0.0,18.593978601447592,-11.060987730992494,17.051589432075318,5870.222934113503,5870.222934113503,0.0,0.0,0.0,0.0,5838.9332829885525,5838.9332829885525
 01/01  05:00:00,-22.8,2420.530175575942,1173.9631358084532,4.455638327215678,0.0,145.388103657538,0.0,18.59620214906694,-12.404535568597346,16.809645104838662,6235.946920355973,6235.946920355973,0.0,0.0,0.0,0.0,6482.41770477725,6482.41770477725
 01/01  06:00:00,-21.1,2570.8520240926346,1198.7611580115506,5.925740285847804,0.0,145.388103657538,0.0,19.387063692244183,-12.67904859816433,16.600311050597146,7180.49482926531,7180.49482926531,0.0,0.0,0.0,0.0,7521.388087396481,7521.388087396481
 01/01  07:00:00,-22.2,2451.875570771993,1194.3095882326259,6.879217352750222,0.0,145.388103657538,0.0,19.621546469233362,-13.018168912245722,16.402381510848652,7191.451485686994,7191.451485686994,0.0,0.0,0.0,0.0,7777.363841091921,7777.363841091921
 01/01  08:00:00,-22.2,2447.0317002300194,1198.2247599133807,6.881909910079359,0.0,145.388103657538,0.0,19.678340694520788,-13.650734785436821,16.198837004332336,6974.448103813704,6974.448103813704,0.0,0.0,0.0,0.0,7529.467153984944,7529.467153984944
 01/01  09:00:00,-20.6,2591.944401135214,1224.9610768612285,6.874584232497903,0.0,145.388103657538,85.44000000000007,19.681052130922794,-13.446129410885186,16.00925427734334,6788.925512990398,6788.925512990398,0.0,0.0,0.0,0.0,8347.96293244425,8347.96293244425
 01/01  10:00:00,-17.2,2920.834788699381,1277.2576895944967,6.265277792395465,0.0,145.388103657538,85.44000000000007,19.69416586849934,-12.016533232167529,15.834640903389655,5588.612360641124,5588.612360641124,0.0,0.0,0.0,0.0,6740.034274593172,6740.034274593172
 01/01  11:00:00,-15.0,3152.795405049749,1311.8556768345993,3.605494909475404,0.0,145.388103657538,85.44000000000007,19.701566140882083,-9.042547787854991,15.672002894406164,4379.464694861128,4379.464694861128,0.0,0.0,0.0,0.0,4986.285024937227,4986.285024937227
