Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-16.7,3182.394033044329,1349.912447399911,9.807993591258416,0.0,161.39994812455055,0.0,18.66502314128592,-4.74009346330996,18.13428080863206,4278.97182222463,4278.97182222463,0.0,0.0,0.0,0.0,2794.2043754165175,2794.2043754165175
 01/01  02:00:00,-18.9,2950.1854143353676,1312.0006683904783,11.404596468094132,0.0,161.39994812455055,0.0,18.618483431937637,-7.297629279052495,17.70515176764352,4956.883375736643,4956.883375736643,0.0,0.0,0.0,0.0,3951.4250633687184,3951.4250633687184
 01/01  03:00:00,-18.3,3018.896904209906,1322.1064152108872,9.445132725137825,0.0,161.39994812455055,0.0,18.607314860643985,-8.593753579028483,17.502577854684652,5087.923017553225,5087.923017553225,0.0,0.0,0.0,0.0,4202.860028293224,4202.860028293224
 01/01  04:00:00,-18.3,3019.378998824389,1321.6563287923557,9.445132725137825,0.0,161.39994812455055,0.0,18.600297214643806,-9.197340538635192,17.255597075219782,5337.9369531628745,5337.9369531628745,0.0,0.0,0.0,0.0,4562.521074516364,4562.521074516364
 01/01  05:00:00,-19.4,2904.9935176893964,1303.4823574130799,10.129423502705743,0.0,161.39994812455055,0.0,18.602394799545255,-9.755302053147531,17.02628274340559,5464.14606789388,5464.14606789388,0.0,0.0,0.0,0.0,4883.286172478656,4883.286172478656
 01/01  06:00:00,-20.0,2845.4909849096366,1294.22063270129,9.806959429029234,0.0,161.39994812455055,0.0,19.35966803649531,-10.427549185549227,16.80464635984572,6886.949343969462,6886.949343969462,0.0,0.0,0.0,0.0,6655.4013801809815,6655.4013801809815
 01/01  07:00:00,-20.0,2828.0953311166554,1309.5794765368435,9.806959429029234,0.0,161.39994812455055,0.0,19.607922119782366,-10.564126841377517,16.627053131304532,6741.764018598751,6741.764018598751,0.0,0.0,0.0,0.0,6633.266780440968,6633.266780440968
 01/01  08:00:00,-20.6,2764.718104587663,1305.3556369127148,9.022300803758469,0.0,161.39994812455055,0.0,19.677123023640693,-10.553609096418112,16.423751285890727,6457.986053357441,6457.986053357441,0.0,0.0,0.0,0.0,6365.907839501993,6365.907839501993
 01/01  09:00:00,-20.6,2757.5434392769857,1303.7969960626303,11.360660977858608,0.0,161.39994812455055,85.44000000000005,19.685964344357973,-9.879574609864216,16.23155280205812,6074.219559027653,6074.219559027653,0.0,0.0,0.0,0.0,7055.046487701562,7055.046487701562
 01/01  10:00:00,-19.4,2873.9633310412696,1322.118833683638,12.750295719338443,0.0,161.39994812455055,85.44000000000005,19.699550345588303,-7.172682901612345,16.05900726964359,5103.191490797095,5103.191490797095,0.0,0.0,0.0,0.0,5933.246287631431,5933.246287631431
